,Speaker Party,Speaker,"('allgemein', 'volksinitiativ')","('ansicht', 'svpfraktion')","('arbeitnehmerinn', 'arbeitnehm')","('arme', 'xxi')","('artikel', 'absatz')","('artikel', 'or')","('aussenpolit', 'kommission')","('autofrei', 'sonntag')","('bilateral', 'abkomm')","('bitt', 'antrag')","('bitt', 'deshalb')","('bitt', 'nam')","('bund', 'kanton')","('bundesamt', 'justiz')","('bundesamt', 'verkehr')","('bundesprasident', 'villig')","('bundesrat', 'villig')","('darauf', 'aufmerksam')","('darum', 'geht')","('de', 'dardel')","('desweg', 'mocht')","('drei', 'jahr')","('einseit', 'massnahm')","('energi', 'schweiz')","('entwurf', 'bundesrat')","('erinner', 'ruf')","('erneuerbar', 'energi')","('erst', 'lini')","('etapp', 'bahn')","('europa', 'union')","('flankier', 'massnahm')","('flughaf', 'zurich')","('frag', 'herrn')","('fried', 'sicherheitspolit')","('ganz', 'schweiz')","('ganz', 'wichtig')","('geht', 'darum')","('geltend', 'recht')","('gemass', 'artikel')","('gesetz', 'grundlag')","('herr', 'bundesprasident')","('herr', 'bundesrat')","('herr', 'kolleg')","('herr', 'schluer')","('herr', 'theil')","('indig', 'volk')","('kanton', 'uri')","('kanton', 'zurich')","('kommission', 'rechtsfrag')","('kommission', 'stimm')","('kommission', 'verkehr')","('konstruktiv', 'referendum')","('mehr', 'benotigt')","('mehr', 'geld')","('mehrheit', 'kommission')","('mehrheit', 'svpfraktion')","('mieterinn', 'miet')","('million', 'frank')","('mind', 'i')","('mind', 'ii')","('mocht', 'daran')","('mocht', 'darauf')","('nach', 'jahr')","('nam', 'kommission')","('nam', 'spfraktion')","('nam', 'svpfraktion')","('neu', 'steu')","('offent', 'verkehr')","('parlamentar', 'initiativ')","('patient', 'patientinn')","('pensionskass', 'bund')","('pro', 'helvetia')","('pro', 'jahr')","('rentn', 'rentnerinn')","('rentnerinn', 'rentn')","('rund', 'milliard')","('russisch', 'foderation')","('schluss', 'gekomm')","('seit', 'jahr')","('servic', 'public')","('spfraktion', 'antrag')","('spfraktion', 'beantrag')","('spfraktion', 'bitt')","('spfraktion', 'ersuch')","('spfraktion', 'lehnt')","('spfraktion', 'mehrheit')","('spfraktion', 'mind')","('spfraktion', 'mocht')","('st', 'gall')","('standerat', 'folg')","('status', 'quo')","('steu', 'abgab')","('sursis', 'partiel')","('svpfraktion', 'antrag')","('svpfraktion', 'beantragt')","('svpfraktion', 'bitt')","('svpfraktion', 'bittet')","('svpfraktion', 'empfiehlt')","('svpfraktion', 'lehnt')","('svpfraktion', 'mehrheit')","('svpfraktion', 'mind')","('svpfraktion', 'vorlag')","('uns', 'kommission')","('unt', 'mittl')","('verkehr', 'fernmeldewes')","('vier', 'jahr')","('voll', 'ganz')","('weiterbild', 'schweiz')","('zehn', 'jahr')","('zweit', 'etapp')","('zweit', 'rohr')","('zweit', 'saul')"
0,Schweizerische Volkspartei (SVP),Bruno Zuppiger,0,10,1,0,15,0,0,0,0,8,1,6,18,0,0,2,2,0,2,0,0,2,0,1,5,0,2,9,0,0,1,0,1,0,0,0,7,2,1,4,2,2,2,0,0,0,0,3,0,2,0,0,0,3,22,4,1,63,19,6,0,0,4,0,0,19,6,1,1,0,0,1,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,4,0,5,0,6,0,7,1,0,0,9,6,3,1,1,0,4,0,0,9,0,0,0
1,Schweizerische Volkspartei (SVP),Caspar Baader,5,0,4,0,59,0,0,0,1,8,16,7,8,2,0,0,4,0,4,1,0,2,0,0,8,1,0,9,0,0,3,0,0,0,0,0,14,1,11,0,1,6,2,1,0,0,0,3,6,4,1,0,3,1,36,2,3,83,23,18,0,0,0,4,0,3,4,0,37,0,4,0,17,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,3,0,1,4,1,7,0,0,2,2,0,0,0,1,6,0,0,13,0,0,1
2,Schweizerische Volkspartei (SVP),Christian Speck,0,1,0,0,19,0,0,0,0,5,5,3,1,0,0,0,0,2,0,0,0,7,0,6,2,2,40,1,0,0,0,0,0,0,0,0,4,5,4,1,0,1,2,0,0,0,0,1,0,1,0,0,0,0,14,2,0,24,12,2,2,2,3,0,0,1,16,0,13,0,0,0,8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,6,0,0,6,0,8,5,1,0,0,0,1,0,0,1,0,0,6,0,0,0
3,Schweizerische Volkspartei (SVP),Christoffel Brändli,0,0,0,0,25,1,0,4,0,12,10,1,8,0,1,2,5,2,7,0,0,6,0,1,4,1,0,8,0,0,2,2,1,0,3,0,15,1,5,2,0,8,0,0,0,0,0,4,0,3,1,0,1,1,3,0,0,115,3,2,2,8,14,5,0,0,2,21,22,0,0,0,1,0,0,4,0,0,4,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,11,0,0,8,0,0,0
4,Schweizerische Volkspartei (SVP),Christoph Blocher,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,9,3,1,0,0,3,0,0,2,0,0,3,0,1,0,1,0,0,1,0,7,0,0,1,2,16,0,0,3,0,0,3,0,1,0,0,1,10,2,0,0,42,2,2,0,1,3,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,6,0,0,4
5,Schweizerische Volkspartei (SVP),Christoph Mörgeli,0,0,0,0,3,0,7,0,0,1,0,1,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,6,0,6,0,0,0,0,0,0,1,1,0,1,0,10,7,0,0,0,0,0,0,0,0,0,0,1,0,4,1,17,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,Schweizerische Volkspartei (SVP),Elmar Bigger,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
7,Schweizerische Volkspartei (SVP),Ernst Schibli,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
8,Schweizerische Volkspartei (SVP),Fritz Abraham Oehrli,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7,5,3,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
9,Schweizerische Volkspartei (SVP),Hannes Germann,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,2,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,2,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,3,2,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,2
