,Speaker,Speaker Party,"('allgemein', 'volksinitiativ')","('ansicht', 'svpfraktion')","('arbeitnehmerinn', 'arbeitnehm')","('arme', 'xxi')","('artikel', 'absatz')","('artikel', 'or')","('aussenpolit', 'kommission')","('autofrei', 'sonntag')","('bilateral', 'abkomm')","('bitt', 'antrag')","('bitt', 'deshalb')","('bitt', 'nam')","('bund', 'kanton')","('bundesamt', 'justiz')","('bundesamt', 'verkehr')","('bundesprasident', 'villig')","('bundesrat', 'villig')","('darauf', 'aufmerksam')","('darum', 'geht')","('de', 'dardel')","('desweg', 'mocht')","('drei', 'jahr')","('einseit', 'massnahm')","('energi', 'schweiz')","('entwurf', 'bundesrat')","('erinner', 'ruf')","('erneuerbar', 'energi')","('erst', 'lini')","('etapp', 'bahn')","('europa', 'union')","('flankier', 'massnahm')","('flughaf', 'zurich')","('frag', 'herrn')","('fried', 'sicherheitspolit')","('ganz', 'schweiz')","('ganz', 'wichtig')","('geht', 'darum')","('geltend', 'recht')","('gemass', 'artikel')","('gesetz', 'grundlag')","('herr', 'bundesprasident')","('herr', 'bundesrat')","('herr', 'kolleg')","('herr', 'schluer')","('herr', 'theil')","('indig', 'volk')","('kanton', 'uri')","('kanton', 'zurich')","('kommission', 'rechtsfrag')","('kommission', 'stimm')","('kommission', 'verkehr')","('konstruktiv', 'referendum')","('mehr', 'benotigt')","('mehr', 'geld')","('mehrheit', 'kommission')","('mehrheit', 'svpfraktion')","('mieterinn', 'miet')","('million', 'frank')","('mind', 'i')","('mind', 'ii')","('mocht', 'daran')","('mocht', 'darauf')","('nach', 'jahr')","('nam', 'kommission')","('nam', 'spfraktion')","('nam', 'svpfraktion')","('neu', 'steu')","('offent', 'verkehr')","('parlamentar', 'initiativ')","('patient', 'patientinn')","('pensionskass', 'bund')","('pro', 'helvetia')","('pro', 'jahr')","('rentn', 'rentnerinn')","('rentnerinn', 'rentn')","('rund', 'milliard')","('russisch', 'foderation')","('schluss', 'gekomm')","('seit', 'jahr')","('servic', 'public')","('spfraktion', 'antrag')","('spfraktion', 'beantrag')","('spfraktion', 'bitt')","('spfraktion', 'ersuch')","('spfraktion', 'lehnt')","('spfraktion', 'mehrheit')","('spfraktion', 'mind')","('spfraktion', 'mocht')","('st', 'gall')","('standerat', 'folg')","('status', 'quo')","('steu', 'abgab')","('sursis', 'partiel')","('svpfraktion', 'antrag')","('svpfraktion', 'beantragt')","('svpfraktion', 'bitt')","('svpfraktion', 'bittet')","('svpfraktion', 'empfiehlt')","('svpfraktion', 'lehnt')","('svpfraktion', 'mehrheit')","('svpfraktion', 'mind')","('svpfraktion', 'vorlag')","('uns', 'kommission')","('unt', 'mittl')","('verkehr', 'fernmeldewes')","('vier', 'jahr')","('voll', 'ganz')","('weiterbild', 'schweiz')","('zehn', 'jahr')","('zweit', 'etapp')","('zweit', 'rohr')","('zweit', 'saul')"
0,Bruno Zuppiger,Schweizerische Volkspartei (SVP),-0.18402393099901873,7.86499316466901,-0.1915462738312407,-0.3009216430405471,-0.1340497303558132,-0.30008971549374536,-0.2981531680856578,-0.1955463111650109,-0.31880294456132274,0.17485595569672535,-0.596716814261116,0.17592785615129392,2.520048024910922,-0.3955353356090934,-0.26382603676256045,0.6984614534587604,-0.3518677865939628,-0.6771097931692726,-0.4038523091974653,-0.4033086717163932,-0.24567708727276089,-0.3254476657689572,-0.18537118827377191,0.11509208176630709,0.2960606023690934,-0.538991070447451,-0.04627766241348832,1.229691258046976,-0.18202056145925943,-0.38916517512838267,0.03698392858890934,-0.4127038101123471,0.10786636064860383,-0.1427830462758195,-0.5948422157151905,-0.4095027849128161,-0.3867159111966468,-0.18573931735050653,-0.4981950685304568,0.1894907481058237,-0.2974390366598493,-0.7988918659276175,-0.2422340153256213,-0.3096772886147217,-0.3081376236294888,-0.20046450965586657,-0.27201218750226264,0.032766260877622716,-0.4335929863163785,0.1314172546498585,-0.4136784627075466,-0.305665647868265,-0.32592005603755525,0.1994103826732303,1.9569488463943563,0.2998376339535517,0.06215281129948508,0.41148310301612423,1.1364235093933361,-0.10685944019326836,-0.4806176465626618,-0.6347577423637581,-0.16702587198136637,-0.5049064382805712,-0.5420734459966906,1.290695322700867,1.8125632850778644,-0.35704290090159696,-0.9394912230146464,-0.16785481621479348,-0.36777983258616004,-0.07452197036135282,-0.39131996467220026,-0.15997352301537565,-0.37137469729995304,-0.4674188363281503,-0.1118033988749895,-0.06856327937517066,-0.5040735134793402,-0.44167548693436937,-0.4270289259380858,-0.28884673997842436,-0.3849027408229786,-0.234693221252113,-0.27419623170217305,-0.18796366791829644,-0.29296085334197797,0.37255129568265,-0.37810897811097577,0.34474175291115294,-0.3852683037370835,2.267304802881391,-0.13077798370873303,1.611249016440432,-0.19741992804609942,1.2584061280000458,0.009199905398514834,-0.3128075531702429,-0.3241809422757878,2.9579231051675086,2.911325402259766,0.8689737160937275,-0.3422871409489673,0.15088992349427602,-0.4136784627075466,-0.2659139819639234,-0.2849149673996879,-0.12110798938851106,0.3655707474156588,-0.2405297388494522,-0.2697937440349958,-0.3145824657126245
1,Caspar Baader,Schweizerische Volkspartei (SVP),0.30175168322762064,-0.18935434599784673,0.28445010237479584,-0.3009216430405471,1.684246306286428,-0.30008971549374536,-0.2981531680856578,-0.1955463111650109,-0.06599330744271167,-0.267085299352169,0.25610288488292077,-0.03284198778226873,0.11487061876402455,0.11683569063191529,-0.26382603676256045,-0.3601953923000279,-0.2271233558409059,-0.6771097931692726,-0.26974541426514986,-0.154000263586164,-0.24567708727276089,-0.53960917893786,-0.18537118827377191,-0.24207486904737732,0.3651728598327197,-0.32952003742445807,-0.25527369129978383,0.5385898410591027,-0.18202056145925943,-0.38916517512838267,0.590413197170094,-0.4127038101123471,-0.3700936527262237,-0.1427830462758195,-0.5948422157151905,-0.4095027849128161,-0.14033340811394365,-0.5591368946236711,1.347619602687443,-0.5211394401412611,-0.5839092486709472,-0.674917012300319,-0.33022767300874367,-0.22386575806410505,-0.3081376236294888,-0.20046450965586657,-0.27201218750226264,-0.1596309003764027,0.03840823803129752,0.39184137341280983,-0.1823651594850851,-0.305665647868265,0.5914192949532094,-0.373004741290629,2.1991996974026753,-0.21275219848923704,0.3877002008636818,0.1851627711945976,0.7224140306072374,0.602491524642867,-0.4806176465626618,-0.6347577423637581,-0.6884707761054755,0.7673877296537781,-0.5420734459966906,-0.3763019879783089,0.5925421971976357,-0.4750962326902343,0.4197255938351152,-0.16785481621479348,0.6102326315795642,-0.2228035673484608,0.4821580997362573,-0.15997352301537565,-0.05953570987847308,0.03126828340296513,-0.1118033988749895,-0.47899559465775793,-0.5802325551910927,-0.44167548693436937,-0.4270289259380858,-0.28884673997842436,-0.3849027408229786,-0.234693221252113,-0.27419623170217305,-0.18796366791829644,-0.29296085334197797,-0.25760617897441107,-0.37810897811097577,1.7102754226244798,-0.3852683037370835,0.6584044126966022,-0.13077798370873303,-0.13258649480212373,0.23237378557880853,-0.2228419590807283,0.9751299077509881,-0.3128075531702429,-0.3241809422757878,0.12607250455704566,0.36432599814741423,-0.25899040348320596,-0.56873554233606,-0.178200206156635,-0.1823651594850851,-0.2708512879196862,-0.2849149673996879,-0.12110798938851106,0.30181125166480693,-0.2405297388494522,-0.2697937440349958,-0.22317419722740695
2,Christian Speck,Schweizerische Volkspartei (SVP),-0.18402393099901873,0.8503303525902256,-0.4818744983246121,-0.3009216430405471,0.5896811649357278,-0.30008971549374536,-0.2981531680856578,-0.1955463111650109,-0.31880294456132274,-0.07621564000685178,-0.11006551402762461,-0.1457247691017737,-0.6391826121422889,-0.3955353356090934,-0.26382603676256045,-0.3601953923000279,-0.7419920891401471,0.23171034981123245,-0.8232566748775092,-0.4033086717163932,-0.24567708727276089,1.8896528070443963,-0.18537118827377191,2.524190279884107,-0.30294512298312715,0.28053305078194757,5.140320998673104,-0.5107987838053716,-0.18202056145925943,-0.38916517512838267,-0.5279511459918841,-0.4127038101123471,-0.3700936527262237,-0.1427830462758195,-0.5948422157151905,-0.4095027849128161,-0.5888878456799072,1.0553275354400118,0.7296670316902657,-0.2918125666431979,-0.7249675293572628,-0.8437649898863301,-0.1669911145374886,-0.3096772886147217,-0.3081376236294888,-0.20046450965586657,-0.27201218750226264,-0.28950827888259123,-0.4335929863163785,-0.15737086842021059,-0.4136784627075466,-0.305665647868265,-0.32592005603755525,-0.5344168389096806,1.4148946247877274,0.028586309913330516,-0.27016271526188823,-0.46903129064719135,0.7562956579902506,-0.5193935805055293,0.42856858118887,0.3139380659833359,-0.18364562988173636,-0.5049064382805712,-0.5420734459966906,-0.4437636563027061,7.132456180310822,-0.4750962326902343,-0.0234461970761023,-0.16785481621479348,-0.36777983258616004,-0.2228035673484608,0.3743058330891129,-0.15997352301537565,-0.37137469729995304,-0.4674188363281503,-0.1118033988749895,0.050805481643271075,-0.7279902169552115,-0.19635979480455268,-0.4270289259380858,-0.28884673997842436,-0.3849027408229786,-0.234693221252113,-0.27419623170217305,-0.18796366791829644,-0.29296085334197797,-0.25760617897441107,-0.37810897811097577,0.31522547407823076,-0.3852683037370835,3.7295324750628573,-0.13077798370873303,-0.34807188978404136,1.0637078412158316,-0.37700976512447093,2.498443580185031,4.266739235354614,0.5599690327864988,-0.3605462144022702,-0.3538879330383143,-0.25899040348320596,-0.27642764572483275,-0.178200206156635,-0.4136784627075466,-0.5942940043762902,-0.2849149673996879,-0.12110798938851106,0.17577221381469044,-0.2405297388494522,-0.2697937440349958,-0.3145824657126245
3,Christoffel Brändli,Schweizerische Volkspartei (SVP),-0.18402393099901873,-0.18935434599784673,-0.4818744983246121,-0.3009216430405471,0.31240186514346335,0.005348732904944864,-0.2981531680856578,0.2878361158177405,-0.31880294456132274,0.5030448764702716,0.0591353514681492,-0.6049544033606276,0.37983386253219054,-0.3955353356090934,0.7295967178388401,0.5238376438490634,0.07244266617534083,-0.08918748417930666,0.40252824955849537,-0.4033086717163932,-0.24567708727276089,0.6222887520979464,-0.18537118827377191,0.05617794554961689,-0.11506085633789187,-0.27391303639000375,-0.25527369129978383,0.7060002960415347,-0.18202056145925943,-0.38916517512838267,0.41554866928737916,0.1880461057817405,0.029027595555848787,-0.1427830462758195,0.30854081629507435,-0.4095027849128161,0.2215405321613587,-0.5103283215156899,0.43825797979848924,-0.22443302133706589,-0.7249675293572628,-0.5027334060879832,-0.500945907076598,-0.3096772886147217,-0.3081376236294888,-0.20046450965586657,-0.27201218750226264,0.09691448409714193,-0.4335929863163785,0.3371281967116436,-0.12095982383582342,-0.305665647868265,0.0610332268975525,-0.330155653520623,-0.7330948352266037,-0.46515205519358893,-0.27016271526188823,1.3197991483189864,-0.6499643245287444,-0.6294046673064126,0.10754148530753016,1.8201149163488253,0.8355460313088021,1.5076465142186735,-0.5420734459966906,-0.5701899125900307,0.24059984401156786,1.595096729912571,0.06886474000968132,-0.16785481621479348,-0.36777983258616004,-0.2228035673484608,-0.7743267104854744,-0.15997352301537565,-0.37137469729995304,0.37400857187795855,-0.1118033988749895,-0.47899559465775793,0.01993774104666809,0.5105034624148677,-0.4270289259380858,-0.28884673997842436,-0.3849027408229786,-0.234693221252113,-0.27419623170217305,-0.18796366791829644,-0.29296085334197797,-0.25760617897441107,-0.37810897811097577,-0.1946720464046792,-0.3852683037370835,-0.39611425167265907,-0.13077798370873303,-0.34807188978404136,-0.19741992804609942,-0.37700976512447093,-0.25769465349572507,-0.3128075531702429,-0.3241809422757878,-0.3605462144022702,-0.3538879330383143,-0.25899040348320596,0.7549370719575647,-0.178200206156635,-0.12095982383582342,0.36263306123845,-0.2849149673996879,-0.12110798938851106,0.014764915796784975,-0.2405297388494522,-0.2697937440349958,-0.3145824657126245
4,Christoph Blocher,Schweizerische Volkspartei (SVP),-0.18402393099901873,-0.18935434599784673,-0.4818744983246121,-0.3009216430405471,-1.1138324628708696,-0.30008971549374536,-0.2981531680856578,-0.1955463111650109,-0.31880294456132274,-1.124504261243437,-0.6859421439606093,-0.7312048285511777,1.1056931686146514,-0.3955353356090934,-0.26382603676256045,-0.3601953923000279,2.9515224115893126,1.544778413533066,-0.3820650694218785,-0.4033086717163932,-0.24567708727276089,1.0320022364275274,-0.18537118827377191,-0.24207486904737732,0.0998352517867565,-0.538991070447451,-0.25527369129978383,0.6227538366266437,-0.18202056145925943,0.1788629822568232,-0.5279511459918841,0.34408504497501,-0.3700936527262237,-0.1427830462758195,0.16384310121117915,-0.4095027849128161,0.46387336551413255,-0.7429983156517947,-0.7931169701145729,-0.1473664190502619,0.17450800073339945,1.2045788570438265,-0.500945907076598,-0.3096772886147217,1.1020391054887162,-0.20046450965586657,-0.27201218750226264,0.6572079379082434,-0.4335929863163785,0.1737262106636262,-0.4136784627075466,-0.305665647868265,0.6490012022664826,4.611903935827616,-0.4981522466204669,-0.46515205519358893,-0.27016271526188823,1.1089566342280002,-0.4655690803405374,-0.3231485685215475,-0.4806176465626618,0.13836773781520495,0.13432865053191748,-0.5049064382805712,-0.5420734459966906,-0.5701899125900307,-0.3657289118282894,-0.4750962326902343,-0.264779882076984,-0.16785481621479348,-0.36777983258616004,-0.2228035673484608,0.14303269309343222,-0.15997352301537565,-0.37137469729995304,-0.4674188363281503,-0.1118033988749895,-0.47899559465775793,-0.25689273691506653,-0.44167548693436937,-0.4270289259380858,-0.28884673997842436,-0.3849027408229786,-0.234693221252113,-0.27419623170217305,-0.18796366791829644,-0.29296085334197797,-0.25760617897441107,-0.37810897811097577,-0.09424102067296464,-0.3852683037370835,1.8453085370949052,-0.13077798370873303,-0.34807188978404136,-0.19741992804609942,-0.37700976512447093,-0.25769465349572507,-0.3128075531702429,1.1168686924036535,-0.3605462144022702,-0.3538879330383143,-0.25899040348320596,-0.56873554233606,-0.178200206156635,-0.4136784627075466,0.014287749154100379,-0.2849149673996879,-0.12110798938851106,0.9135567919236868,-0.2405297388494522,-0.2697937440349958,0.8511697375663839
5,Christoph Mörgeli,Schweizerische Volkspartei (SVP),-0.18402393099901873,-0.18935434599784673,-0.4818744983246121,-0.3009216430405471,-0.39453577404561674,-0.30008971549374536,6.879043522412972,-0.1955463111650109,-0.31880294456132274,-0.4980270137901444,-0.6859421439606093,-0.1480481026710174,-0.883243348051979,-0.3955353356090934,-0.26382603676256045,-0.3601953923000279,0.010390494341779839,-0.6771097931692726,-0.014405398208853103,-0.4033086717163932,-0.24567708727276089,1.4735823250938536,-0.18537118827377191,-0.24207486904737732,-0.9424108726177877,-0.538991070447451,-0.25527369129978383,4.4227098663887245,-0.18202056145925943,5.859144556108882,-0.5279511459918841,-0.4127038101123471,-0.3700936527262237,-0.1427830462758195,-0.5948422157151905,-0.4095027849128161,-0.7326698691193502,0.3317154667864039,-0.7931169701145729,0.16411109852557065,-0.7249675293572628,1.5152072135996941,2.991664631561588,-0.3096772886147217,-0.3081376236294888,-0.20046450965586657,-0.27201218750226264,-0.5329044347854102,-0.4335929863163785,-0.6830301486151679,-0.4136784627075466,-0.305665647868265,-0.32592005603755525,0.40907530312549056,-1.0787746948955055,2.485522460088239,1.0116257443319803,0.4821947052588029,-0.08581666661960163,-0.8309578263357683,-0.4806176465626618,-0.6347577423637581,-0.6884707761054755,-0.5049064382805712,-0.5420734459966906,0.5631311705570574,1.0346017861828094,-0.4750962326902343,-0.9975390143578866,-0.16785481621479348,-0.36777983258616004,-0.2228035673484608,-0.8753806075893025,-0.15997352301537565,-0.37137469729995304,-0.4674188363281503,-0.1118033988749895,1.1041004785750788,-0.7279902169552115,-0.44167548693436937,-0.4270289259380858,-0.28884673997842436,-0.3849027408229786,-0.234693221252113,-0.27419623170217305,-0.18796366791829644,-0.29296085334197797,-0.25760617897441107,-0.37810897811097577,-0.5813314954717801,-0.3852683037370835,1.658523304697608,-0.13077798370873303,0.9114915499316916,0.4306417189474417,-0.37700976512447093,1.801206229402697,-0.3128075531702429,-0.3241809422757878,-0.3605462144022702,-0.3538879330383143,-0.25899040348320596,-0.56873554233606,-0.178200206156635,-0.4136784627075466,-0.7507574268198297,-0.2849149673996879,-0.12110798938851106,-0.41221589640218725,-0.2405297388494522,-0.2697937440349958,-0.3145824657126245
6,Elmar Bigger,Schweizerische Volkspartei (SVP),-0.18402393099901873,-0.18935434599784673,-0.4818744983246121,-0.3009216430405471,0.8668395788218558,-0.30008971549374536,-0.2981531680856578,-0.1955463111650109,-0.31880294456132274,-1.124504261243437,-0.6859421439606093,3.528374734399559,-0.883243348051979,-0.3955353356090934,-0.26382603676256045,-0.3601953923000279,-0.7419920891401471,-0.6771097931692726,-0.8232566748775092,-0.4033086717163932,-0.24567708727276089,-0.9551081625709409,-0.18537118827377191,-0.24207486904737732,-0.9424108726177877,-0.538991070447451,-0.25527369129978383,2.3781683068971704,-0.18202056145925943,-0.38916517512838267,-0.5279511459918841,-0.4127038101123471,6.362908274814825,-0.1427830462758195,-0.5948422157151905,-0.4095027849128161,-1.1572497265699409,-0.7429983156517947,-0.7931169701145729,-0.5211394401412611,-0.7249675293572628,1.7486608231851601,1.3212856782998468,-0.3096772886147217,-0.3081376236294888,-0.20046450965586657,-0.27201218750226264,-0.5329044347854102,-0.4335929863163785,-0.6830301486151679,-0.4136784627075466,-0.305665647868265,-0.32592005603755525,2.9113805493926836,0.8650482841122321,4.923036190103662,-0.27016271526188823,-0.5461979447488501,-0.9212719768056604,-0.8309578263357683,-0.4806176465626618,-0.6347577423637581,-0.6884707761054755,-0.5049064382805712,-0.5420734459966906,3.568895782381943,-0.3657289118282894,-0.4750962326902343,-0.9975390143578866,-0.16785481621479348,-0.36777983258616004,-0.2228035673484608,0.829354700075275,-0.15997352301537565,-0.37137469729995304,-0.4674188363281503,-0.1118033988749895,-0.47899559465775793,-0.7279902169552115,-0.44167548693436937,-0.4270289259380858,-0.28884673997842436,-0.3849027408229786,-0.234693221252113,-0.27419623170217305,-0.18796366791829644,-0.29296085334197797,-0.25760617897441107,2.3424553012244176,-0.5813314954717801,-0.3852683037370835,-0.39611425167265907,-0.13077798370873303,-0.34807188978404136,-0.19741992804609942,-0.37700976512447093,-0.25769465349572507,-0.3128075531702429,-0.3241809422757878,4.833579677098253,-0.3538879330383143,-0.25899040348320596,-0.56873554233606,-0.178200206156635,-0.4136784627075466,0.9567347050640143,-0.2849149673996879,-0.12110798938851106,-0.9955558792655718,-0.2405297388494522,-0.2697937440349958,-0.3145824657126245
7,Ernst Schibli,Schweizerische Volkspartei (SVP),-0.18402393099901873,-0.18935434599784673,-0.4818744983246121,-0.3009216430405471,-1.2736761714987035,-0.30008971549374536,-0.2981531680856578,-0.1955463111650109,-0.31880294456132274,-1.124504261243437,2.9276837088688694,5.391940793190506,-0.883243348051979,-0.3955353356090934,-0.26382603676256045,-0.3601953923000279,-0.7419920891401471,-0.6771097931692726,3.4232125276329355,-0.4033086717163932,-0.24567708727276089,-0.9551081625709409,-0.18537118827377191,-0.24207486904737732,4.073398601079081,-0.538991070447451,-0.25527369129978383,-0.8022296745341367,-0.18202056145925943,-0.38916517512838267,-0.5279511459918841,-0.4127038101123471,-0.3700936527262237,-0.1427830462758195,-0.5948422157151905,-0.4095027849128161,1.07179452504566,-0.7429983156517947,-0.7931169701145729,-0.5211394401412611,-0.7249675293572628,1.6372397822466422,-0.500945907076598,-0.3096772886147217,-0.3081376236294888,-0.20046450965586657,-0.27201218750226264,-0.5329044347854102,-0.4335929863163785,-0.6830301486151679,-0.4136784627075466,-0.305665647868265,-0.32592005603755525,-0.5344168389096806,-1.0787746948955055,-0.46515205519358893,-0.27016271526188823,-0.7640972842684087,-0.9212719768056604,-0.8309578263357683,-0.4806176465626618,-0.6347577423637581,-0.6884707761054755,-0.5049064382805712,-0.5420734459966906,3.396433878424778,-0.3657289118282894,-0.4750962326902343,0.17792876034272806,-0.16785481621479348,-0.36777983258616004,-0.2228035673484608,-0.8753806075893025,-0.15997352301537565,-0.37137469729995304,-0.4674188363281503,-0.1118033988749895,-0.47899559465775793,-0.7279902169552115,-0.44167548693436937,-0.4270289259380858,-0.28884673997842436,-0.3849027408229786,-0.234693221252113,-0.27419623170217305,-0.18796366791829644,-0.29296085334197797,-0.25760617897441107,-0.37810897811097577,4.1069143244668185,-0.3852683037370835,-0.39611425167265907,-0.13077798370873303,-0.34807188978404136,-0.19741992804609942,-0.37700976512447093,-0.25769465349572507,-0.3128075531702429,-0.3241809422757878,-0.3605462144022702,-0.3538879330383143,7.354767403661096,-0.56873554233606,-0.178200206156635,-0.4136784627075466,1.703762512763196,-0.2849149673996879,-0.12110798938851106,-0.9955558792655718,-0.2405297388494522,-0.2697937440349958,-0.3145824657126245
8,Fritz Abraham Oehrli,Schweizerische Volkspartei (SVP),-0.18402393099901873,-0.18935434599784673,-0.4818744983246121,-0.3009216430405471,2.4187134978042617,-0.30008971549374536,-0.2981531680856578,-0.1955463111650109,-0.31880294456132274,4.137904617364222,-0.6859421439606093,-0.7312048285511777,-0.883243348051979,-0.3955353356090934,-0.26382603676256045,-0.3601953923000279,2.4180147614839465,-0.6771097931692726,-0.8232566748775092,-0.4033086717163932,-0.24567708727276089,-0.9551081625709409,-0.18537118827377191,-0.24207486904737732,-0.9424108726177877,-0.538991070447451,-0.25527369129978383,-0.8022296745341367,-0.18202056145925943,-0.38916517512838267,-0.5279511459918841,-0.4127038101123471,-0.3700936527262237,-0.1427830462758195,-0.5948422157151905,-0.4095027849128161,-1.1572497265699409,-0.7429983156517947,-0.7931169701145729,-0.5211394401412611,-0.7249675293572628,1.1247029939294606,-0.500945907076598,-0.3096772886147217,-0.3081376236294888,-0.20046450965586657,-0.27201218750226264,0.9944064435047787,-0.4335929863163785,-0.6830301486151679,-0.4136784627075466,-0.305665647868265,-0.32592005603755525,1.446916659364179,-1.0787746948955055,-0.46515205519358893,-0.27016271526188823,0.2382396775215614,3.464868401671148,2.1016406375413563,-0.4806176465626618,-0.6347577423637581,-0.6884707761054755,-0.5049064382805712,-0.5420734459966906,0.2231348456129311,-0.3657289118282894,-0.4750962326902343,-0.057164794597394826,-0.16785481621479348,-0.36777983258616004,-0.2228035673484608,0.10484219431782967,-0.15997352301537565,-0.37137469729995304,-0.4674188363281503,-0.1118033988749895,-0.47899559465775793,-0.7279902169552115,-0.44167548693436937,-0.4270289259380858,-0.28884673997842436,-0.3849027408229786,-0.234693221252113,-0.27419623170217305,-0.18796366791829644,-0.29296085334197797,-0.25760617897441107,-0.37810897811097577,-0.5813314954717801,-0.3852683037370835,-0.39611425167265907,-0.13077798370873303,-0.34807188978404136,-0.19741992804609942,-0.37700976512447093,-0.25769465349572507,-0.3128075531702429,5.223860151240061,-0.3605462144022702,-0.3538879330383143,-0.25899040348320596,-0.56873554233606,-0.178200206156635,-0.4136784627075466,-0.7507574268198297,-0.2849149673996879,-0.12110798938851106,1.4544720487606435,-0.2405297388494522,-0.2697937440349958,-0.3145824657126245
9,Hannes Germann,Schweizerische Volkspartei (SVP),-0.18402393099901873,-0.18935434599784673,-0.4818744983246121,-0.3009216430405471,-0.22618974049077026,-0.30008971549374536,-0.2981531680856578,-0.1955463111650109,-0.31880294456132274,-1.124504261243437,-0.6859421439606093,-0.7312048285511777,1.7235330227281156,-0.3955353356090934,-0.26382603676256045,-0.3601953923000279,0.6026916770828713,-0.6771097931692726,0.622349862147323,-0.4033086717163932,-0.24567708727276089,-0.9551081625709409,6.720889868823619,-0.24207486904737732,-0.9424108726177877,1.6493127000693473,-0.25527369129978383,0.7541352951024604,-0.18202056145925943,-0.38916517512838267,3.366494900054436,2.06698733208878,-0.3700936527262237,-0.1427830462758195,1.891062865277595,-0.4095027849128161,-0.398426151551864,1.1777667423228582,3.273040311300475,-0.5211394401412611,-0.7249675293572628,-0.9254441593392674,3.065975494085805,-0.3096772886147217,-0.3081376236294888,-0.20046450965586657,-0.27201218750226264,0.766934610567942,0.3882247482747879,-0.6830301486151679,-0.4136784627075466,-0.305665647868265,-0.32592005603755525,-0.5344168389096806,-0.12754217325342113,-0.46515205519358893,-0.27016271526188823,-1.1313838778321095,1.3184592802888802,0.8329278269278486,-0.4806176465626618,-0.6347577423637581,0.2101895905764998,-0.5049064382805712,-0.5420734459966906,-0.5701899125900307,-0.3657289118282894,6.035419426802275,-0.9975390143578866,-0.16785481621479348,-0.36777983258616004,-0.2228035673484608,-0.8753806075893025,-0.15997352301537565,-0.37137469729995304,-0.4674188363281503,-0.1118033988749895,-0.47899559465775793,-0.7279902169552115,-0.44167548693436937,-0.4270289259380858,-0.28884673997842436,-0.3849027408229786,-0.234693221252113,-0.27419623170217305,-0.18796366791829644,-0.29296085334197797,-0.25760617897441107,-0.37810897811097577,-0.5813314954717801,1.4379937271236327,-0.39611425167265907,-0.13077798370873303,-0.34807188978404136,-0.19741992804609942,-0.37700976512447093,-0.25769465349572507,-0.3128075531702429,-0.3241809422757878,-0.3605462144022702,-0.3538879330383143,-0.25899040348320596,-0.56873554233606,-0.178200206156635,-0.4136784627075466,2.5915675972932264,-0.2849149673996879,-0.12110798938851106,0.047009196490264436,-0.2405297388494522,-0.2697937440349958,1.595266888595538
