,Speaker Party,Phrase,Counts,Freq,N,tf_idf
0,Sozialdemokratische Partei der Schweiz (SP),"('nam', 'spfraktion')",194.0,2,11,330.7211298942545
6,Schweizerische Volkspartei (SVP),"('artikel', 'absatz')",461.0,8,11,146.80717004564445
7,Schweizerische Volkspartei (SVP),"('nam', 'svpfraktion')",179.0,5,11,141.1338675052044
8,Sozialdemokratische Partei der Schweiz (SP),"('artikel', 'absatz')",428.0,8,11,136.2981969187328
9,Schweizerische Volkspartei (SVP),"('million', 'frank')",1428.0,10,11,136.102936760576
10,Schweizerische Volkspartei (SVP),"('mehrheit', 'svpfraktion')",76.0,2,11,129.56085501012032
11,Sozialdemokratische Partei der Schweiz (SP),"('million', 'frank')",1099.0,10,11,104.7458876049531
12,Sozialdemokratische Partei der Schweiz (SP),"('parlamentar', 'initiativ')",475.0,9,11,95.31858034452183
21,Sozialdemokratische Partei der Schweiz (SP),"('bitt', 'deshalb')",259.0,8,11,82.47951635970045
32,Schweizerische Volkspartei (SVP),"('parlamentar', 'initiativ')",363.0,9,11,72.8434624527609
34,Schweizerische Volkspartei (SVP),"('svpfraktion', 'bitt')",54.0,3,11,70.16128114303409
39,Schweizerische Volkspartei (SVP),"('svpfraktion', 'bittet')",28.0,1,11,67.14106763835437
43,Sozialdemokratische Partei der Schweiz (SP),"('spfraktion', 'bitt')",27.0,1,11,64.743172365556
44,Schweizerische Volkspartei (SVP),"('svpfraktion', 'mind')",27.0,1,11,64.743172365556
48,Sozialdemokratische Partei der Schweiz (SP),"('pro', 'helvetia')",61.0,4,11,61.70765561238727
53,Sozialdemokratische Partei der Schweiz (SP),"('nach', 'jahr')",186.0,8,11,59.232393988047434
57,Schweizerische Volkspartei (SVP),"('bitt', 'antrag')",179.0,8,11,57.00321787021769
61,Sozialdemokratische Partei der Schweiz (SP),"('mind', 'ii')",176.0,8,11,56.04785667686209
72,Sozialdemokratische Partei der Schweiz (SP),"('offent', 'verkehr')",115.0,7,11,51.97828923045158
84,Sozialdemokratische Partei der Schweiz (SP),"('europa', 'union')",81.0,6,11,49.097000089195554
85,Sozialdemokratische Partei der Schweiz (SP),"('mehrheit', 'kommission')",244.0,9,11,48.9636496927649
