,Phrase,Counts,Freq,N,tf_idf
1,"('artikel', 'absatz')",2919.0,8.0,11,929.5664411350025
0,"('million', 'frank')",6064.0,10.0,11,577.9609303334264
188,"('nam', 'spfraktion')",195.0,2.0,11,332.42587798649294
5,"('parlamentar', 'initiativ')",1592.0,9.0,11,319.46774717574476
8,"('mehrheit', 'kommission')",1280.0,9.0,11,256.8584901915536
15,"('bitt', 'antrag')",802.0,8.0,11,255.39989235706474
16,"('nach', 'jahr')",787.0,8.0,11,250.62308639028672
337,"('nam', 'fdpfraktion')",142.0,2.0,11,242.0742290978564
36,"('offent', 'verkehr')",502.0,7.0,11,226.89653211901472
39,"('uns', 'kommission')",487.0,7.0,11,220.11675526286888
40,"('gemass', 'artikel')",486.0,7.0,11,219.6647701391258
20,"('mind', 'ii')",684.0,8.0,11,217.82235208507765
21,"('bitt', 'deshalb')",666.0,8.0,11,212.09018492494403
46,"('absatz', 'buchstab')",449.0,7.0,11,202.94132056063268
23,"('entwurf', 'bundesrat')",630.0,8.0,11,200.6258506046768
51,"('arme', 'xxi')",432.0,7.0,11,195.25757345700072
211,"('frau', 'spoerry')",184.0,4.0,11,186.1345677488403
64,"('herr', 'kolleg')",398.0,7.0,11,179.89007924973677
141,"('nam', 'kommission')",228.0,5.0,11,179.76827816305362
1001,"('nam', 'cvpfraktion')",74.0,1.0,11,177.44425018707943
12,"('bund', 'kanton')",832.0,9.0,11,166.95801862450983
257,"('bundesamt', 'justiz')",165.0,4.0,11,166.9141504269492
14,"('mind', 'i')",819.0,9.0,11,164.34929958350187
33,"('erst', 'lini')",508.0,8.0,11,161.77449540821556
38,"('drei', 'jahr')",490.0,8.0,11,156.04232824808196
302,"('pro', 'helvetia')",152.0,4.0,11,153.76333857512896
79,"('direkt', 'bundessteu')",340.0,7.0,11,153.67494207263945
80,"('kanton', 'zurich')",339.0,7.0,11,153.2229569488964
83,"('erneuerbar', 'energi')",335.0,7.0,11,151.41501645392418
198,"('nam', 'svpfraktion')",191.0,5.0,11,150.59535582957562
316,"('aussenpolit', 'kommission')",148.0,4.0,11,149.71693492841501
85,"('beschluss', 'nationalrat')",330.0,7.0,11,149.15509083520888
128,"('kommission', 'stimm')",245.0,6.0,11,148.5032718747273
86,"('beim', 'bund')",326.0,7.0,11,147.34715034023665
45,"('kommission', 'rechtsfrag')",460.0,8.0,11,146.4887163145259
130,"('autofrei', 'sonntag')",241.0,6.0,11,146.07872866044605
88,"('rechnung', 'getrag')",323.0,7.0,11,145.9911949690075
6,"('ganz', 'klar')",1496.0,10.0,11,142.5840289872701
138,"('europa', 'union')",234.0,6.0,11,141.8357780354538
47,"('darum', 'geht')",445.0,8.0,11,141.7119103477479
94,"('geht', 'frag')",312.0,7.0,11,141.01935860783385
18,"('pro', 'jahr')",699.0,9.0,11,140.2688161280437
139,"('schluss', 'gekomm')",230.0,6.0,11,139.41123482117257
50,"('geltend', 'recht')",434.0,8.0,11,138.208919305444
19,"('zehn', 'jahr')",685.0,9.0,11,137.4594263915736
7,"('herr', 'bundesrat')",1416.0,10.0,11,134.9592146029241
96,"('st', 'gall')",298.0,7.0,11,134.69156687543105
913,"('mehrheit', 'svpfraktion')",79.0,2.0,11,134.6750992868356
240,"('nationalrat', 'folg')",170.0,5.0,11,134.03775126192593
54,"('bereit', 'heut')",419.0,8.0,11,133.432113338666
55,"('bitt', 'nam')",418.0,8.0,11,133.11365960754745
98,"('mocht', 'darauf')",291.0,7.0,11,131.52767100922966
22,"('vier', 'jahr')",652.0,9.0,11,130.8372934413226
103,"('kommission', 'folg')",286.0,7.0,11,129.26774539051436
59,"('heut', 'morg')",403.0,8.0,11,128.33685364076945
60,"('herr', 'bundesprasident')",402.0,8.0,11,128.0183999096509
110,"('postulat', 'uberweis')",280.0,7.0,11,126.55583464805602
163,"('bundesrat', 'entwurf')",207.0,6.0,11,125.47011133905531
166,"('verdeckt', 'ermittl')",206.0,6.0,11,124.863975535485
113,"('neu', 'finanzausgleich')",276.0,7.0,11,124.74789415308379
67,"('gesetz', 'grundlag')",387.0,8.0,11,123.24159394287288
116,"('etwa', 'million')",270.0,7.0,11,122.03598341062545
294,"('nationalrat', 'beschloss')",154.0,5.0,11,121.42243349609763
9,"('geht', 'darum')",1259.0,10.0,11,119.99551637364509
181,"('beim', 'eintret')",197.0,6.0,11,119.40875330335216
182,"('mind', 'kommission')",197.0,6.0,11,119.40875330335216
73,"('grund', 'dafur')",369.0,8.0,11,117.50942678273927
121,"('absatz', 'artikel')",259.0,7.0,11,117.06414704945182
718,"('nam', 'grun')",90.0,3.0,11,116.93546857172348
122,"('gesagt', 'word')",258.0,7.0,11,116.61216192570876
124,"('bundesrat', 'leuenberg')",257.0,7.0,11,116.1601768019657
75,"('rechnung', 'trag')",364.0,8.0,11,115.91715812714659
200,"('auseinand', 'gesetzt')",190.0,6.0,11,115.16580267835994
206,"('frag', 'herrn')",188.0,6.0,11,113.95353107121932
338,"('herr', 'david')",142.0,5.0,11,111.96094517172638
77,"('seit', 'jahr')",351.0,8.0,11,111.77725962260564
78,"('zweit', 'saul')",350.0,8.0,11,111.4588058914871
126,"('standerat', 'folg')",246.0,7.0,11,111.18834044079208
547,"('bundesrat', 'nationalrat')",107.0,4.0,11,108.24129754959735
133,"('fassung', 'bundesrat')",239.0,7.0,11,108.02444457459067
134,"('bereit', 'erwahnt')",239.0,7.0,11,108.02444457459067
219,"('kommission', 'wurd')",177.0,6.0,11,107.28603723194584
364,"('inn', 'sich')",136.0,5.0,11,107.23020100954076
136,"('darauf', 'aufmerksam')",236.0,7.0,11,106.6684892033615
223,"('beantragt', 'kommission')",175.0,6.0,11,106.0737656248052
230,"('ja', 'schon')",173.0,6.0,11,104.86149401766458
235,"('mehr', 'geld')",172.0,6.0,11,104.25535821409426
239,"('nationalrat', 'kommission')",171.0,6.0,11,103.64922241052395
140,"('bundesrat', 'folg')",229.0,7.0,11,103.5045933371601
87,"('mehrheit', 'zuzustimm')",324.0,8.0,11,103.17900888240521
925,"('kolleg', 'schmid')",79.0,3.0,11,102.64335574629061
390,"('konstruktiv', 'referendum')",129.0,5.0,11,101.71099948699087
92,"('stellung', 'nehm')",317.0,8.0,11,100.94983276457546
396,"('evangel', 'unabhang')",128.0,5.0,11,100.9225421266266
399,"('jurist', 'person')",127.0,5.0,11,100.13408476626232
400,"('bilateral', 'abkomm')",127.0,5.0,11,100.13408476626232
402,"('unabhang', 'fraktion')",127.0,5.0,11,100.13408476626232
146,"('mocht', 'einfach')",221.0,7.0,11,99.88871234721564
630,"('frau', 'brunn')",98.0,4.0,11,99.13688934449102
37,"('funf', 'jahr')",493.0,9.0,11,98.93065286284056
11,"('d', 'h')",1034.0,10.0,11,98.55072591767198
149,"('losung', 'find')",218.0,7.0,11,98.53275697598647
634,"('bundesprasident', 'villig')",97.0,4.0,11,98.12528843281255
266,"('grund', 'genomm')",161.0,6.0,11,97.5878643748208
644,"('pensionskass', 'bund')",96.0,4.0,11,97.11368752113407
270,"('absatz', 'bundesverfass')",160.0,6.0,11,96.98172857125047
426,"('herr', 'schmid')",123.0,5.0,11,96.98025532480524
428,"('ahv', 'iv')",123.0,5.0,11,96.98025532480524
153,"('ausdruck', 'gebracht')",213.0,7.0,11,96.27283135727119
155,"('rund', 'milliard')",212.0,7.0,11,95.82084623352813
156,"('bundesrat', 'standerat')",212.0,7.0,11,95.82084623352813
157,"('folgend', 'grund')",212.0,7.0,11,95.82084623352813
280,"('leutenegg', 'oberholz')",157.0,6.0,11,95.16332116053954
43,"('bundesrat', 'villig')",474.0,9.0,11,95.11790964905968
159,"('kommission', 'antrag')",210.0,7.0,11,94.91687598604202
160,"('absatz', 'litera')",210.0,7.0,11,94.91687598604202
161,"('volk', 'stand')",209.0,7.0,11,94.46489086229896
291,"('sech', 'jahr')",154.0,6.0,11,93.34491374982859
477,"('frau', 'beerli')",118.0,5.0,11,93.03796852298389
171,"('mocht', 'kurz')",203.0,7.0,11,91.75298011984061
2922,"('fdpfraktion', 'bitt')",38.0,1.0,11,91.12002036633808
308,"('flughaf', 'zurich')",150.0,6.0,11,90.92037053554732
309,"('staatspolit', 'kommission')",150.0,6.0,11,90.92037053554732
104,"('davon', 'ausgeh')",284.0,8.0,11,90.44085963766382
497,"('energi', 'schweiz')",114.0,5.0,11,89.88413908152681
499,"('wirtschaft', 'leistungsfah')",114.0,5.0,11,89.88413908152681
107,"('antrag', 'kommissionsmehr')",282.0,8.0,11,89.80395217542676
180,"('wurd', 'bereit')",198.0,7.0,11,89.49305450112533
184,"('flankier', 'massnahm')",197.0,7.0,11,89.04106937738227
111,"('ganz', 'kurz')",279.0,8.0,11,88.84859098207114
187,"('herr', 'schluer')",196.0,7.0,11,88.58908425363921
112,"('deshalb', 'antrag')",278.0,8.0,11,88.53013725095262
320,"('kommission', 'verkehr')",146.0,6.0,11,88.49582732126606
321,"('verkehr', 'fernmeldewes')",146.0,6.0,11,88.49582732126606
48,"('bilateral', 'vertrag')",441.0,9.0,11,88.4957766988087
114,"('schon', 'gesagt')",276.0,8.0,11,87.89322978871554
192,"('bildung', 'forschung')",194.0,7.0,11,87.6851140061531
519,"('rapp', 'pro')",111.0,5.0,11,87.518767000434
326,"('allgemein', 'teil')",144.0,6.0,11,87.28355571412543
194,"('richtig', 'richtung')",193.0,7.0,11,87.23312888241004
790,"('kolleg', 'leuenberg')",86.0,4.0,11,86.99767840434927
197,"('letzt', 'mal')",192.0,7.0,11,86.78114375866699
524,"('verfug', 'stehend')",110.0,5.0,11,86.73030964006973
336,"('status', 'quo')",142.0,6.0,11,86.0712841069848
340,"('frag', 'beantwort')",142.0,6.0,11,86.0712841069848
199,"('ganz', 'schweiz')",190.0,7.0,11,85.87717351118087
201,"('erinner', 'ruf')",190.0,7.0,11,85.87717351118087
204,"('offent', 'interess')",189.0,7.0,11,85.42518838743781
205,"('antrag', 'stell')",188.0,7.0,11,84.97320326369476
117,"('ganz', 'einfach')",266.0,8.0,11,84.7086924775302
353,"('sicherheitspolit', 'bericht')",139.0,6.0,11,84.25287669627386
558,"('artikel', 'neu')",106.0,5.0,11,83.57648019861264
212,"('uberweis', 'motion')",184.0,7.0,11,83.16526276872253
120,"('grund', 'weshalb')",261.0,8.0,11,83.11642382193753
361,"('fassung', 'nationalrat')",137.0,6.0,11,83.04060508913322
56,"('kanton', 'gemeind')",413.0,9.0,11,82.87699722586846
564,"('nam', 'bundesrat')",105.0,5.0,11,82.78802283824838
567,"('schweizer', 'nationalbank')",105.0,5.0,11,82.78802283824838
214,"('neu', 'bundesverfass')",182.0,7.0,11,82.26129252123641
367,"('jahr', 'prozent')",135.0,6.0,11,81.82833348199259
583,"('de', 'dardel')",103.0,5.0,11,81.21110811751984
217,"('direkt', 'demokrati')",179.0,7.0,11,80.90533715000724
61,"('deshalb', 'bitt')",401.0,9.0,11,80.46894888032264
218,"('botschaft', 'bundesrat')",178.0,7.0,11,80.45335202626418
595,"('teil', 'meinung')",102.0,5.0,11,80.42265075715557
63,"('frag', 'stell')",399.0,9.0,11,80.06760748939834
222,"('wichtig', 'frag')",177.0,7.0,11,80.00136690252113
921,"('institutionell', 'anleg')",79.0,4.0,11,79.9164720225999
603,"('frau', 'fassl')",101.0,5.0,11,79.6341933967913
380,"('sag', 'muss')",131.0,6.0,11,79.40379026771133
384,"('kommission', 'meinung')",131.0,6.0,11,79.40379026771133
125,"('gross', 'mehrheit')",248.0,8.0,11,78.97652531739658
941,"('mocht', 'beliebt')",78.0,4.0,11,78.90487111092143
609,"('geht', 'dabei')",100.0,5.0,11,78.84573603642703
386,"('meinung', 'bundesrat')",130.0,6.0,11,78.79765446414102
228,"('stellungnahm', 'bundesrat')",174.0,7.0,11,78.64541153129196
229,"('verfug', 'gestellt')",174.0,7.0,11,78.64541153129196
13,"('darauf', 'hingewies')",822.0,10.0,11,78.3449677991551
127,"('bitt', 'dah')",246.0,8.0,11,78.3396178551595
231,"('interess', 'daran')",173.0,7.0,11,78.1934264075489
236,"('gentechn', 'verandert')",172.0,7.0,11,77.74144128380584
237,"('votum', 'herrn')",172.0,7.0,11,77.74144128380584
129,"('rund', 'prozent')",244.0,8.0,11,77.70271039292244
