,Speaker Party,Phrase,tf_idf
0,Christlichdemokratische Volkspartei der Schweiz (CVP),"('bund', 'kanton')",115.46558095934964
1,Christlichdemokratische Volkspartei der Schweiz (CVP),"('million', 'frank')",110.93919283552141
2,Christlichdemokratische Volkspartei der Schweiz (CVP),"('verdeckt', 'ermittl')",96.64873602918522
3,Christlichdemokratische Volkspartei der Schweiz (CVP),"('arme', 'xxi')",94.09395967774596
4,Christlichdemokratische Volkspartei der Schweiz (CVP),"('nam', 'kommission')",85.99603005246927
5,Christlichdemokratische Volkspartei der Schweiz (CVP),"('mehrheit', 'kommission')",84.02820458557261
6,Christlichdemokratische Volkspartei der Schweiz (CVP),"('kommission', 'rechtsfrag')",78.16675834085382
7,Christlichdemokratische Volkspartei der Schweiz (CVP),"('bitt', 'antrag')",74.6481303654394
8,Christlichdemokratische Volkspartei der Schweiz (CVP),"('rechnung', 'getrag')",71.85515673569172
9,Christlichdemokratische Volkspartei der Schweiz (CVP),"('bundesamt', 'justiz')",70.7078469320303
10,Christlichdemokratische Volkspartei der Schweiz (CVP),"('auslanderinn', 'ausland')",66.23719529946591
11,Christlichdemokratische Volkspartei der Schweiz (CVP),"('parlamentar', 'initiativ')",64.8169848493085
12,Christlichdemokratische Volkspartei der Schweiz (CVP),"('kommission', 'stimm')",60.66584242380991
13,Christlichdemokratische Volkspartei der Schweiz (CVP),"('rechnung', 'trag')",57.365065699549504
14,Christlichdemokratische Volkspartei der Schweiz (CVP),"('beantragt', 'kommission')",57.21605172927765
15,Christlichdemokratische Volkspartei der Schweiz (CVP),"('auseinand', 'gesetzt')",55.094489548153895
16,Christlichdemokratische Volkspartei der Schweiz (CVP),"('kommission', 'folg')",55.094489548153895
17,Christlichdemokratische Volkspartei der Schweiz (CVP),"('mehrheit', 'zuzustimm')",54.37687536755049
18,Christlichdemokratische Volkspartei der Schweiz (CVP),"('st', 'gall')",53.23737192293522
19,Christlichdemokratische Volkspartei der Schweiz (CVP),"('antrag', 'kommissionsmehr')",52.92035192020539
20,Christlichdemokratische Volkspartei der Schweiz (CVP),"('pro', 'helvetia')",51.86081983903243
21,Christlichdemokratische Volkspartei der Schweiz (CVP),"('bundesamt', 'fluchtling')",50.64210658645413
22,Christlichdemokratische Volkspartei der Schweiz (CVP),"('erneuerbar', 'energi')",50.49281284129689
23,Christlichdemokratische Volkspartei der Schweiz (CVP),"('stellung', 'nehm')",49.52179720973349
24,Christlichdemokratische Volkspartei der Schweiz (CVP),"('brunn', 'christian')",49.50350984634915
25,Christlichdemokratische Volkspartei der Schweiz (CVP),"('gesetz', 'grundlag')",48.53967097654189
26,Christlichdemokratische Volkspartei der Schweiz (CVP),"('frag', 'herrn')",47.937773070475856
27,Christlichdemokratische Volkspartei der Schweiz (CVP),"('landlich', 'raum')",47.77557225137182
28,Christlichdemokratische Volkspartei der Schweiz (CVP),"('mind', 'ii')",47.48793186861589
