,Phrase,Counts
0,"('bitt', 'parlamentar', 'initiativ', 'folg', 'geb')",194
1,"('too', 'big', 'to', 'fail', 'vorlag')",170
2,"('rund', 'million', 'frank', 'pro', 'jahr')",158
3,"('liegt', 'schriftlich', 'bericht', 'kommission', 'beantragt')",152
4,"('stimm', 'enthalt', 'initiativ', 'folg', 'geb')",139
5,"('schriftlich', 'bericht', 'kommission', 'erhalt', 'kommission')",116
6,"('bericht', 'kommission', 'erhalt', 'kommission', 'beantragt')",112
7,"('bundesrat', 'beantragt', 'ebenfall', 'annahm', 'motion')",111
8,"('schriftlich', 'bericht', 'kommission', 'kommission', 'beantragt')",105
9,"('kommission', 'beantragt', 'stimm', 'enthalt', 'motion')",103
10,"('liegt', 'schriftlich', 'bericht', 'kommission', 'kommission')",100
11,"('bundesgesetz', 'massnahm', 'wahrung', 'inn', 'sich')",96
12,"('too', 'big', 'to', 'fail', 'problemat')",92
13,"('stimm', 'enthalt', 'parlamentar', 'initiativ', 'folg')",87
14,"('stimm', 'parlamentar', 'initiativ', 'folg', 'geb')",86
15,"('schriftlich', 'bericht', 'kommission', 'beantragt', 'einstimm')",86
16,"('motion', 'anzunehm', 'bundesrat', 'beantragt', 'ebenfall')",85
17,"('anzunehm', 'bundesrat', 'beantragt', 'ebenfall', 'annahm')",84
18,"('enthalt', 'parlamentar', 'initiativ', 'folg', 'geb')",83
19,"('kommission', 'beantragt', 'einstimm', 'motion', 'anzunehm')",82
20,"('schriftlich', 'antwort', 'bundesrat', 'befriedigt', 'diskussion')",82
21,"('interpellant', 'schriftlich', 'antwort', 'bundesrat', 'befriedigt')",80
22,"('beantragt', 'stimm', 'enthalt', 'initiativ', 'folg')",79
23,"('konferenz', 'kantonal', 'justiz', 'polizeidirektorinn', 'direktor')",78
24,"('antwort', 'bundesrat', 'befriedigt', 'diskussion', 'beantragt')",74
25,"('eidgenoss', 'buro', 'gleichstell', 'frau', 'mann')",72
26,"('etwa', 'million', 'frank', 'pro', 'jahr')",71
27,"('wurd', 'kommission', 'stimm', 'enthalt', 'abgelehnt')",70
28,"('beantragt', 'stimm', 'initiativ', 'folg', 'geb')",70
29,"('harmonisier', 'direkt', 'steu', 'kanton', 'gemeind')",64
30,"('kommission', 'beantragt', 'stimm', 'enthalt', 'initiativ')",61
31,"('artikel', 'absatz', 'artikel', 'absatz', 'artikel')",60
32,"('bundesgesetz', 'harmonisier', 'direkt', 'steu', 'kanton')",59
33,"('neugestalt', 'finanzausgleich', 'aufgabenteil', 'bund', 'kanton')",59
34,"('bundesgesetz', 'betreff', 'uberwach', 'post', 'fernmeldeverkehr')",57
35,"('million', 'frank', 'jahr', 'million', 'frank')",57
36,"('deshalb', 'parlamentar', 'initiativ', 'folg', 'geb')",56
37,"('rund', 'milliard', 'frank', 'pro', 'jahr')",56
38,"('beantragt', 'parlamentar', 'initiativ', 'folg', 'geb')",55
39,"('frag', 'interpellant', 'schriftlich', 'antwort', 'bundesrat')",55
40,"('bundesrat', 'beantragt', 'ebenfall', 'ablehn', 'motion')",55
41,"('beantragt', 'stimm', 'enthalt', 'parlamentar', 'initiativ')",54
