id,abbr_de,abbr_fr,abbr_it,abbr_ro,color,on_color,on_white,on_black,name_de,name_fr,name_it,name_ro
1,EAG,EAG,EAG,EAG,#AD4F89,#FFF,#AD4F89,#B2578F,Ensemble à Gauche,Ensemble à Gauche,Ensemble à Gauche,Ensemble à Gauche
2,PDA,PDT,POP,PDL,#BF3939,#FFF,#BF3939,#C94A4A,Partei der Arbeit Schweiz,Parti suisse du travail,Partito operaio e popolare,Partida da la lavur
3,AL,LG,SIN,SA,#A83232,#FFF,#AD3434,#C94A4A,Alternative Linke,La Gauche,La Sinistra,La Sanestra alternativa
4,SOL,SOL,SOL,SOL,#A83232,#FFF,#AD3434,#C94A4A,SolidaritéS,SolidaritéS,Solidarietà,SolidaritéS
5,DA,DA,DA,DA,#A83232,#FFF,#AD3434,#C94A4A,Décroissance - Alternatives,Décroissance - Alternatives,Décroissance - Alternatives,Décroissance - Alternatives
6,SE,SE,SE,SE,#A83232,#FFF,#AD3434,#C94A4A,Solidarité & Écologie,Solidarité & Écologie,Solidarité & Écologie,Solidarité & Écologie
7,KP,PC,PC,PC,#8C2736,#FFF,#9C2C39,#CB4857,Kommunistische Partei,Parti communiste,Partito Comunista,Partida communistica
8,JA,JA,GA,GA,#8C2736,#FFF,#9C2C39,#CB4857,Junge Alternative,Jeune Alternative,Giovane Alternativa,Giuvna Alternativa
9,JSVR,JSVR,JSVR,GSVR,#F0554D,#FFF,#D0362E,#F0554D,Jeunesses Socialistes du Valais Romand,Jeunesses Socialistes du Valais Romand,Jeunesses Socialistes du Valais Romand,Jeunesses Socialistes du Valais Romand
10,SP,PS,PS,PS,#F0554D,#FFF,#D0362E,#F0554D,Sozialdemokratische Partei,Parti socialiste suisse,Partito Socialista,Partida socialdemocratica
11,JUSO,JS,GS,GS,#F0554D,#FFF,#D0362E,#F0554D,Jungsozialist*Innen Schweiz,Jeunesses Socialiste Suisse,Gioventù Socialista Svizzera,Giuventetgna Socialista Svizra
12,Grüne,Verts,Verdi,Verds,#84B547,#000,#5D8132,#84B547,Grüne Partei,Parti écologiste suisse (Les Verts),Partito ecologista,Partida dals Verds
13,JG,JV,GV,GV,#84B547,#000,#5D8132,#84B547,Junge Grüne,Jeunes Vertes,Giovani Verdi,Giuvens Verds
14,GLP,PVL,PVL,PVL,#C4C43D,#000,#999900,#C4C43D,Grünliberale Partei,Vert'libéraux,Partito Verde Liberale,Pardida verd-liberala
15,JGLP,JVL,GVL,GVL,#C4C43D,#000,#999900,#C4C43D,Junge Grünliberale,Jeunes vert'libéraux,I giovani verdi liberali,Giuvens verd-liberals
