,Phrase,qui
0,"('million', 'frank')",0.00022537638555100782
1,"('milliard', 'frank')",0.00010562126024003304
2,"('mittl', 'einkomm')",6.887213856346104e-05
3,"('konsumentinn', 'konsument')",6.725751219869268e-05
4,"('arbeitnehmerinn', 'arbeitnehm')",6.673043627382354e-05
5,"('servic', 'public')",5.637865026337844e-05
6,"('mieterinn', 'miet')",4.929379548443568e-05
7,"('ablehn', 'empfehl')",4.82485738826621e-05
8,"('steu', 'abgab')",4.190504153875182e-05
9,"('konstruktiv', 'referendum')",3.779409106013453e-05
10,"('einseit', 'massnahm')",3.320106569427911e-05
11,"('landlich', 'raum')",3.22110718117265e-05
12,"('aussenpolit', 'kommission')",3.147743164268392e-05
13,"('parlamentarierinn', 'parlamentari')",3.1015444167656296e-05
14,"('sair', 'group')",2.8707602798050812e-05
15,"('bilateral', 'vertrag')",2.6729443673619244e-05
16,"('pensionskass', 'bund')",2.65122677696388e-05
17,"('flughaf', 'zurich')",2.6250087125891524e-05
18,"('stiftung', 'pro')",2.61991887206024e-05
19,"('uberleb', 'ehegatt')",2.604248870003321e-05
20,"('kanton', 'baselstadt')",2.5964461795202315e-05
21,"('arme', 'xxi')",2.58433597948111e-05
22,"('wirtschaft', 'leistungsfah')",2.4723391782654526e-05
23,"('schweizer', 'neutralitat')",2.4387442421596797e-05
24,"('bitt', 'antrag')",2.387029357623688e-05
25,"('initiativ', 'ablehn')",2.3832321786515936e-05
26,"('eidgenoss', 'finanzkontroll')",2.3155566111430348e-05
27,"('klar', 'meinung')",2.3143788127596654e-05
28,"('scheint', 'wichtig')",2.164971623988573e-05
29,"('organisation', 'arbeitswelt')",2.1265683060920347e-05
30,"('rentnerinn', 'rentn')",2.1209657066585985e-05
31,"('diskussion', 'stehend')",2.110494735161319e-05
32,"('bewaffnet', 'neutralitat')",2.108323465904638e-05
33,"('vorlag', 'einzutret')",2.105892493050646e-05
34,"('administrativ', 'entlast')",2.0905893923499938e-05
35,"('bilateral', 'abkomm')",2.0900038387156606e-05
36,"('auslanderinn', 'ausland')",2.029246951792707e-05
37,"('eidgenoss', 'rat')",2.0120840575189034e-05
38,"('flankier', 'massnahm')",2.009637803220085e-05
39,"('aufgab', 'bund')",1.9889924675878068e-05
40,"('sicherheitspolit', 'bericht')",1.9611037235675768e-05
