Speaker,0,1,2,3,4,Min,Max
Adalbert Durrer,1.0,,,,,1.0,1.0
Adolf Ogi,1.0,,,,,1.0,1.0
Adrian Amstutz,2.0,3.0,4.0,5.0,,2.0,5.0
Adrian Wüthrich,5.0,,,,,5.0,5.0
Adriano Imfeld,1.0,2.0,,,,1.0,2.0
Alain Berset,3.0,4.0,5.0,,,3.0,5.0
Albert Rösti,4.0,5.0,,,,4.0,5.0
Albert Vitali,4.0,5.0,,,,4.0,5.0
Alec von Graffenried,3.0,4.0,,,,3.0,4.0
Alex Heim,1.0,,,,,1.0,1.0
Alex Kuprecht,2.0,3.0,4.0,5.0,,2.0,5.0
Alexander Tschäppät,1.0,4.0,5.0,,,1.0,5.0
Alfred Heer,3.0,4.0,5.0,,,3.0,5.0
Aline Trede,4.0,5.0,,,,4.0,5.0
Alois Gmür,4.0,5.0,,,,4.0,5.0
Andrea Caroni,4.0,5.0,,,,4.0,5.0
Andrea Gmür-Schönenberger,5.0,,,,,5.0,5.0
Andrea Hämmerle,1.0,2.0,3.0,,,1.0,3.0
Andrea Martina Geissbühler,3.0,4.0,5.0,,,3.0,5.0
Andreas Aebi,3.0,4.0,5.0,,,3.0,5.0
Andreas Brönnimann,3.0,,,,,3.0,3.0
Andreas Glarner,5.0,,,,,5.0,5.0
Andreas Gross,1.0,2.0,3.0,4.0,,1.0,4.0
Andreas Zeller,2.0,,,,,2.0,2.0
André Bugnon,3.0,,,,,3.0,3.0
André Daguet,2.0,3.0,,,,2.0,3.0
Andy Tschümperlin,2.0,3.0,4.0,,,2.0,4.0
Angelo Barrile,5.0,,,,,5.0,5.0
Anita Fetz,1.0,2.0,3.0,4.0,5.0,1.0,5.0
Anita Lachenmeier-Thüring,3.0,,,,,3.0,3.0
Anita Thanei,1.0,2.0,3.0,,,1.0,3.0
Anne Seydoux-Christe,5.0,,,,,5.0,5.0
Annemarie Huber-Hotz,1.0,2.0,3.0,,,1.0,3.0
Anton Cottier,1.0,,,,,1.0,1.0
Antonio Hodgers,4.0,,,,,4.0,4.0
Arthur Loepfe,1.0,2.0,3.0,,,1.0,3.0
Balthasar Glättli,4.0,5.0,,,,4.0,5.0
Barbara Gysi,4.0,5.0,,,,4.0,5.0
Barbara Haering,1.0,2.0,,,,1.0,2.0
Barbara Keller-Inhelder,5.0,,,,,5.0,5.0
Barbara Marty Kälin,1.0,2.0,,,,1.0,2.0
Barbara Schmid-Federer,3.0,4.0,5.0,,,3.0,5.0
Barbara Steinemann,5.0,,,,,5.0,5.0
Bastien Girod,3.0,4.0,5.0,,,3.0,5.0
Bea Heim,2.0,3.0,4.0,5.0,,2.0,5.0
Beat Arnold,5.0,,,,,5.0,5.0
Beat Flach,4.0,5.0,,,,4.0,5.0
Beat Jans,3.0,4.0,5.0,,,3.0,5.0
Beat Rieder,5.0,,,,,5.0,5.0
Beat Vonlanthen,5.0,,,,,5.0,5.0
Beat Walti,4.0,5.0,,,,4.0,5.0
Benedikt Würth,5.0,,,,,5.0,5.0
Benjamin Roduit,5.0,,,,,5.0,5.0
Benoît Genecand,5.0,,,,,5.0,5.0
Bernhard Guhl,4.0,5.0,,,,4.0,5.0
Bernhard Hess,1.0,2.0,,,,1.0,2.0
Boris Banga,1.0,2.0,,,,1.0,2.0
Brigit Wyss,3.0,,,,,3.0,3.0
Brigitta M. Gadient,1.0,2.0,3.0,,,1.0,3.0
Brigitte Häberli-Koller,2.0,3.0,4.0,5.0,,2.0,5.0
Bruno Frick,1.0,2.0,3.0,,,1.0,3.0
Bruno Pezzatti,4.0,5.0,,,,4.0,5.0
Bruno Walliser,5.0,,,,,5.0,5.0
Bruno Zuppiger,1.0,2.0,3.0,4.0,,1.0,4.0
Carlo Schmid-Sutter,1.0,2.0,,,,1.0,2.0
Carlo Sommaruga,4.0,,,,,4.0,4.0
Caspar Baader,1.0,2.0,3.0,4.0,,1.0,4.0
Chantal Galladé,2.0,3.0,4.0,5.0,,2.0,5.0
Chiara Simoneschi-Cortesi,1.0,2.0,3.0,,,1.0,3.0
Christa Markwalder,2.0,3.0,4.0,5.0,,2.0,5.0
Christian Imark,5.0,,,,,5.0,5.0
Christian Levrat,2.0,3.0,4.0,5.0,,2.0,5.0
Christian Lohr,4.0,5.0,,,,4.0,5.0
Christian Miesch,2.0,3.0,4.0,,,2.0,4.0
Christian Speck,1.0,2.0,,,,1.0,2.0
Christian Waber,1.0,2.0,3.0,,,1.0,3.0
Christian Wasserfallen,3.0,4.0,5.0,,,3.0,5.0
Christian van Singer,3.0,4.0,,,,3.0,4.0
Christiane Langenberger,1.0,2.0,,,,1.0,2.0
Christine Beerli,1.0,,,,,1.0,1.0
Christine Bulliard-Marbach,4.0,5.0,,,,4.0,5.0
Christine Egerszegi-Obrist,1.0,2.0,3.0,4.0,,1.0,4.0
Christine Goll,1.0,2.0,3.0,,,1.0,3.0
Christine Häsler,4.0,5.0,,,,4.0,5.0
Christine Wirz-von Planta,1.0,,,,,1.0,1.0
Christoffel Brändli,1.0,2.0,3.0,,,1.0,3.0
Christoph Blocher,1.0,2.0,3.0,4.0,,1.0,4.0
Christoph Eymann,1.0,5.0,,,,1.0,5.0
Christoph Mörgeli,1.0,2.0,3.0,4.0,,1.0,4.0
Christoph von Rotz,3.0,,,,,3.0,3.0
Christophe Darbellay,2.0,3.0,4.0,,,2.0,4.0
Claude Hêche,4.0,5.0,,,,4.0,5.0
Claude Janiak,1.0,2.0,3.0,4.0,5.0,1.0,5.0
Claudia Friedl,4.0,5.0,,,,4.0,5.0
Claudio Zanetti,5.0,,,,,5.0,5.0
Corina Casanova,3.0,4.0,5.0,,,3.0,5.0
Corina Eichenberger-Walther,3.0,4.0,5.0,,,3.0,5.0
Corrado Pardini,3.0,4.0,5.0,,,3.0,5.0
Cécile Bühlmann,1.0,2.0,,,,1.0,2.0
Cédric Wermuth,4.0,5.0,,,,4.0,5.0
Damian Müller,5.0,,,,,5.0,5.0
Daniel Frei,5.0,,,,,5.0,5.0
Daniel Fässler,4.0,5.0,,,,4.0,5.0
Daniel Jositsch,3.0,4.0,5.0,,,3.0,5.0
