,Speaker Party,Speaker,"('absatz', 'buchstab')","('angehor', 'arme')","('anlegerinn', 'anleg')","('antrag', 'kommissionsmehr')","('antrag', 'mehrheit')","('antrag', 'mind')","('arbeitnehmerinn', 'arbeitnehm')","('arme', 'xxi')","('artikel', 'absatz')","('ausdruck', 'gebracht')","('auslanderinn', 'ausland')","('automat', 'informationsaustausch')","('beantragt', 'stimm')","('beid', 'rat')","('beim', 'eintret')","('beruf', 'vorsorg')","('beschluss', 'nationalrat')","('best', 'dank')","('bitt', 'antrag')","('bitt', 'deshalb')","('bitt', 'dringend')","('bitt', 'minderheitsantrag')","('bund', 'kanton')","('bundesrat', 'beantragt')","('bundesrat', 'folg')","('bundesrat', 'ja')","('bundesrat', 'meinung')","('bundesrat', 'motion')","('bundesrat', 'standerat')","('bundesrat', 'villig')","('bundesrat', 'vorgeschlag')","('daran', 'erinn')","('darauf', 'aufmerksam')","('darauf', 'hinweis')","('darum', 'bitt')","('de', 'la')","('deshalb', 'bundesrat')","('direkt', 'demokrati')","('eidgenoss', 'finanzkontroll')","('eidgenoss', 'steuerverwalt')","('einfach', 'sag')","('elt', 'sorg')","('entwurf', 'bundesrat')","('erneuerbar', 'energi')","('europa', 'gerichtshof')","('europa', 'union')","('fassung', 'bundesrat')","('folg', 'geb')","('frag', 'herr')","('frag', 'herrn')","('frau', 'bundesprasidentin')","('frau', 'bundesratin')","('frau', 'fetz')","('frau', 'kollegin')","('frau', 'leutenegg')","('frau', 'nationalratin')","('ganz', 'klar')","('ganz', 'wichtig')","('geh', 'davon')","('geht', 'darum')","('geht', 'frag')","('geltend', 'recht')","('gemass', 'artikel')","('gesagt', 'word')","('glaub', 'wichtig')","('gross', 'mehrheit')","('grund', 'weshalb')","('herr', 'bundesrat')","('herr', 'kolleg')","('herr', 'nationalrat')","('herr', 'standerat')","('heut', 'geltend')","('indirekt', 'gegenvorschlag')","('initiativ', 'folg')","('ja', 'schon')","('kanton', 'bern')","('kanton', 'schwyz')","('kanton', 'zurich')","('klar', 'meinung')","('kommission', 'beantragt')","('kommission', 'folg')","('kommission', 'rechtsfrag')","('kommissionssprech', 'gesagt')","('konsumentinn', 'konsument')","('leutenegg', 'oberholz')","('mehr', 'geld')","('mehrheit', 'folg')","('mehrheit', 'kommission')","('mehrheit', 'spfraktion')","('mehrheit', 'svpfraktion')","('mehrheit', 'wak')","('mehrheit', 'zuzustimm')","('mieterinn', 'miet')","('milliard', 'frank')","('mind', 'folg')","('minderheitsantrag', 'abzulehn')","('mocht', 'bitt')","('mocht', 'daran')","('mocht', 'einfach')","('motion', 'abzulehn')","('nach', 'jahr')","('nam', 'bundesrat')","('nam', 'spfraktion')","('nam', 'svpfraktion')","('nationalrat', 'folg')","('offent', 'verkehr')","('parlamentar', 'initiativ')","('patientinn', 'patient')","('pro', 'helvetia')","('rentnerinn', 'rentn')","('rund', 'milliard')","('sag', 'sei')","('sbb', 'cargo')","('seit', 'jahr')","('servic', 'public')","('sicherheitspolit', 'bericht')","('sicht', 'bundesrat')","('sicht', 'spfraktion')","('sinn', 'bitt')","('sozialdemokrat', 'fraktion')","('spfraktion', 'antrag')","('spfraktion', 'beantrag')","('spfraktion', 'begrusst')","('spfraktion', 'bitt')","('spfraktion', 'bittet')","('spfraktion', 'eintret')","('spfraktion', 'empfiehlt')","('spfraktion', 'ersuch')","('spfraktion', 'lehnt')","('spfraktion', 'mehrheit')","('spfraktion', 'mind')","('spfraktion', 'minderheitsantrag')","('spfraktion', 'steht')","('spfraktion', 'unterstutzt')","('spfraktion', 'vorlag')","('st', 'gall')","('staatspolit', 'kommission')","('stimm', 'enthalt')","('svpfraktion', 'antrag')","('svpfraktion', 'beantrag')","('svpfraktion', 'bitt')","('svpfraktion', 'bittet')","('svpfraktion', 'empfiehlt')","('svpfraktion', 'lehnt')","('svpfraktion', 'mehrheit')","('svpfraktion', 'mind')","('svpfraktion', 'unterstutzt')","('svpfraktion', 'vorlag')","('teilt', 'antrag')","('uns', 'kommission')","('uns', 'sicht')","('unterstutzt', 'spfraktion')","('vier', 'jahr')","('volkerrecht', 'vertrag')","('vorlauf', 'aufgenomm')","('vorlauf', 'aufnahm')","('worum', 'geht')","('zwanzig', 'jahr')","('zwei', 'drei')","('zweit', 'saul')"
0,Schweizerische Volkspartei (SVP),Adolf Ogi,0,1,0,1,0,7,0,46,9,14,6,0,0,4,1,0,2,4,7,10,1,1,11,6,2,3,6,4,0,0,0,4,0,4,0,1,1,2,3,0,1,0,3,0,0,0,1,0,4,5,0,0,0,0,2,0,24,2,1,6,2,0,1,2,1,0,5,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,5,0,0,0,0,0,18,0,1,9,2,0,1,12,7,0,0,0,0,1,0,0,0,0,2,0,6,3,18,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,3,6,1,0
1,Schweizerische Volkspartei (SVP),Bruno Zuppiger,1,0,0,0,9,24,1,0,15,4,0,0,0,1,2,0,0,0,8,1,2,1,18,3,3,0,0,3,3,2,0,1,0,0,2,0,0,3,0,0,0,0,5,2,0,0,0,3,1,1,0,1,0,1,1,0,11,0,0,7,0,2,1,1,0,3,0,2,2,0,0,1,0,0,0,1,0,3,0,0,3,0,0,0,1,3,1,22,0,4,6,2,1,45,0,0,0,0,0,0,4,0,0,19,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,3,7,1,0,0,9,6,1,3,0,1,1,0,4,0,1,0,0,0,1,0
2,Schweizerische Volkspartei (SVP),Caspar Baader,2,3,0,2,10,32,4,0,59,2,0,1,1,8,0,0,0,0,8,16,0,1,8,1,0,1,0,0,4,4,5,0,0,1,0,0,0,0,0,2,0,0,8,0,0,0,2,12,0,0,0,2,0,0,0,0,6,0,0,14,9,1,11,0,0,1,1,6,2,0,0,0,0,6,0,1,0,3,5,1,4,6,0,5,2,1,11,36,0,2,2,1,3,34,2,1,0,0,0,0,0,0,0,3,0,0,37,0,0,1,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,7,0,0,2,2,7,0,0,0,0,0,6,0,0,0,0,0,1,1
3,Schweizerische Volkspartei (SVP),Christian Speck,8,0,0,4,3,24,0,0,19,0,0,0,2,3,0,0,0,0,5,5,0,2,1,2,4,0,1,0,1,0,1,2,2,5,0,0,1,0,0,0,0,0,2,40,0,0,4,4,0,0,0,0,6,0,0,0,7,0,0,4,1,5,4,2,0,0,0,1,2,0,0,1,0,2,1,0,0,1,0,1,2,0,0,0,5,0,2,14,0,2,2,2,0,3,0,0,3,2,5,0,3,0,0,1,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,1,0,0,4,0,0,1,0,0,1,0,0,0,0,2,1,0
4,Schweizerische Volkspartei (SVP),Christoffel Brändli,5,0,0,2,1,10,0,0,25,3,0,0,3,1,1,0,2,0,12,10,2,0,8,5,4,1,0,2,0,5,0,3,2,13,0,0,2,0,0,1,3,0,4,0,0,0,4,19,0,1,0,3,0,0,0,0,2,0,14,15,11,1,5,1,0,0,0,8,0,0,0,0,0,9,4,0,0,4,1,15,11,0,0,0,0,1,3,3,0,0,0,0,0,59,1,0,5,2,10,0,14,1,0,0,5,21,22,0,0,0,4,4,0,4,6,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,11,2,0,0,3,3,12,0
5,Schweizerische Volkspartei (SVP),Christoph Blocher,0,0,0,0,2,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,0,1,0,0,0,9,0,0,3,0,2,1,1,2,0,0,1,0,2,0,0,1,1,0,1,0,0,4,1,0,5,0,1,0,0,7,2,0,0,6,0,0,0,16,0,0,0,1,0,0,6,0,0,3,0,0,0,0,0,0,5,10,0,2,0,0,0,3,0,20,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,4,1,2,4
6,Schweizerische Volkspartei (SVP),Christoph Mörgeli,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,6,0,0,0,0,0,3,2,1,0,0,3,0,0,1,0,1,0,0,0,3,0,10,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,1,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
7,Schweizerische Volkspartei (SVP),Elmar Bigger,2,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
8,Schweizerische Volkspartei (SVP),Ernst Schibli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
9,Schweizerische Volkspartei (SVP),Fritz Abraham Oehrli,2,0,0,2,0,10,0,0,6,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
