,Speaker,Speaker Party,"('absatz', 'buchstab')","('angehor', 'arme')","('anlegerinn', 'anleg')","('antrag', 'kommissionsmehr')","('antrag', 'mehrheit')","('antrag', 'mind')","('arbeitnehmerinn', 'arbeitnehm')","('arme', 'xxi')","('artikel', 'absatz')","('ausdruck', 'gebracht')","('auslanderinn', 'ausland')","('automat', 'informationsaustausch')","('beantragt', 'stimm')","('beid', 'rat')","('beim', 'eintret')","('beruf', 'vorsorg')","('beschluss', 'nationalrat')","('best', 'dank')","('bitt', 'antrag')","('bitt', 'deshalb')","('bitt', 'dringend')","('bitt', 'minderheitsantrag')","('bund', 'kanton')","('bundesrat', 'beantragt')","('bundesrat', 'folg')","('bundesrat', 'ja')","('bundesrat', 'meinung')","('bundesrat', 'motion')","('bundesrat', 'standerat')","('bundesrat', 'villig')","('bundesrat', 'vorgeschlag')","('daran', 'erinn')","('darauf', 'aufmerksam')","('darauf', 'hinweis')","('darum', 'bitt')","('de', 'la')","('deshalb', 'bundesrat')","('direkt', 'demokrati')","('eidgenoss', 'finanzkontroll')","('eidgenoss', 'steuerverwalt')","('einfach', 'sag')","('elt', 'sorg')","('entwurf', 'bundesrat')","('erneuerbar', 'energi')","('europa', 'gerichtshof')","('europa', 'union')","('fassung', 'bundesrat')","('folg', 'geb')","('frag', 'herr')","('frag', 'herrn')","('frau', 'bundesprasidentin')","('frau', 'bundesratin')","('frau', 'fetz')","('frau', 'kollegin')","('frau', 'leutenegg')","('frau', 'nationalratin')","('ganz', 'klar')","('ganz', 'wichtig')","('geh', 'davon')","('geht', 'darum')","('geht', 'frag')","('geltend', 'recht')","('gemass', 'artikel')","('gesagt', 'word')","('glaub', 'wichtig')","('gross', 'mehrheit')","('grund', 'weshalb')","('herr', 'bundesrat')","('herr', 'kolleg')","('herr', 'nationalrat')","('herr', 'standerat')","('heut', 'geltend')","('indirekt', 'gegenvorschlag')","('initiativ', 'folg')","('ja', 'schon')","('kanton', 'bern')","('kanton', 'schwyz')","('kanton', 'zurich')","('klar', 'meinung')","('kommission', 'beantragt')","('kommission', 'folg')","('kommission', 'rechtsfrag')","('kommissionssprech', 'gesagt')","('konsumentinn', 'konsument')","('leutenegg', 'oberholz')","('mehr', 'geld')","('mehrheit', 'folg')","('mehrheit', 'kommission')","('mehrheit', 'spfraktion')","('mehrheit', 'svpfraktion')","('mehrheit', 'wak')","('mehrheit', 'zuzustimm')","('mieterinn', 'miet')","('milliard', 'frank')","('mind', 'folg')","('minderheitsantrag', 'abzulehn')","('mocht', 'bitt')","('mocht', 'daran')","('mocht', 'einfach')","('motion', 'abzulehn')","('nach', 'jahr')","('nam', 'bundesrat')","('nam', 'spfraktion')","('nam', 'svpfraktion')","('nationalrat', 'folg')","('offent', 'verkehr')","('parlamentar', 'initiativ')","('patientinn', 'patient')","('pro', 'helvetia')","('rentnerinn', 'rentn')","('rund', 'milliard')","('sag', 'sei')","('sbb', 'cargo')","('seit', 'jahr')","('servic', 'public')","('sicherheitspolit', 'bericht')","('sicht', 'bundesrat')","('sicht', 'spfraktion')","('sinn', 'bitt')","('sozialdemokrat', 'fraktion')","('spfraktion', 'antrag')","('spfraktion', 'beantrag')","('spfraktion', 'begrusst')","('spfraktion', 'bitt')","('spfraktion', 'bittet')","('spfraktion', 'eintret')","('spfraktion', 'empfiehlt')","('spfraktion', 'ersuch')","('spfraktion', 'lehnt')","('spfraktion', 'mehrheit')","('spfraktion', 'mind')","('spfraktion', 'minderheitsantrag')","('spfraktion', 'steht')","('spfraktion', 'unterstutzt')","('spfraktion', 'vorlag')","('st', 'gall')","('staatspolit', 'kommission')","('stimm', 'enthalt')","('svpfraktion', 'antrag')","('svpfraktion', 'beantrag')","('svpfraktion', 'bitt')","('svpfraktion', 'bittet')","('svpfraktion', 'empfiehlt')","('svpfraktion', 'lehnt')","('svpfraktion', 'mehrheit')","('svpfraktion', 'mind')","('svpfraktion', 'unterstutzt')","('svpfraktion', 'vorlag')","('teilt', 'antrag')","('uns', 'kommission')","('uns', 'sicht')","('unterstutzt', 'spfraktion')","('vier', 'jahr')","('volkerrecht', 'vertrag')","('vorlauf', 'aufgenomm')","('vorlauf', 'aufnahm')","('worum', 'geht')","('zwanzig', 'jahr')","('zwei', 'drei')","('zweit', 'saul')"
0,Adolf Ogi,Schweizerische Volkspartei (SVP),0.0,0.002967359050445104,0.0,0.002967359050445104,0.0,0.020771513353115726,0.0,0.13649851632047477,0.026706231454005934,0.04154302670623145,0.017804154302670624,0.0,0.0,0.011869436201780416,0.002967359050445104,0.0,0.005934718100890208,0.011869436201780416,0.020771513353115726,0.02967359050445104,0.002967359050445104,0.002967359050445104,0.032640949554896145,0.017804154302670624,0.005934718100890208,0.008902077151335312,0.017804154302670624,0.011869436201780416,0.0,0.0,0.0,0.011869436201780416,0.0,0.011869436201780416,0.0,0.002967359050445104,0.002967359050445104,0.005934718100890208,0.008902077151335312,0.0,0.002967359050445104,0.0,0.008902077151335312,0.0,0.0,0.0,0.002967359050445104,0.0,0.011869436201780416,0.01483679525222552,0.0,0.0,0.0,0.0,0.005934718100890208,0.0,0.0712166172106825,0.005934718100890208,0.002967359050445104,0.017804154302670624,0.005934718100890208,0.0,0.002967359050445104,0.005934718100890208,0.002967359050445104,0.0,0.01483679525222552,0.002967359050445104,0.0,0.0,0.002967359050445104,0.0,0.0,0.0,0.0,0.002967359050445104,0.0,0.0,0.0,0.0,0.002967359050445104,0.0,0.0,0.0,0.005934718100890208,0.0,0.0,0.01483679525222552,0.0,0.0,0.0,0.0,0.0,0.05341246290801187,0.0,0.002967359050445104,0.026706231454005934,0.005934718100890208,0.0,0.002967359050445104,0.03560830860534125,0.020771513353115726,0.0,0.0,0.0,0.0,0.002967359050445104,0.0,0.0,0.0,0.0,0.005934718100890208,0.0,0.017804154302670624,0.008902077151335312,0.05341246290801187,0.005934718100890208,0.0,0.002967359050445104,0.002967359050445104,0.002967359050445104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002967359050445104,0.002967359050445104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002967359050445104,0.0,0.020771513353115726,0.0,0.0,0.0,0.008902077151335312,0.017804154302670624,0.002967359050445104,0.0
1,Bruno Zuppiger,Schweizerische Volkspartei (SVP),0.0031446540880503146,0.0,0.0,0.0,0.02830188679245283,0.07547169811320754,0.0031446540880503146,0.0,0.04716981132075472,0.012578616352201259,0.0,0.0,0.0,0.0031446540880503146,0.006289308176100629,0.0,0.0,0.0,0.025157232704402517,0.0031446540880503146,0.006289308176100629,0.0031446540880503146,0.05660377358490566,0.009433962264150943,0.009433962264150943,0.0,0.0,0.009433962264150943,0.009433962264150943,0.006289308176100629,0.0,0.0031446540880503146,0.0,0.0,0.006289308176100629,0.0,0.0,0.009433962264150943,0.0,0.0,0.0,0.0,0.015723270440251572,0.006289308176100629,0.0,0.0,0.0,0.009433962264150943,0.0031446540880503146,0.0031446540880503146,0.0,0.0031446540880503146,0.0,0.0031446540880503146,0.0031446540880503146,0.0,0.03459119496855346,0.0,0.0,0.0220125786163522,0.0,0.006289308176100629,0.0031446540880503146,0.0031446540880503146,0.0,0.009433962264150943,0.0,0.006289308176100629,0.006289308176100629,0.0,0.0,0.0031446540880503146,0.0,0.0,0.0,0.0031446540880503146,0.0,0.009433962264150943,0.0,0.0,0.009433962264150943,0.0,0.0,0.0,0.0031446540880503146,0.009433962264150943,0.0031446540880503146,0.06918238993710692,0.0,0.012578616352201259,0.018867924528301886,0.006289308176100629,0.0031446540880503146,0.14150943396226415,0.0,0.0,0.0,0.0,0.0,0.0,0.012578616352201259,0.0,0.0,0.059748427672955975,0.0,0.0031446540880503146,0.0031446540880503146,0.0,0.0031446540880503146,0.0,0.0,0.0031446540880503146,0.0,0.0031446540880503146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031446540880503146,0.0,0.0,0.0,0.0031446540880503146,0.018867924528301886,0.009433962264150943,0.0220125786163522,0.0031446540880503146,0.0,0.0,0.02830188679245283,0.018867924528301886,0.0031446540880503146,0.009433962264150943,0.0,0.0031446540880503146,0.0031446540880503146,0.0,0.012578616352201259,0.0,0.0031446540880503146,0.0,0.0,0.0,0.0031446540880503146,0.0
2,Caspar Baader,Schweizerische Volkspartei (SVP),0.00437636761487965,0.006564551422319475,0.0,0.00437636761487965,0.02188183807439825,0.0700218818380744,0.0087527352297593,0.0,0.12910284463894967,0.00437636761487965,0.0,0.002188183807439825,0.002188183807439825,0.0175054704595186,0.0,0.0,0.0,0.0,0.0175054704595186,0.0350109409190372,0.0,0.002188183807439825,0.0175054704595186,0.002188183807439825,0.0,0.002188183807439825,0.0,0.0,0.0087527352297593,0.0087527352297593,0.010940919037199124,0.0,0.0,0.002188183807439825,0.0,0.0,0.0,0.0,0.0,0.00437636761487965,0.0,0.0,0.0175054704595186,0.0,0.0,0.0,0.00437636761487965,0.0262582056892779,0.0,0.0,0.0,0.00437636761487965,0.0,0.0,0.0,0.0,0.01312910284463895,0.0,0.0,0.030634573304157548,0.019693654266958426,0.002188183807439825,0.024070021881838075,0.0,0.0,0.002188183807439825,0.002188183807439825,0.01312910284463895,0.00437636761487965,0.0,0.0,0.0,0.0,0.01312910284463895,0.0,0.002188183807439825,0.0,0.006564551422319475,0.010940919037199124,0.002188183807439825,0.0087527352297593,0.01312910284463895,0.0,0.010940919037199124,0.00437636761487965,0.002188183807439825,0.024070021881838075,0.0787746170678337,0.0,0.00437636761487965,0.00437636761487965,0.002188183807439825,0.006564551422319475,0.07439824945295405,0.00437636761487965,0.002188183807439825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006564551422319475,0.0,0.0,0.08096280087527352,0.0,0.0,0.002188183807439825,0.006564551422319475,0.0,0.0,0.002188183807439825,0.0,0.0,0.0,0.0,0.002188183807439825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015317286652078774,0.002188183807439825,0.0,0.002188183807439825,0.015317286652078774,0.0,0.0,0.00437636761487965,0.00437636761487965,0.015317286652078774,0.0,0.0,0.0,0.0,0.0,0.01312910284463895,0.0,0.0,0.0,0.0,0.0,0.002188183807439825,0.002188183807439825
3,Christian Speck,Schweizerische Volkspartei (SVP),0.03007518796992481,0.0,0.0,0.015037593984962405,0.011278195488721804,0.09022556390977443,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.007518796992481203,0.011278195488721804,0.0,0.0,0.0,0.0,0.018796992481203006,0.018796992481203006,0.0,0.007518796992481203,0.0037593984962406013,0.007518796992481203,0.015037593984962405,0.0,0.0037593984962406013,0.0,0.0037593984962406013,0.0,0.0037593984962406013,0.007518796992481203,0.007518796992481203,0.018796992481203006,0.0,0.0,0.0037593984962406013,0.0,0.0,0.0,0.0,0.0,0.007518796992481203,0.15037593984962405,0.0,0.0,0.015037593984962405,0.015037593984962405,0.0,0.0,0.0,0.0,0.022556390977443608,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.015037593984962405,0.0037593984962406013,0.018796992481203006,0.015037593984962405,0.007518796992481203,0.0,0.0,0.0,0.0037593984962406013,0.007518796992481203,0.0,0.0,0.0037593984962406013,0.0,0.007518796992481203,0.0037593984962406013,0.0,0.0,0.0037593984962406013,0.0,0.0037593984962406013,0.007518796992481203,0.0,0.0,0.0,0.018796992481203006,0.0,0.007518796992481203,0.05263157894736842,0.0,0.007518796992481203,0.007518796992481203,0.007518796992481203,0.0,0.011278195488721804,0.0,0.0,0.011278195488721804,0.007518796992481203,0.018796992481203006,0.0,0.011278195488721804,0.0,0.0,0.0037593984962406013,0.0,0.0,0.04887218045112782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037593984962406013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03007518796992481,0.018796992481203006,0.0037593984962406013,0.0,0.0,0.015037593984962405,0.0,0.0,0.0037593984962406013,0.0,0.0,0.0037593984962406013,0.0,0.0,0.0,0.0,0.007518796992481203,0.0037593984962406013,0.0
4,Christoffel Brändli,Schweizerische Volkspartei (SVP),0.010615711252653927,0.0,0.0,0.004246284501061571,0.0021231422505307855,0.021231422505307854,0.0,0.0,0.05307855626326964,0.006369426751592357,0.0,0.0,0.006369426751592357,0.0021231422505307855,0.0021231422505307855,0.0,0.004246284501061571,0.0,0.025477707006369428,0.021231422505307854,0.004246284501061571,0.0,0.016985138004246284,0.010615711252653927,0.008492569002123142,0.0021231422505307855,0.0,0.004246284501061571,0.0,0.010615711252653927,0.0,0.006369426751592357,0.004246284501061571,0.027600849256900213,0.0,0.0,0.004246284501061571,0.0,0.0,0.0021231422505307855,0.006369426751592357,0.0,0.008492569002123142,0.0,0.0,0.0,0.008492569002123142,0.040339702760084924,0.0,0.0021231422505307855,0.0,0.006369426751592357,0.0,0.0,0.0,0.0,0.004246284501061571,0.0,0.029723991507430998,0.03184713375796178,0.02335456475583864,0.0021231422505307855,0.010615711252653927,0.0021231422505307855,0.0,0.0,0.0,0.016985138004246284,0.0,0.0,0.0,0.0,0.0,0.01910828025477707,0.008492569002123142,0.0,0.0,0.008492569002123142,0.0021231422505307855,0.03184713375796178,0.02335456475583864,0.0,0.0,0.0,0.0,0.0021231422505307855,0.006369426751592357,0.006369426751592357,0.0,0.0,0.0,0.0,0.0,0.12526539278131635,0.0021231422505307855,0.0,0.010615711252653927,0.004246284501061571,0.021231422505307854,0.0,0.029723991507430998,0.0021231422505307855,0.0,0.0,0.010615711252653927,0.044585987261146494,0.04670912951167728,0.0,0.0,0.0,0.008492569002123142,0.008492569002123142,0.0,0.008492569002123142,0.012738853503184714,0.0,0.0021231422505307855,0.0,0.008492569002123142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010615711252653927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014861995753715499,0.0,0.0,0.02335456475583864,0.004246284501061571,0.0,0.0,0.006369426751592357,0.006369426751592357,0.025477707006369428,0.0
5,Christoph Blocher,Schweizerische Volkspartei (SVP),0.0,0.0,0.0,0.0,0.012422360248447204,0.018633540372670808,0.0,0.0,0.006211180124223602,0.0,0.0,0.0,0.0,0.006211180124223602,0.006211180124223602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031055900621118012,0.0,0.0,0.006211180124223602,0.0,0.0,0.0,0.055900621118012424,0.0,0.0,0.018633540372670808,0.0,0.012422360248447204,0.006211180124223602,0.006211180124223602,0.012422360248447204,0.0,0.0,0.006211180124223602,0.0,0.012422360248447204,0.0,0.0,0.006211180124223602,0.006211180124223602,0.0,0.006211180124223602,0.0,0.0,0.024844720496894408,0.006211180124223602,0.0,0.031055900621118012,0.0,0.006211180124223602,0.0,0.0,0.043478260869565216,0.012422360248447204,0.0,0.0,0.037267080745341616,0.0,0.0,0.0,0.09937888198757763,0.0,0.0,0.0,0.006211180124223602,0.0,0.0,0.037267080745341616,0.0,0.0,0.018633540372670808,0.0,0.0,0.0,0.0,0.0,0.0,0.031055900621118012,0.062111801242236024,0.0,0.012422360248447204,0.0,0.0,0.0,0.018633540372670808,0.0,0.12422360248447205,0.0,0.0,0.0,0.0,0.0,0.0,0.018633540372670808,0.0,0.0,0.0,0.0,0.0,0.037267080745341616,0.0,0.0,0.0,0.0,0.024844720496894408,0.0,0.006211180124223602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006211180124223602,0.0,0.0,0.0,0.0,0.0,0.006211180124223602,0.0,0.0,0.006211180124223602,0.0,0.0,0.0,0.0,0.0,0.018633540372670808,0.0,0.0,0.0,0.024844720496894408,0.006211180124223602,0.012422360248447204,0.024844720496894408
6,Christoph Mörgeli,Schweizerische Volkspartei (SVP),0.0,0.0,0.0,0.0,0.0,0.06578947368421052,0.0,0.0,0.039473684210526314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013157894736842105,0.0,0.0,0.0,0.013157894736842105,0.013157894736842105,0.0,0.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.013157894736842105,0.07894736842105263,0.0,0.0,0.0,0.0,0.0,0.039473684210526314,0.02631578947368421,0.013157894736842105,0.0,0.0,0.039473684210526314,0.0,0.0,0.013157894736842105,0.0,0.013157894736842105,0.0,0.0,0.0,0.039473684210526314,0.0,0.13157894736842105,0.09210526315789473,0.0,0.0,0.0,0.0,0.0,0.039473684210526314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013157894736842105,0.0,0.013157894736842105,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.013157894736842105,0.09210526315789473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039473684210526314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013157894736842105,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013157894736842105,0.0,0.0
7,Elmar Bigger,Schweizerische Volkspartei (SVP),0.058823529411764705,0.0,0.0,0.0,0.029411764705882353,0.058823529411764705,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.08823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.08823529411764706,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.029411764705882353,0.0,0.058823529411764705,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Ernst Schibli,Schweizerische Volkspartei (SVP),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.05555555555555555,0.0,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Fritz Abraham Oehrli,Schweizerische Volkspartei (SVP),0.03389830508474576,0.0,0.0,0.03389830508474576,0.0,0.1694915254237288,0.0,0.0,0.1016949152542373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06779661016949153,0.0,0.03389830508474576,0.0,0.0,0.0,0.01694915254237288,0.0,0.0,0.0,0.0,0.03389830508474576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03389830508474576,0.0,0.0,0.0,0.0,0.01694915254237288,0.0,0.0,0.0,0.05084745762711865,0.0,0.01694915254237288,0.0,0.0,0.0,0.0,0.01694915254237288,0.0,0.0,0.0,0.06779661016949153,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.0,0.01694915254237288,0.0,0.01694915254237288,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03389830508474576,0.0,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.0,0.0,0.03389830508474576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03389830508474576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05084745762711865,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.0
