,Speaker Party,Speaker,"('allgemein', 'volksinitiativ')","('antrag', 'kommission')","('antrag', 'mehrheit')","('antrag', 'mind')","('antwort', 'bundesrat')","('arbeitnehmerinn', 'arbeitnehm')","('arme', 'xxi')","('artikel', 'absatz')","('artikel', 'or')","('aussenpolit', 'kommission')","('bilateral', 'abkomm')","('bitt', 'antrag')","('bitt', 'deshalb')","('bund', 'kanton')","('bundesamt', 'justiz')","('bundesrat', 'villig')","('d', 'h')","('darum', 'geht')","('de', 'dardel')","('drei', 'jahr')","('einseit', 'massnahm')","('erneuerbar', 'energi')","('europa', 'union')","('flankier', 'massnahm')","('flughaf', 'zurich')","('folg', 'geb')","('frag', 'herrn')","('fried', 'sicherheitspolit')","('ganz', 'klar')","('ganz', 'schweiz')","('ganz', 'wichtig')","('geht', 'darum')","('geltend', 'recht')","('gemass', 'artikel')","('herr', 'kolleg')","('herr', 'schluer')","('initiativ', 'folg')","('inn', 'sich')","('kanton', 'uri')","('kanton', 'zurich')","('kenntnis', 'nehm')","('kommission', 'beantragt')","('kommission', 'folg')","('kommission', 'rechtsfrag')","('konstruktiv', 'referendum')","('konsumentinn', 'konsument')","('mehr', 'benotigt')","('mehr', 'geld')","('mehrheit', 'kommission')","('mehrheit', 'svpfraktion')","('mieterinn', 'miet')","('million', 'frank')","('mind', 'i')","('mind', 'ii')","('mocht', 'daran')","('nach', 'jahr')","('nam', 'kommission')","('nam', 'spfraktion')","('nam', 'svpfraktion')","('neu', 'steu')","('offent', 'verkehr')","('parlamentar', 'initiativ')","('pro', 'helvetia')","('pro', 'jahr')","('servic', 'public')","('spfraktion', 'bitt')","('spfraktion', 'mocht')","('spfraktion', 'unterstutzt')","('st', 'gall')","('stimm', 'enthalt')","('svpfraktion', 'antrag')","('svpfraktion', 'bitt')","('svpfraktion', 'bittet')","('svpfraktion', 'empfiehlt')","('svpfraktion', 'lehnt')","('svpfraktion', 'mehrheit')","('svpfraktion', 'mind')","('svpfraktion', 'stimmt')","('svpfraktion', 'unterstutzt')","('uns', 'kommission')","('vier', 'jahr')","('vorstoss', 'rahm')","('zweit', 'etapp')","('zweit', 'saul')"
0,Schweizerische Volkspartei (SVP),Adolf Ogi,0,1,0,7,9,0,46,9,0,4,1,7,10,11,0,0,17,3,2,8,0,0,0,2,0,0,5,0,24,0,2,6,0,1,0,7,0,14,1,0,8,0,1,0,0,0,0,0,5,0,0,43,3,0,2,12,0,0,0,0,0,1,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
1,Schweizerische Volkspartei (SVP),Bruno Zuppiger,0,1,9,24,0,1,0,15,0,0,0,8,1,18,0,2,5,2,0,2,0,2,0,1,0,3,1,0,11,0,0,7,2,1,2,0,0,1,0,3,6,0,3,0,0,0,0,3,22,4,1,63,19,6,0,4,0,0,19,6,1,1,1,4,0,0,1,1,0,1,6,7,1,0,0,9,6,3,1,1,4,0,0,0
2,Schweizerische Volkspartei (SVP),Caspar Baader,5,1,10,32,2,4,0,59,0,0,1,8,16,8,2,4,38,4,1,2,0,0,0,3,0,12,0,0,6,0,0,14,1,11,2,1,6,0,0,3,0,1,4,6,0,5,3,1,36,2,3,83,23,18,0,0,4,0,3,4,0,37,0,17,0,0,0,0,0,7,1,1,7,0,0,2,2,0,7,0,6,0,0,1
3,Schweizerische Volkspartei (SVP),Christian Speck,0,2,3,24,1,0,0,19,0,0,0,5,5,1,0,0,3,0,0,7,0,40,0,0,0,4,0,0,7,0,0,4,5,4,2,0,2,0,0,1,0,1,2,0,0,0,0,0,14,2,0,24,12,2,2,3,0,0,1,16,0,13,0,8,1,0,0,0,0,0,0,0,8,5,1,0,0,2,4,1,1,0,0,0
4,Schweizerische Volkspartei (SVP),Christoffel Brändli,0,12,1,10,9,0,0,25,1,0,0,12,10,8,0,5,10,7,0,6,0,0,0,2,2,19,1,0,2,3,0,15,1,5,0,0,9,0,0,4,6,15,11,0,0,0,1,1,3,0,0,115,3,2,2,14,5,0,0,2,21,22,0,1,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,11,0,0,0
5,Schweizerische Volkspartei (SVP),Christoph Blocher,0,0,2,3,1,0,0,1,0,0,0,0,0,5,0,9,2,1,0,3,0,0,1,0,1,0,0,0,1,1,0,7,0,0,0,0,0,0,0,3,6,0,0,0,0,0,1,10,2,0,0,42,2,2,0,3,0,0,0,0,0,6,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,3,0,0,4
6,Schweizerische Volkspartei (SVP),Christoph Mörgeli,0,0,0,5,1,0,0,3,0,7,0,1,0,0,0,1,1,1,0,2,0,0,6,0,0,0,0,0,3,0,0,1,1,0,7,0,0,0,0,0,3,0,0,0,0,1,0,1,0,4,1,17,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0
7,Schweizerische Volkspartei (SVP),Elmar Bigger,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
8,Schweizerische Volkspartei (SVP),Ernst Schibli,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
9,Schweizerische Volkspartei (SVP),Fritz Abraham Oehrli,0,0,0,10,1,0,0,6,0,0,0,4,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,1,0,0,1,5,0,0,0,0,0,0,1,0,0,0,7,5,3,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
