,Speaker,Speaker Party,"('allgemein', 'volksinitiativ')","('antrag', 'kommission')","('antrag', 'mehrheit')","('antrag', 'mind')","('antwort', 'bundesrat')","('arbeitnehmerinn', 'arbeitnehm')","('arme', 'xxi')","('artikel', 'absatz')","('artikel', 'or')","('aussenpolit', 'kommission')","('bilateral', 'abkomm')","('bitt', 'antrag')","('bitt', 'deshalb')","('bund', 'kanton')","('bundesamt', 'justiz')","('bundesrat', 'villig')","('d', 'h')","('darum', 'geht')","('de', 'dardel')","('drei', 'jahr')","('einseit', 'massnahm')","('erneuerbar', 'energi')","('europa', 'union')","('flankier', 'massnahm')","('flughaf', 'zurich')","('folg', 'geb')","('frag', 'herrn')","('fried', 'sicherheitspolit')","('ganz', 'klar')","('ganz', 'schweiz')","('ganz', 'wichtig')","('geht', 'darum')","('geltend', 'recht')","('gemass', 'artikel')","('herr', 'kolleg')","('herr', 'schluer')","('initiativ', 'folg')","('inn', 'sich')","('kanton', 'uri')","('kanton', 'zurich')","('kenntnis', 'nehm')","('kommission', 'beantragt')","('kommission', 'folg')","('kommission', 'rechtsfrag')","('konstruktiv', 'referendum')","('konsumentinn', 'konsument')","('mehr', 'benotigt')","('mehr', 'geld')","('mehrheit', 'kommission')","('mehrheit', 'svpfraktion')","('mieterinn', 'miet')","('million', 'frank')","('mind', 'i')","('mind', 'ii')","('mocht', 'daran')","('nach', 'jahr')","('nam', 'kommission')","('nam', 'spfraktion')","('nam', 'svpfraktion')","('neu', 'steu')","('offent', 'verkehr')","('parlamentar', 'initiativ')","('pro', 'helvetia')","('pro', 'jahr')","('servic', 'public')","('spfraktion', 'bitt')","('spfraktion', 'mocht')","('spfraktion', 'unterstutzt')","('st', 'gall')","('stimm', 'enthalt')","('svpfraktion', 'antrag')","('svpfraktion', 'bitt')","('svpfraktion', 'bittet')","('svpfraktion', 'empfiehlt')","('svpfraktion', 'lehnt')","('svpfraktion', 'mehrheit')","('svpfraktion', 'mind')","('svpfraktion', 'stimmt')","('svpfraktion', 'unterstutzt')","('uns', 'kommission')","('vier', 'jahr')","('vorstoss', 'rahm')","('zweit', 'etapp')","('zweit', 'saul')"
0,Adolf Ogi,Schweizerische Volkspartei (SVP),0.0,0.0035087719298245615,0.0,0.02456140350877193,0.031578947368421054,0.0,0.16140350877192983,0.031578947368421054,0.0,0.014035087719298246,0.0035087719298245615,0.02456140350877193,0.03508771929824561,0.03859649122807018,0.0,0.0,0.05964912280701754,0.010526315789473684,0.007017543859649123,0.028070175438596492,0.0,0.0,0.0,0.007017543859649123,0.0,0.0,0.017543859649122806,0.0,0.08421052631578947,0.0,0.007017543859649123,0.021052631578947368,0.0,0.0035087719298245615,0.0,0.02456140350877193,0.0,0.04912280701754386,0.0035087719298245615,0.0,0.028070175438596492,0.0,0.0035087719298245615,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,0.0,0.0,0.15087719298245614,0.010526315789473684,0.0,0.007017543859649123,0.042105263157894736,0.0,0.0,0.0,0.0,0.0,0.0035087719298245615,0.0,0.007017543859649123,0.010526315789473684,0.0,0.0,0.0,0.0035087719298245615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02456140350877193,0.0,0.0,0.0
1,Bruno Zuppiger,Schweizerische Volkspartei (SVP),0.0,0.003067484662576687,0.027607361963190184,0.0736196319018405,0.0,0.003067484662576687,0.0,0.046012269938650305,0.0,0.0,0.0,0.024539877300613498,0.003067484662576687,0.05521472392638037,0.0,0.006134969325153374,0.015337423312883436,0.006134969325153374,0.0,0.006134969325153374,0.0,0.006134969325153374,0.0,0.003067484662576687,0.0,0.009202453987730062,0.003067484662576687,0.0,0.03374233128834356,0.0,0.0,0.02147239263803681,0.006134969325153374,0.003067484662576687,0.006134969325153374,0.0,0.0,0.003067484662576687,0.0,0.009202453987730062,0.018404907975460124,0.0,0.009202453987730062,0.0,0.0,0.0,0.0,0.009202453987730062,0.06748466257668712,0.012269938650306749,0.003067484662576687,0.19325153374233128,0.05828220858895705,0.018404907975460124,0.0,0.012269938650306749,0.0,0.0,0.05828220858895705,0.018404907975460124,0.003067484662576687,0.003067484662576687,0.003067484662576687,0.012269938650306749,0.0,0.0,0.003067484662576687,0.003067484662576687,0.0,0.003067484662576687,0.018404907975460124,0.02147239263803681,0.003067484662576687,0.0,0.0,0.027607361963190184,0.018404907975460124,0.009202453987730062,0.003067484662576687,0.003067484662576687,0.012269938650306749,0.0,0.0,0.0
2,Caspar Baader,Schweizerische Volkspartei (SVP),0.009259259259259259,0.001851851851851852,0.018518518518518517,0.05925925925925926,0.003703703703703704,0.007407407407407408,0.0,0.10925925925925926,0.0,0.0,0.001851851851851852,0.014814814814814815,0.02962962962962963,0.014814814814814815,0.003703703703703704,0.007407407407407408,0.07037037037037037,0.007407407407407408,0.001851851851851852,0.003703703703703704,0.0,0.0,0.0,0.005555555555555556,0.0,0.022222222222222223,0.0,0.0,0.011111111111111112,0.0,0.0,0.025925925925925925,0.001851851851851852,0.020370370370370372,0.003703703703703704,0.001851851851851852,0.011111111111111112,0.0,0.0,0.005555555555555556,0.0,0.001851851851851852,0.007407407407407408,0.011111111111111112,0.0,0.009259259259259259,0.005555555555555556,0.001851851851851852,0.06666666666666667,0.003703703703703704,0.005555555555555556,0.1537037037037037,0.04259259259259259,0.03333333333333333,0.0,0.0,0.007407407407407408,0.0,0.005555555555555556,0.007407407407407408,0.0,0.06851851851851852,0.0,0.03148148148148148,0.0,0.0,0.0,0.0,0.0,0.012962962962962963,0.001851851851851852,0.001851851851851852,0.012962962962962963,0.0,0.0,0.003703703703703704,0.003703703703703704,0.0,0.012962962962962963,0.0,0.011111111111111112,0.0,0.0,0.001851851851851852
3,Christian Speck,Schweizerische Volkspartei (SVP),0.0,0.007633587786259542,0.011450381679389313,0.0916030534351145,0.003816793893129771,0.0,0.0,0.07251908396946564,0.0,0.0,0.0,0.019083969465648856,0.019083969465648856,0.003816793893129771,0.0,0.0,0.011450381679389313,0.0,0.0,0.026717557251908396,0.0,0.15267175572519084,0.0,0.0,0.0,0.015267175572519083,0.0,0.0,0.026717557251908396,0.0,0.0,0.015267175572519083,0.019083969465648856,0.015267175572519083,0.007633587786259542,0.0,0.007633587786259542,0.0,0.0,0.003816793893129771,0.0,0.003816793893129771,0.007633587786259542,0.0,0.0,0.0,0.0,0.0,0.05343511450381679,0.007633587786259542,0.0,0.0916030534351145,0.04580152671755725,0.007633587786259542,0.007633587786259542,0.011450381679389313,0.0,0.0,0.003816793893129771,0.061068702290076333,0.0,0.04961832061068702,0.0,0.030534351145038167,0.003816793893129771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030534351145038167,0.019083969465648856,0.003816793893129771,0.0,0.0,0.007633587786259542,0.015267175572519083,0.003816793893129771,0.003816793893129771,0.0,0.0,0.0
4,Christoffel Brändli,Schweizerische Volkspartei (SVP),0.0,0.027777777777777776,0.0023148148148148147,0.023148148148148147,0.020833333333333332,0.0,0.0,0.05787037037037037,0.0023148148148148147,0.0,0.0,0.027777777777777776,0.023148148148148147,0.018518518518518517,0.0,0.011574074074074073,0.023148148148148147,0.016203703703703703,0.0,0.013888888888888888,0.0,0.0,0.0,0.004629629629629629,0.004629629629629629,0.04398148148148148,0.0023148148148148147,0.0,0.004629629629629629,0.006944444444444444,0.0,0.034722222222222224,0.0023148148148148147,0.011574074074074073,0.0,0.0,0.020833333333333332,0.0,0.0,0.009259259259259259,0.013888888888888888,0.034722222222222224,0.02546296296296296,0.0,0.0,0.0,0.0023148148148148147,0.0023148148148148147,0.006944444444444444,0.0,0.0,0.2662037037037037,0.006944444444444444,0.004629629629629629,0.004629629629629629,0.032407407407407406,0.011574074074074073,0.0,0.0,0.004629629629629629,0.04861111111111111,0.05092592592592592,0.0,0.0023148148148148147,0.013888888888888888,0.0,0.0,0.0,0.0,0.011574074074074073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016203703703703703,0.02546296296296296,0.0,0.0,0.0
5,Christoph Blocher,Schweizerische Volkspartei (SVP),0.0,0.0,0.015384615384615385,0.023076923076923078,0.007692307692307693,0.0,0.0,0.007692307692307693,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.06923076923076923,0.015384615384615385,0.007692307692307693,0.0,0.023076923076923078,0.0,0.0,0.007692307692307693,0.0,0.007692307692307693,0.0,0.0,0.0,0.007692307692307693,0.007692307692307693,0.0,0.05384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023076923076923078,0.046153846153846156,0.0,0.0,0.0,0.0,0.0,0.007692307692307693,0.07692307692307693,0.015384615384615385,0.0,0.0,0.3230769230769231,0.015384615384615385,0.015384615384615385,0.0,0.023076923076923078,0.0,0.0,0.0,0.0,0.0,0.046153846153846156,0.0,0.03076923076923077,0.0,0.0,0.0,0.0,0.0,0.007692307692307693,0.0,0.0,0.0,0.0,0.007692307692307693,0.0,0.0,0.007692307692307693,0.007692307692307693,0.0,0.023076923076923078,0.0,0.0,0.03076923076923077
6,Christoph Mörgeli,Schweizerische Volkspartei (SVP),0.0,0.0,0.0,0.06493506493506493,0.012987012987012988,0.0,0.0,0.03896103896103896,0.0,0.09090909090909091,0.0,0.012987012987012988,0.0,0.0,0.0,0.012987012987012988,0.012987012987012988,0.012987012987012988,0.0,0.025974025974025976,0.0,0.0,0.07792207792207792,0.0,0.0,0.0,0.0,0.0,0.03896103896103896,0.0,0.0,0.012987012987012988,0.012987012987012988,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.03896103896103896,0.0,0.0,0.0,0.0,0.012987012987012988,0.0,0.012987012987012988,0.0,0.05194805194805195,0.012987012987012988,0.22077922077922077,0.025974025974025976,0.0,0.0,0.0,0.0,0.0,0.03896103896103896,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012987012987012988,0.0,0.025974025974025976,0.0,0.0,0.0,0.0,0.0,0.012987012987012988,0.0,0.0,0.0,0.0,0.0
7,Elmar Bigger,Schweizerische Volkspartei (SVP),0.0,0.0,0.045454545454545456,0.09090909090909091,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.045454545454545456,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.13636363636363635,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.045454545454545456,0.0,0.045454545454545456,0.0,0.0,0.0
8,Ernst Schibli,Schweizerische Volkspartei (SVP),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0
9,Fritz Abraham Oehrli,Schweizerische Volkspartei (SVP),0.0,0.0,0.0,0.16666666666666666,0.016666666666666666,0.0,0.0,0.1,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.03333333333333333,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.016666666666666666,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.11666666666666667,0.08333333333333333,0.05,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.03333333333333333,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
