,Speaker Party,Speaker,"('absatz', 'buchstab')","('angehor', 'arme')","('anlegerinn', 'anleg')","('annahm', 'motion')","('antrag', 'kommissionsmehr')","('antrag', 'mehrheit')","('antrag', 'mind')","('arbeitnehmerinn', 'arbeitnehm')","('arme', 'xxi')","('artikel', 'absatz')","('ausdruck', 'gebracht')","('auslanderinn', 'ausland')","('automat', 'informationsaustausch')","('beantragt', 'stimm')","('beid', 'rat')","('beim', 'eintret')","('beruf', 'vorsorg')","('beschluss', 'nationalrat')","('best', 'dank')","('bitt', 'antrag')","('bitt', 'deshalb')","('bitt', 'dringend')","('bitt', 'minderheitsantrag')","('bund', 'kanton')","('bundesrat', 'beantragt')","('bundesrat', 'folg')","('bundesrat', 'ja')","('bundesrat', 'meinung')","('bundesrat', 'merz')","('bundesrat', 'motion')","('bundesrat', 'standerat')","('bundesrat', 'villig')","('bundesrat', 'vorgeschlag')","('daran', 'erinn')","('darauf', 'aufmerksam')","('darauf', 'hinweis')","('darum', 'bitt')","('de', 'la')","('deshalb', 'bundesrat')","('direkt', 'demokrati')","('eidgenoss', 'finanzkontroll')","('eidgenoss', 'steuerverwalt')","('einfach', 'sag')","('elt', 'sorg')","('entwurf', 'bundesrat')","('erneuerbar', 'energi')","('europa', 'gerichtshof')","('europa', 'union')","('fassung', 'bundesrat')","('folg', 'geb')","('frag', 'herr')","('frag', 'herrn')","('frau', 'bundesprasidentin')","('frau', 'bundesratin')","('frau', 'fetz')","('frau', 'kollegin')","('frau', 'leutenegg')","('frau', 'nationalratin')","('ganz', 'klar')","('ganz', 'wichtig')","('geh', 'davon')","('geht', 'darum')","('geht', 'frag')","('geltend', 'recht')","('gemass', 'artikel')","('gesagt', 'word')","('glaub', 'wichtig')","('gross', 'mehrheit')","('grund', 'weshalb')","('herr', 'bundesrat')","('herr', 'kolleg')","('herr', 'nationalrat')","('herr', 'standerat')","('herr', 'visch')","('herrn', 'standerat')","('heut', 'geltend')","('indirekt', 'gegenvorschlag')","('initiativ', 'folg')","('ja', 'schon')","('kanton', 'bern')","('kanton', 'schwyz')","('kanton', 'zurich')","('klar', 'meinung')","('kommission', 'beantragt')","('kommission', 'folg')","('kommission', 'rechtsfrag')","('kommissionssprech', 'gesagt')","('konsumentinn', 'konsument')","('lehnt', 'spfraktion')","('leutenegg', 'oberholz')","('mehr', 'geld')","('mehrheit', 'folg')","('mehrheit', 'kommission')","('mehrheit', 'spfraktion')","('mehrheit', 'svpfraktion')","('mehrheit', 'wak')","('mehrheit', 'zuzustimm')","('mieterinn', 'miet')","('milliard', 'frank')","('mind', 'folg')","('minderheitsantrag', 'abzulehn')","('mocht', 'bitt')","('mocht', 'daran')","('mocht', 'einfach')","('motion', 'abzulehn')","('motion', 'anzunehm')","('nach', 'jahr')","('nam', 'bundesrat')","('nam', 'spfraktion')","('nam', 'svpfraktion')","('nationalrat', 'folg')","('offent', 'verkehr')","('parlamentar', 'initiativ')","('patientinn', 'patient')","('pro', 'helvetia')","('rentnerinn', 'rentn')","('rund', 'milliard')","('sag', 'sei')","('sbb', 'cargo')","('seit', 'jahr')","('servic', 'public')","('sicherheitspolit', 'bericht')","('sicht', 'bundesrat')","('sicht', 'spfraktion')","('sinn', 'bitt')","('sozialdemokrat', 'fraktion')","('spfraktion', 'antrag')","('spfraktion', 'beantrag')","('spfraktion', 'begrusst')","('spfraktion', 'bitt')","('spfraktion', 'bittet')","('spfraktion', 'eintret')","('spfraktion', 'empfiehlt')","('spfraktion', 'ersuch')","('spfraktion', 'lehnt')","('spfraktion', 'mehrheit')","('spfraktion', 'mind')","('spfraktion', 'minderheitsantrag')","('spfraktion', 'steht')","('spfraktion', 'unterstutzt')","('spfraktion', 'vorlag')","('st', 'gall')","('staatspolit', 'kommission')","('stimm', 'enthalt')","('svpfraktion', 'antrag')","('svpfraktion', 'beantrag')","('svpfraktion', 'bitt')","('svpfraktion', 'bittet')","('svpfraktion', 'empfiehlt')","('svpfraktion', 'lehnt')","('svpfraktion', 'mehrheit')","('svpfraktion', 'mind')","('svpfraktion', 'unterstutzt')","('svpfraktion', 'vorlag')","('teilt', 'antrag')","('uns', 'kommission')","('uns', 'sicht')","('unterstutzt', 'spfraktion')","('vier', 'jahr')","('volkerrecht', 'vertrag')","('vorlauf', 'aufgenomm')","('vorlauf', 'aufnahm')","('worum', 'geht')","('zwanzig', 'jahr')","('zwei', 'drei')","('zweit', 'saul')"
0,Schweizerische Volkspartei (SVP),Adrian Amstutz,0,0,0,0,0,2,5,0,0,3,0,4,0,1,0,0,0,0,0,5,2,0,1,1,0,0,0,1,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,2,0,0,0,1,0,2,0,1,0,0,0,1,0,8,4,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,1,0,0,2,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0
1,Schweizerische Volkspartei (SVP),Alex Kuprecht,1,3,0,3,3,9,3,3,13,19,3,2,0,1,2,1,15,8,0,7,18,0,1,3,1,2,0,0,0,0,0,0,1,1,4,1,0,0,2,4,0,0,0,0,3,0,0,2,1,6,0,0,0,1,6,1,0,0,3,0,10,8,1,1,6,0,0,1,1,5,3,0,0,0,0,0,0,2,1,0,7,0,0,2,3,0,0,0,0,0,0,2,2,0,0,0,4,1,13,1,1,6,0,0,1,0,4,0,0,0,1,2,10,1,0,2,6,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,2,5,7
2,Schweizerische Volkspartei (SVP),Bruno Zuppiger,5,0,0,2,5,9,20,3,2,19,2,0,0,6,0,2,1,2,0,4,0,0,6,16,1,2,2,0,11,0,8,3,0,1,0,0,2,0,0,1,3,3,0,0,6,0,0,0,2,7,0,0,0,2,0,3,2,0,7,0,0,6,6,4,3,0,0,4,0,5,1,0,0,0,0,1,0,4,2,0,0,1,0,2,2,0,0,0,0,4,1,3,15,0,1,31,4,1,74,1,3,0,0,0,0,3,6,0,0,15,1,7,18,0,2,0,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,5,0,5,0,0,0,3,1,5,2,0,0,4,0,9,0,0,0,2,0,4,0
3,Schweizerische Volkspartei (SVP),Caspar Baader,1,0,0,0,0,3,20,3,0,29,1,2,0,2,5,0,4,0,2,3,26,2,0,5,0,4,1,1,4,0,0,2,1,0,0,1,0,0,0,1,0,1,0,0,2,0,1,0,0,15,1,0,0,5,0,2,2,0,6,1,1,22,6,0,7,0,0,0,1,17,5,0,0,1,0,0,1,12,0,0,0,1,3,1,0,0,0,3,0,2,2,13,17,0,2,0,1,0,37,0,2,0,0,0,0,0,0,0,0,3,0,5,16,0,0,0,1,1,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,6,0,1,4,1,0,0,0,0,1,1,0,0,1,2,1,0
4,Schweizerische Volkspartei (SVP),Christian Miesch,0,4,0,0,0,1,6,1,7,0,0,0,0,1,0,0,0,0,0,2,3,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,3,1,2,0,2,0,0,2,0,6,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2,2,0,0,0,1,1,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,2,4,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,Schweizerische Volkspartei (SVP),Christian Speck,0,0,0,3,1,0,6,0,0,2,2,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
6,Schweizerische Volkspartei (SVP),Christoffel Brändli,0,0,0,14,3,5,9,0,0,5,2,0,0,3,2,2,0,3,0,8,15,0,0,2,27,4,1,0,4,1,0,0,3,8,1,11,0,1,2,0,0,0,5,0,1,27,0,0,0,2,0,0,0,3,10,0,0,0,3,0,9,18,7,0,0,1,1,2,0,12,6,0,0,0,0,0,2,2,2,0,0,0,1,20,4,0,1,0,0,0,2,0,10,0,0,0,2,0,37,0,3,6,6,6,3,5,13,0,0,0,15,8,12,0,12,0,6,3,0,1,7,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,4,3,8,0
7,Schweizerische Volkspartei (SVP),Christoph Blocher,35,1,0,8,17,57,134,3,0,184,14,17,0,0,17,0,6,12,0,91,14,7,29,36,21,14,11,52,8,11,19,0,9,3,38,5,129,3,2,3,2,1,40,2,102,0,7,50,98,0,6,22,0,5,12,0,26,0,26,7,9,82,28,47,60,64,3,5,7,6,1,0,1,57,0,7,2,0,18,7,1,38,7,18,15,40,7,0,0,37,0,16,64,0,0,0,74,0,8,3,38,14,0,9,15,8,23,16,0,0,1,0,27,0,0,0,0,54,0,18,0,0,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,3,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,23,18,56,35,44,14,18,0
8,Schweizerische Volkspartei (SVP),Christoph Mörgeli,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,1,0,0,2,1,0,0,0,0,1,1,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
9,Schweizerische Volkspartei (SVP),Elmar Bigger,2,0,0,0,0,1,3,0,0,12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
