,Speaker Party,Speaker,"('absatz', 'buchstab')","('absatz', 'streich')","('allgemein', 'teil')","('anlegerinn', 'anleg')","('annahm', 'motion')","('antrag', 'kommission')","('antrag', 'mehrheit')","('antrag', 'mind')","('arbeitnehmerinn', 'arbeitnehm')","('arme', 'xxi')","('artikel', 'absatz')","('artikel', 'buchstab')","('artikel', 'strafgesetzbuch')","('ausdruck', 'gebracht')","('auslanderinn', 'ausland')","('beantragt', 'kommission')","('beantragt', 'stimm')","('beid', 'rat')","('beruf', 'vorsorg')","('beschluss', 'nationalrat')","('beschuldigt', 'person')","('bitt', 'deshalb')","('bitt', 'dringend')","('bitt', 'fassung')","('bitt', 'nam')","('buchstab', 'c')","('bund', 'kanton')","('bundesamt', 'justiz')","('bundesamt', 'migration')","('bundesrat', 'beantragt')","('bundesrat', 'bereit')","('bundesrat', 'couchepin')","('bundesrat', 'leuenberg')","('bundesrat', 'meinung')","('bundesrat', 'merz')","('buro', 'wahl')","('cvpfraktion', 'teilt')","('cvpfraktion', 'unterstutzt')","('dam', 'herr')","('darauf', 'aufmerksam')","('darum', 'bitt')","('darum', 'bundesrat')","('davon', 'uberzeugt')","('de', 'la')","('entwurf', 'bundesrat')","('erklart', 'beschluss')","('erneuerbar', 'energi')","('ersatz', 'list')","('erst', 'ersatz')","('fassung', 'bundesrat')","('fdpfraktion', 'teilt')","('folg', 'geb')","('frau', 'bundesratin')","('frau', 'fetz')","('frau', 'kollegin')","('frau', 'leutenegg')","('frau', 'sommaruga')","('ganz', 'genau')","('ganz', 'wichtig')","('gas', 'dampfkraftwerk')","('geht', 'darum')","('geht', 'ja')","('geltend', 'gemacht')","('geltend', 'recht')","('gemacht', 'word')","('gemass', 'artikel')","('gemeinsam', 'sorgerecht')","('gesagt', 'word')","('gesetz', 'grundlag')","('gesetz', 'regel')","('gross', 'bedeut')","('grund', 'dafur')","('herr', 'bundesprasident')","('herr', 'david')","('herr', 'kolleg')","('herr', 'schiess')","('herr', 'visch')","('herr', 'vollm')","('indirekt', 'teilliquidation')","('initiativ', 'folg')","('international', 'organisation')","('ja', 'schon')","('kalt', 'progression')","('kenntnis', 'nehm')","('klein', 'mittl')","('kolleg', 'leuenberg')","('kolleg', 'schmid')","('kollegin', 'fetz')","('kollektiv', 'kapitalanlag')","('kommission', 'beantragt')","('kommission', 'folg')","('kommission', 'rechtsfrag')","('konsumentinn', 'konsument')","('mehrheit', 'folg')","('mehrheit', 'kommission')","('mehrheit', 'unterstutz')","('mehrheit', 'unterstutzt')","('mehrheit', 'wak')","('mehrheit', 'zustimmt')","('mehrheit', 'zuzustimm')","('mieterinn', 'miet')","('minderheitsantrag', 'abzulehn')","('mocht', 'bitt')","('mocht', 'darauf')","('mocht', 'nochmal')","('motion', 'anzunehm')","('muss', 'einfach')","('muss', 'seh')","('nam', 'kommission')","('nam', 'spfraktion')","('nam', 'svpfraktion')","('nationalrat', 'folg')","('nationalrat', 'kommission')","('nationalratsmandat', 'besteht')","('natur', 'frag')","('natur', 'schon')","('neu', 'gesetz')","('neu', 'regionalpolit')","('parlamentar', 'initiativ')","('patientinn', 'patient')","('polit', 'entscheid')","('prasenz', 'schweiz')","('pro', 'helvetia')","('richterinn', 'richt')","('rund', 'million')","('sbb', 'cargo')","('schweiz', 'tourismus')","('sicht', 'spfraktion')","('spfraktion', 'antrag')","('spfraktion', 'beantragt')","('spfraktion', 'bitt')","('spfraktion', 'bittet')","('spfraktion', 'eintret')","('spfraktion', 'empfiehlt')","('spfraktion', 'mehrheit')","('spfraktion', 'mind')","('spfraktion', 'teilt')","('spfraktion', 'unterstutzt')","('spfraktion', 'vorlag')","('st', 'gall')","('standerat', 'folg')","('stell', 'fest')","('stimm', 'enthalt')","('svpfraktion', 'antrag')","('svpfraktion', 'artikel')","('svpfraktion', 'beantrag')","('svpfraktion', 'beantragt')","('svpfraktion', 'bitt')","('svpfraktion', 'bittet')","('svpfraktion', 'empfiehlt')","('svpfraktion', 'lehnt')","('svpfraktion', 'mehrheit')","('svpfraktion', 'mind')","('svpfraktion', 'teilt')","('svpfraktion', 'unterstutzt')","('teil', 'antrag')","('teilt', 'antrag')","('tut', 'leid')","('uns', 'kommission')","('unterstutzt', 'antrag')","('unvereinbar', 'nationalratsmandat')","('verfug', 'stell')","('vier', 'jahr')","('vorlag', 'einzutret')","('vorlauf', 'aufgenomm')","('worum', 'geht')","('zwei', 'drei')"
0,Schweizerische Volkspartei (SVP),Adrian Amstutz,0,1,0,0,0,0,2,5,0,0,3,0,0,0,4,0,1,0,0,0,0,2,0,0,2,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,1,0,2,2,0,1,1,0,0,0,0,1,0,0,0,0,4,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,2,0,2,5,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,1,0,0,0,2,0,0,1
1,Schweizerische Volkspartei (SVP),Alex Kuprecht,1,0,1,0,3,4,9,3,3,13,19,2,0,3,2,0,1,2,15,8,0,18,0,0,0,1,3,3,0,1,2,0,1,0,0,0,0,0,0,4,0,1,3,0,3,0,0,0,0,1,0,6,1,6,1,0,1,0,0,0,8,0,1,1,0,6,0,0,6,0,3,2,0,0,3,3,0,0,0,2,0,1,0,1,0,1,1,1,0,2,3,0,0,2,2,0,0,0,0,4,1,1,6,1,0,0,0,0,0,0,0,1,2,0,0,0,2,0,10,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,4,6,0,0,5
2,Schweizerische Volkspartei (SVP),Bruno Zuppiger,5,0,1,0,2,0,9,20,3,2,19,2,0,2,0,3,6,0,1,2,0,0,0,0,13,5,16,0,0,1,5,0,0,0,11,0,0,0,1,0,2,0,8,0,6,0,0,0,0,2,0,7,2,0,3,2,0,0,0,0,6,3,1,4,0,3,0,0,3,2,1,0,2,0,1,0,0,3,5,4,2,2,1,3,7,0,0,0,0,2,2,0,0,3,15,0,1,31,0,4,1,3,0,0,0,3,3,1,1,0,15,1,2,0,0,2,2,0,18,0,1,1,2,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,25,5,1,0,1,5,0,0,0,3,1,0,5,0,0,1,0,0,0,0,9,15,0,2,4
3,Schweizerische Volkspartei (SVP),Caspar Baader,1,0,1,0,0,1,3,20,3,0,29,0,0,1,2,1,2,5,4,0,0,26,2,0,7,0,5,1,0,0,0,1,5,1,4,0,0,0,1,0,0,1,3,0,2,0,0,0,0,0,0,15,5,0,2,2,0,0,1,0,22,1,0,0,0,7,1,0,1,1,2,4,3,0,5,0,1,3,0,12,0,0,33,2,1,0,0,0,0,1,0,0,3,13,17,1,0,0,0,1,0,2,0,0,0,0,1,0,4,0,3,0,1,0,0,1,3,2,16,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,0,0,0,3,0,0,0,6,0,1,0,4,0,0,0,0,1,0,0,1,2,0,1,1
4,Schweizerische Volkspartei (SVP),Christian Miesch,0,0,0,0,0,0,1,6,1,7,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,1,0,3,0,0,0
5,Schweizerische Volkspartei (SVP),Christian Speck,0,0,0,0,3,0,0,6,0,0,2,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
6,Schweizerische Volkspartei (SVP),Christoffel Brändli,0,0,0,0,14,8,5,9,0,0,5,0,0,2,0,6,3,2,0,3,0,15,0,0,0,0,2,0,0,27,3,6,3,0,4,0,0,0,0,1,0,0,1,1,1,0,27,0,0,0,0,2,3,10,0,0,8,1,0,0,18,8,1,0,0,0,0,1,3,0,7,0,1,3,6,6,0,0,0,2,0,2,0,4,0,3,2,0,0,20,4,0,0,0,10,0,0,0,0,2,0,3,6,9,1,5,1,0,3,0,0,15,5,0,10,6,1,7,12,0,6,1,12,0,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,21,0,4,8
7,Schweizerische Volkspartei (SVP),Christoph Blocher,35,20,23,0,8,47,57,134,3,0,184,11,26,14,17,0,0,17,6,12,45,14,7,26,9,12,36,62,45,21,31,0,0,52,8,0,0,0,3,38,129,39,7,3,102,0,0,0,0,98,0,0,5,12,0,26,20,10,7,0,82,42,38,47,54,60,6,64,45,26,28,17,2,35,1,30,57,0,0,0,14,18,0,6,6,0,0,0,1,18,15,40,0,16,64,10,3,0,2,74,0,38,14,5,3,8,18,136,1,0,0,1,29,0,22,11,29,0,27,0,6,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,36,10,19,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31,0,1,0,12,23,34,56,44,18
8,Schweizerische Volkspartei (SVP),Christoph Mörgeli,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
9,Schweizerische Volkspartei (SVP),Elmar Bigger,2,2,0,0,0,0,1,3,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
