,Speaker,Speaker Party,"('absatz', 'buchstab')","('absatz', 'streich')","('allgemein', 'teil')","('anlegerinn', 'anleg')","('annahm', 'motion')","('antrag', 'kommission')","('antrag', 'mehrheit')","('antrag', 'mind')","('arbeitnehmerinn', 'arbeitnehm')","('arme', 'xxi')","('artikel', 'absatz')","('artikel', 'buchstab')","('artikel', 'strafgesetzbuch')","('ausdruck', 'gebracht')","('auslanderinn', 'ausland')","('beantragt', 'kommission')","('beantragt', 'stimm')","('beid', 'rat')","('beruf', 'vorsorg')","('beschluss', 'nationalrat')","('beschuldigt', 'person')","('bitt', 'deshalb')","('bitt', 'dringend')","('bitt', 'fassung')","('bitt', 'nam')","('buchstab', 'c')","('bund', 'kanton')","('bundesamt', 'justiz')","('bundesamt', 'migration')","('bundesrat', 'beantragt')","('bundesrat', 'bereit')","('bundesrat', 'couchepin')","('bundesrat', 'leuenberg')","('bundesrat', 'meinung')","('bundesrat', 'merz')","('buro', 'wahl')","('cvpfraktion', 'teilt')","('cvpfraktion', 'unterstutzt')","('dam', 'herr')","('darauf', 'aufmerksam')","('darum', 'bitt')","('darum', 'bundesrat')","('davon', 'uberzeugt')","('de', 'la')","('entwurf', 'bundesrat')","('erklart', 'beschluss')","('erneuerbar', 'energi')","('ersatz', 'list')","('erst', 'ersatz')","('fassung', 'bundesrat')","('fdpfraktion', 'teilt')","('folg', 'geb')","('frau', 'bundesratin')","('frau', 'fetz')","('frau', 'kollegin')","('frau', 'leutenegg')","('frau', 'sommaruga')","('ganz', 'genau')","('ganz', 'wichtig')","('gas', 'dampfkraftwerk')","('geht', 'darum')","('geht', 'ja')","('geltend', 'gemacht')","('geltend', 'recht')","('gemacht', 'word')","('gemass', 'artikel')","('gemeinsam', 'sorgerecht')","('gesagt', 'word')","('gesetz', 'grundlag')","('gesetz', 'regel')","('gross', 'bedeut')","('grund', 'dafur')","('herr', 'bundesprasident')","('herr', 'david')","('herr', 'kolleg')","('herr', 'schiess')","('herr', 'visch')","('herr', 'vollm')","('indirekt', 'teilliquidation')","('initiativ', 'folg')","('international', 'organisation')","('ja', 'schon')","('kalt', 'progression')","('kenntnis', 'nehm')","('klein', 'mittl')","('kolleg', 'leuenberg')","('kolleg', 'schmid')","('kollegin', 'fetz')","('kollektiv', 'kapitalanlag')","('kommission', 'beantragt')","('kommission', 'folg')","('kommission', 'rechtsfrag')","('konsumentinn', 'konsument')","('mehrheit', 'folg')","('mehrheit', 'kommission')","('mehrheit', 'unterstutz')","('mehrheit', 'unterstutzt')","('mehrheit', 'wak')","('mehrheit', 'zustimmt')","('mehrheit', 'zuzustimm')","('mieterinn', 'miet')","('minderheitsantrag', 'abzulehn')","('mocht', 'bitt')","('mocht', 'darauf')","('mocht', 'nochmal')","('motion', 'anzunehm')","('muss', 'einfach')","('muss', 'seh')","('nam', 'kommission')","('nam', 'spfraktion')","('nam', 'svpfraktion')","('nationalrat', 'folg')","('nationalrat', 'kommission')","('nationalratsmandat', 'besteht')","('natur', 'frag')","('natur', 'schon')","('neu', 'gesetz')","('neu', 'regionalpolit')","('parlamentar', 'initiativ')","('patientinn', 'patient')","('polit', 'entscheid')","('prasenz', 'schweiz')","('pro', 'helvetia')","('richterinn', 'richt')","('rund', 'million')","('sbb', 'cargo')","('schweiz', 'tourismus')","('sicht', 'spfraktion')","('spfraktion', 'antrag')","('spfraktion', 'beantragt')","('spfraktion', 'bitt')","('spfraktion', 'bittet')","('spfraktion', 'eintret')","('spfraktion', 'empfiehlt')","('spfraktion', 'mehrheit')","('spfraktion', 'mind')","('spfraktion', 'teilt')","('spfraktion', 'unterstutzt')","('spfraktion', 'vorlag')","('st', 'gall')","('standerat', 'folg')","('stell', 'fest')","('stimm', 'enthalt')","('svpfraktion', 'antrag')","('svpfraktion', 'artikel')","('svpfraktion', 'beantrag')","('svpfraktion', 'beantragt')","('svpfraktion', 'bitt')","('svpfraktion', 'bittet')","('svpfraktion', 'empfiehlt')","('svpfraktion', 'lehnt')","('svpfraktion', 'mehrheit')","('svpfraktion', 'mind')","('svpfraktion', 'teilt')","('svpfraktion', 'unterstutzt')","('teil', 'antrag')","('teilt', 'antrag')","('tut', 'leid')","('uns', 'kommission')","('unterstutzt', 'antrag')","('unvereinbar', 'nationalratsmandat')","('verfug', 'stell')","('vier', 'jahr')","('vorlag', 'einzutret')","('vorlauf', 'aufgenomm')","('worum', 'geht')","('zwei', 'drei')"
0,Adrian Amstutz,Schweizerische Volkspartei (SVP),0.0,0.01020408163265306,0.0,0.0,0.0,0.0,0.02040816326530612,0.05102040816326531,0.0,0.0,0.030612244897959183,0.0,0.0,0.0,0.04081632653061224,0.0,0.01020408163265306,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.02040816326530612,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.0,0.0,0.0,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.0,0.0,0.0,0.01020408163265306,0.01020408163265306,0.0,0.0,0.01020408163265306,0.0,0.01020408163265306,0.0,0.0,0.0,0.0,0.0,0.0,0.01020408163265306,0.01020408163265306,0.0,0.02040816326530612,0.0,0.0,0.0,0.01020408163265306,0.0,0.02040816326530612,0.02040816326530612,0.0,0.01020408163265306,0.01020408163265306,0.0,0.0,0.0,0.0,0.01020408163265306,0.0,0.0,0.0,0.0,0.04081632653061224,0.0,0.01020408163265306,0.02040816326530612,0.0,0.01020408163265306,0.0,0.0,0.0,0.01020408163265306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01020408163265306,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.01020408163265306,0.0,0.0,0.0,0.02040816326530612,0.01020408163265306,0.0,0.0,0.0,0.01020408163265306,0.0,0.0,0.0,0.0,0.0,0.01020408163265306,0.0,0.02040816326530612,0.0,0.02040816326530612,0.05102040816326531,0.04081632653061224,0.0,0.0,0.0,0.12244897959183673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01020408163265306,0.0,0.01020408163265306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.04081632653061224,0.0,0.0,0.0,0.0,0.01020408163265306,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.01020408163265306
1,Alex Kuprecht,Schweizerische Volkspartei (SVP),0.004032258064516129,0.0,0.004032258064516129,0.0,0.012096774193548387,0.016129032258064516,0.036290322580645164,0.012096774193548387,0.012096774193548387,0.05241935483870968,0.07661290322580645,0.008064516129032258,0.0,0.012096774193548387,0.008064516129032258,0.0,0.004032258064516129,0.008064516129032258,0.06048387096774194,0.03225806451612903,0.0,0.07258064516129033,0.0,0.0,0.0,0.004032258064516129,0.012096774193548387,0.012096774193548387,0.0,0.004032258064516129,0.008064516129032258,0.0,0.004032258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.016129032258064516,0.0,0.004032258064516129,0.012096774193548387,0.0,0.012096774193548387,0.0,0.0,0.0,0.0,0.004032258064516129,0.0,0.024193548387096774,0.004032258064516129,0.024193548387096774,0.004032258064516129,0.0,0.004032258064516129,0.0,0.0,0.0,0.03225806451612903,0.0,0.004032258064516129,0.004032258064516129,0.0,0.024193548387096774,0.0,0.0,0.024193548387096774,0.0,0.012096774193548387,0.008064516129032258,0.0,0.0,0.012096774193548387,0.012096774193548387,0.0,0.0,0.0,0.008064516129032258,0.0,0.004032258064516129,0.0,0.004032258064516129,0.0,0.004032258064516129,0.004032258064516129,0.004032258064516129,0.0,0.008064516129032258,0.012096774193548387,0.0,0.0,0.008064516129032258,0.008064516129032258,0.0,0.0,0.0,0.0,0.016129032258064516,0.004032258064516129,0.004032258064516129,0.024193548387096774,0.004032258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004032258064516129,0.008064516129032258,0.0,0.0,0.0,0.008064516129032258,0.0,0.04032258064516129,0.004032258064516129,0.0,0.0,0.0,0.0,0.012096774193548387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008064516129032258,0.004032258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012096774193548387,0.0,0.0,0.004032258064516129,0.016129032258064516,0.024193548387096774,0.0,0.0,0.020161290322580645
2,Bruno Zuppiger,Schweizerische Volkspartei (SVP),0.011933174224343675,0.0,0.002386634844868735,0.0,0.00477326968973747,0.0,0.021479713603818614,0.0477326968973747,0.007159904534606206,0.00477326968973747,0.045346062052505964,0.00477326968973747,0.0,0.00477326968973747,0.0,0.007159904534606206,0.014319809069212411,0.0,0.002386634844868735,0.00477326968973747,0.0,0.0,0.0,0.0,0.031026252983293555,0.011933174224343675,0.03818615751789976,0.0,0.0,0.002386634844868735,0.011933174224343675,0.0,0.0,0.0,0.026252983293556086,0.0,0.0,0.0,0.002386634844868735,0.0,0.00477326968973747,0.0,0.01909307875894988,0.0,0.014319809069212411,0.0,0.0,0.0,0.0,0.00477326968973747,0.0,0.016706443914081145,0.00477326968973747,0.0,0.007159904534606206,0.00477326968973747,0.0,0.0,0.0,0.0,0.014319809069212411,0.007159904534606206,0.002386634844868735,0.00954653937947494,0.0,0.007159904534606206,0.0,0.0,0.007159904534606206,0.00477326968973747,0.002386634844868735,0.0,0.00477326968973747,0.0,0.002386634844868735,0.0,0.0,0.007159904534606206,0.011933174224343675,0.00954653937947494,0.00477326968973747,0.00477326968973747,0.002386634844868735,0.007159904534606206,0.016706443914081145,0.0,0.0,0.0,0.0,0.00477326968973747,0.00477326968973747,0.0,0.0,0.007159904534606206,0.03579952267303103,0.0,0.002386634844868735,0.07398568019093078,0.0,0.00954653937947494,0.002386634844868735,0.007159904534606206,0.0,0.0,0.0,0.007159904534606206,0.007159904534606206,0.002386634844868735,0.002386634844868735,0.0,0.03579952267303103,0.002386634844868735,0.00477326968973747,0.0,0.0,0.00477326968973747,0.00477326968973747,0.0,0.04295942720763723,0.0,0.002386634844868735,0.002386634844868735,0.00477326968973747,0.0,0.002386634844868735,0.002386634844868735,0.014319809069212411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011933174224343675,0.002386634844868735,0.059665871121718374,0.011933174224343675,0.002386634844868735,0.0,0.002386634844868735,0.011933174224343675,0.0,0.0,0.0,0.007159904534606206,0.002386634844868735,0.0,0.011933174224343675,0.0,0.0,0.002386634844868735,0.0,0.0,0.0,0.0,0.021479713603818614,0.03579952267303103,0.0,0.00477326968973747,0.00954653937947494
3,Caspar Baader,Schweizerische Volkspartei (SVP),0.002785515320334262,0.0,0.002785515320334262,0.0,0.0,0.002785515320334262,0.008356545961002786,0.055710306406685235,0.008356545961002786,0.0,0.0807799442896936,0.0,0.0,0.002785515320334262,0.005571030640668524,0.002785515320334262,0.005571030640668524,0.013927576601671309,0.011142061281337047,0.0,0.0,0.07242339832869081,0.005571030640668524,0.0,0.019498607242339833,0.0,0.013927576601671309,0.002785515320334262,0.0,0.0,0.0,0.002785515320334262,0.013927576601671309,0.002785515320334262,0.011142061281337047,0.0,0.0,0.0,0.002785515320334262,0.0,0.0,0.002785515320334262,0.008356545961002786,0.0,0.005571030640668524,0.0,0.0,0.0,0.0,0.0,0.0,0.04178272980501393,0.013927576601671309,0.0,0.005571030640668524,0.005571030640668524,0.0,0.0,0.002785515320334262,0.0,0.06128133704735376,0.002785515320334262,0.0,0.0,0.0,0.019498607242339833,0.002785515320334262,0.0,0.002785515320334262,0.002785515320334262,0.005571030640668524,0.011142061281337047,0.008356545961002786,0.0,0.013927576601671309,0.0,0.002785515320334262,0.008356545961002786,0.0,0.033426183844011144,0.0,0.0,0.09192200557103064,0.005571030640668524,0.002785515320334262,0.0,0.0,0.0,0.0,0.002785515320334262,0.0,0.0,0.008356545961002786,0.036211699164345405,0.04735376044568245,0.002785515320334262,0.0,0.0,0.0,0.002785515320334262,0.0,0.005571030640668524,0.0,0.0,0.0,0.0,0.002785515320334262,0.0,0.011142061281337047,0.0,0.008356545961002786,0.0,0.002785515320334262,0.0,0.0,0.002785515320334262,0.008356545961002786,0.005571030640668524,0.04456824512534819,0.0,0.002785515320334262,0.0,0.0,0.0,0.008356545961002786,0.0,0.002785515320334262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002785515320334262,0.005571030640668524,0.016713091922005572,0.0,0.0,0.0,0.008356545961002786,0.0,0.0,0.0,0.016713091922005572,0.0,0.002785515320334262,0.0,0.011142061281337047,0.0,0.0,0.0,0.0,0.002785515320334262,0.0,0.0,0.002785515320334262,0.005571030640668524,0.0,0.002785515320334262,0.002785515320334262
4,Christian Miesch,Schweizerische Volkspartei (SVP),0.0,0.0,0.0,0.0,0.0,0.0,0.015873015873015872,0.09523809523809523,0.015873015873015872,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.015873015873015872,0.0,0.031746031746031744,0.0,0.0,0.0,0.015873015873015872,0.0,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031746031746031744,0.0,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.031746031746031744,0.0,0.0,0.0,0.0,0.0,0.0,0.015873015873015872,0.0,0.015873015873015872,0.0,0.015873015873015872,0.0,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.015873015873015872,0.015873015873015872,0.0,0.0,0.0,0.015873015873015872,0.0,0.031746031746031744,0.0,0.0,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.031746031746031744,0.0,0.0,0.015873015873015872,0.031746031746031744,0.06349206349206349,0.0,0.0,0.0,0.031746031746031744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015873015873015872,0.0,0.047619047619047616,0.0,0.0,0.0
5,Christian Speck,Schweizerische Volkspartei (SVP),0.0,0.0,0.0,0.0,0.06818181818181818,0.0,0.0,0.13636363636363635,0.0,0.0,0.045454545454545456,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.022727272727272728,0.0,0.045454545454545456,0.0,0.0,0.06818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.11363636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0
6,Christoffel Brändli,Schweizerische Volkspartei (SVP),0.0,0.0,0.0,0.0,0.03160270880361174,0.01805869074492099,0.011286681715575621,0.020316027088036117,0.0,0.0,0.011286681715575621,0.0,0.0,0.004514672686230248,0.0,0.013544018058690745,0.006772009029345372,0.004514672686230248,0.0,0.006772009029345372,0.0,0.033860045146726865,0.0,0.0,0.0,0.0,0.004514672686230248,0.0,0.0,0.060948081264108354,0.006772009029345372,0.013544018058690745,0.006772009029345372,0.0,0.009029345372460496,0.0,0.0,0.0,0.0,0.002257336343115124,0.0,0.0,0.002257336343115124,0.002257336343115124,0.002257336343115124,0.0,0.060948081264108354,0.0,0.0,0.0,0.0,0.004514672686230248,0.006772009029345372,0.022573363431151242,0.0,0.0,0.01805869074492099,0.002257336343115124,0.0,0.0,0.040632054176072234,0.01805869074492099,0.002257336343115124,0.0,0.0,0.0,0.0,0.002257336343115124,0.006772009029345372,0.0,0.01580135440180587,0.0,0.002257336343115124,0.006772009029345372,0.013544018058690745,0.013544018058690745,0.0,0.0,0.0,0.004514672686230248,0.0,0.004514672686230248,0.0,0.009029345372460496,0.0,0.006772009029345372,0.004514672686230248,0.0,0.0,0.045146726862302484,0.009029345372460496,0.0,0.0,0.0,0.022573363431151242,0.0,0.0,0.0,0.0,0.004514672686230248,0.0,0.006772009029345372,0.013544018058690745,0.020316027088036117,0.002257336343115124,0.011286681715575621,0.002257336343115124,0.0,0.006772009029345372,0.0,0.0,0.033860045146726865,0.011286681715575621,0.0,0.022573363431151242,0.013544018058690745,0.002257336343115124,0.01580135440180587,0.02708803611738149,0.0,0.013544018058690745,0.002257336343115124,0.02708803611738149,0.0,0.011286681715575621,0.0,0.02708803611738149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002257336343115124,0.0,0.009029345372460496,0.009029345372460496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002257336343115124,0.0,0.0,0.002257336343115124,0.009029345372460496,0.04740406320541761,0.0,0.009029345372460496,0.01805869074492099
7,Christoph Blocher,Schweizerische Volkspartei (SVP),0.011501807426881366,0.006572461386789352,0.007558330594807755,0.0,0.0026289845547157412,0.015445284258954979,0.018731514952349655,0.04403549129148866,0.000985869208018403,0.0,0.06046664475846204,0.003614853762734144,0.008544199802826159,0.004600722970752547,0.00558659217877095,0.0,0.0,0.00558659217877095,0.001971738416036806,0.003943476832073612,0.014788038120276044,0.004600722970752547,0.0023003614853762734,0.008544199802826159,0.0029576076240552087,0.003943476832073612,0.011830430496220835,0.020374630299046993,0.014788038120276044,0.0069010844561288205,0.010187315149523497,0.0,0.0,0.017088399605652317,0.0026289845547157412,0.0,0.0,0.0,0.000985869208018403,0.01248767663489977,0.042392375944791325,0.012816299704239238,0.0023003614853762734,0.000985869208018403,0.0335195530726257,0.0,0.0,0.0,0.0,0.032205060795267824,0.0,0.0,0.001643115346697338,0.003943476832073612,0.0,0.008544199802826159,0.006572461386789352,0.003286230693394676,0.0023003614853762734,0.0,0.026947091685836345,0.013802168912257641,0.01248767663489977,0.015445284258954979,0.017745645744331254,0.019717384160368057,0.001971738416036806,0.02103187643772593,0.014788038120276044,0.008544199802826159,0.009201445941505093,0.00558659217877095,0.0006572461386789353,0.011501807426881366,0.00032862306933946765,0.009858692080184028,0.018731514952349655,0.0,0.0,0.0,0.004600722970752547,0.005915215248110417,0.0,0.001971738416036806,0.001971738416036806,0.0,0.0,0.0,0.00032862306933946765,0.005915215248110417,0.004929346040092014,0.013144922773578704,0.0,0.0052579691094314825,0.02103187643772593,0.003286230693394676,0.000985869208018403,0.0,0.0006572461386789353,0.024318107131120606,0.0,0.01248767663489977,0.004600722970752547,0.001643115346697338,0.000985869208018403,0.0026289845547157412,0.005915215248110417,0.0446927374301676,0.00032862306933946765,0.0,0.0,0.00032862306933946765,0.009530069010844562,0.0,0.007229707525468288,0.003614853762734144,0.009530069010844562,0.0,0.008872822872165627,0.0,0.001971738416036806,0.0,0.0,0.0,0.000985869208018403,0.0,0.00032862306933946765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011830430496220835,0.003286230693394676,0.006243838317449885,0.0013144922773578706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032862306933946765,0.0,0.010187315149523497,0.0,0.00032862306933946765,0.0,0.003943476832073612,0.007558330594807755,0.0111731843575419,0.018402891883010187,0.014459415050936576,0.005915215248110417
8,Christoph Mörgeli,Schweizerische Volkspartei (SVP),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.038461538461538464,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.038461538461538464,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.038461538461538464,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.038461538461538464,0.0
9,Elmar Bigger,Schweizerische Volkspartei (SVP),0.03636363636363636,0.03636363636363636,0.0,0.0,0.0,0.0,0.01818181818181818,0.05454545454545454,0.0,0.0,0.21818181818181817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01818181818181818,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.05454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01818181818181818,0.03636363636363636,0.0,0.01818181818181818,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.05454545454545454,0.0,0.01818181818181818,0.0,0.03636363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01818181818181818,0.0,0.0,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.03636363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03636363636363636,0.0,0.0,0.0,0.0,0.0,0.03636363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03636363636363636,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.05454545454545454,0.0,0.0,0.0,0.01818181818181818,0.0,0.0,0.01818181818181818,0.0,0.0,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.0
