,Speaker Party,Speaker,"('absatz', 'artikel')","('absatz', 'buchstab')","('absatz', 'bundesverfass')","('absatz', 'litera')","('absatz', 'streich')","('allgemein', 'teil')","('amtlich', 'bulletin')","('anlegerinn', 'anleg')","('annahm', 'motion')","('antrag', 'bundesrat')","('antrag', 'kommission')","('antrag', 'mehrheit')","('antrag', 'mind')","('antwort', 'bundesrat')","('anzunehm', 'bundesrat')","('arbeitnehmerinn', 'arbeitnehm')","('arme', 'xxi')","('artikel', 'absatz')","('artikel', 'buchstab')","('artikel', 'bundesverfass')","('artikel', 'strafgesetzbuch')","('ausdruck', 'bring')","('ausdruck', 'gebracht')","('auslanderinn', 'ausland')","('baulich', 'unterhalt')","('beantrag', 'nam')","('beantragt', 'ablehn')","('beantragt', 'annahm')","('beantragt', 'diskussion')","('beantragt', 'einstimm')","('beantragt', 'kommission')","('beantragt', 'stimm')","('befriedigt', 'beantragt')","('beid', 'rat')","('bericht', 'bundesrat')","('bericht', 'kommission')","('berichterstatt', 'verzicht')","('beruf', 'vorsorg')","('beschluss', 'nationalrat')","('beschuldigt', 'person')","('betroff', 'person')","('bilateral', 'vertrag')","('bitt', 'dah')","('bitt', 'deshalb')","('bitt', 'dringend')","('bitt', 'fassung')","('bitt', 'nam')","('buchstab', 'a')","('buchstab', 'b')","('buchstab', 'c')","('bund', 'kanton')","('bundesamt', 'justiz')","('bundesamt', 'migration')","('bundesrat', 'antrag')","('bundesrat', 'beantragt')","('bundesrat', 'bereit')","('bundesrat', 'couchepin')","('bundesrat', 'empfiehlt')","('bundesrat', 'kommission')","('bundesrat', 'leuenberg')","('bundesrat', 'meinung')","('bundesrat', 'merz')","('bundesrat', 'mocht')","('buro', 'wahl')","('cvpfraktion', 'antrag')","('cvpfraktion', 'begrusst')","('cvpfraktion', 'bitt')","('cvpfraktion', 'eintret')","('cvpfraktion', 'lehnt')","('cvpfraktion', 'steht')","('cvpfraktion', 'stimmt')","('cvpfraktion', 'teilt')","('cvpfraktion', 'unterstutzt')","('cvpfraktion', 'vorlag')","('dam', 'herr')","('dank', 'bundesrat')","('darauf', 'aufmerksam')","('darum', 'bitt')","('darum', 'bundesrat')","('davon', 'uberzeugt')","('de', 'la')","('deshalb', 'ersuch')","('deshalb', 'meinung')","('differenz', 'nationalrat')","('diskussion', 'einverstand')","('diskutiert', 'word')","('ebenfall', 'annahm')","('eidgenoss', 'steuerverwalt')","('einstimm', 'kommission')","('einstimm', 'motion')","('end', 'jahr')","('entwurf', 'bundesrat')","('erklart', 'beschluss')","('erneuerbar', 'energi')","('ersatz', 'list')","('erst', 'ersatz')","('erst', 'lini')","('erst', 'phas')","('ersuch', 'antrag')","('ersuch', 'deshalb')","('ersuch', 'mehrheit')","('erwahnt', 'word')","('etwa', 'million')","('fassung', 'bundesrat')","('fassung', 'nationalrat')","('fdpfraktion', 'antrag')","('fdpfraktion', 'beantrag')","('fdpfraktion', 'beantragt')","('fdpfraktion', 'begrusst')","('fdpfraktion', 'bereit')","('fdpfraktion', 'bitt')","('fdpfraktion', 'bittet')","('fdpfraktion', 'eintret')","('fdpfraktion', 'empfiehlt')","('fdpfraktion', 'lehnt')","('fdpfraktion', 'mehrheit')","('fdpfraktion', 'stimmt')","('fdpfraktion', 'teil')","('fdpfraktion', 'teilt')","('fdpfraktion', 'unterstutzt')","('finanzplatz', 'schweiz')","('folg', 'geb')","('frag', 'gestellt')","('frag', 'herrn')","('frau', 'brunn')","('frau', 'bundesratin')","('frau', 'fetz')","('frau', 'forst')","('frau', 'heberlein')","('frau', 'kollegin')","('frau', 'leutenegg')","('frau', 'sommaruga')","('ganz', 'genau')","('ganz', 'klar')","('ganz', 'kurz')","('ganz', 'wichtig')","('gas', 'dampfkraftwerk')","('geht', 'darum')","('geht', 'erst')","('geht', 'ja')","('geltend', 'gemacht')","('geltend', 'recht')","('gemacht', 'word')","('gemass', 'absatz')","('gemass', 'artikel')","('gemeinsam', 'sorgerecht')","('gesagt', 'word')","('gesetz', 'grundlag')","('gesetz', 'regel')","('gross', 'bedeut')","('grund', 'dafur')","('grund', 'genomm')","('grund', 'weshalb')","('herr', 'brandli')","('herr', 'bundesprasident')","('herr', 'david')","('herr', 'jenny')","('herr', 'kolleg')","('herr', 'lauri')","('herr', 'leuenberg')","('herr', 'maiss')","('herr', 'prasident')","('herr', 'schiess')","('herr', 'schmid')","('herr', 'schweig')","('herr', 'stahelin')","('herr', 'visch')","('herr', 'vollm')","('herrn', 'david')","('herrn', 'kolleg')","('herrn', 'lauri')","('herrn', 'schmid')","('indirekt', 'teilliquidation')","('initiativ', 'folg')","('international', 'organisation')","('interpellant', 'schriftlich')","('ja', 'schon')","('jurist', 'person')","('kalt', 'progression')","('kanton', 'tessin')","('kantonal', 'recht')","('kenntnis', 'nehm')","('klar', 'meinung')","('klein', 'mittl')","('kolleg', 'leuenberg')","('kolleg', 'schmid')","('kolleg', 'schweig')","('kollegin', 'fetz')","('kollektiv', 'kapitalanlag')","('kommission', 'antrag')","('kommission', 'beantragt')","('kommission', 'einstimm')","('kommission', 'empfiehlt')","('kommission', 'folg')","('kommission', 'frag')","('kommission', 'meinung')","('kommission', 'rechtsfrag')","('kommission', 'stimm')","('kommission', 'wurd')","('kommission', 'zuzustimm')","('konsumentinn', 'konsument')","('kraft', 'tret')","('kurz', 'bemerk')","('lag', 'kommission')","('landlich', 'raum')","('les', 'canton')","('letzt', 'mal')","('letzt', 'punkt')","('leutenegg', 'oberholz')","('liegt', 'schriftlich')","('litera', 'a')","('lunion', 'européenn')","('mehrheit', 'cvpfraktion')","('mehrheit', 'fdpfraktion')","('mehrheit', 'folg')","('mehrheit', 'kommission')","('mehrheit', 'unterstutz')","('mehrheit', 'unterstutzt')","('mehrheit', 'wak')","('mehrheit', 'zustimmt')","('mehrheit', 'zuzustimm')","('mieterinn', 'miet')","('mind', 'abzulehn')","('mind', 'kommission')","('minderheitsantrag', 'abzulehn')","('mocht', 'bitt')","('mocht', 'bundesrat')","('mocht', 'darauf')","('mocht', 'nochmal')","('motion', 'anzunehm')","('muss', 'einfach')","('muss', 'seh')","('nach', 'jahr')","('nam', 'cvpfraktion')","('nam', 'fdpfraktion')","('nam', 'kommission')","('nam', 'spfraktion')","('nam', 'svpfraktion')","('nationalrat', 'anzuschliess')","('nationalrat', 'folg')","('nationalrat', 'kommission')","('nationalratsmandat', 'besteht')","('natur', 'frag')","('natur', 'schon')","('neu', 'artikel')","('neu', 'gesetz')","('neu', 'regionalpolit')","('offent', 'interess')","('offent', 'recht')","('parlamentar', 'initiativ')","('patientinn', 'patient')","('polit', 'entscheid')","('porta', 'alpina')","('prasenz', 'schweiz')","('pro', 'helvetia')","('raum', 'berggebiet')","('rechnung', 'getrag')","('ressourcenschwach', 'kanton')","('ressourcenstark', 'kanton')","('richterinn', 'richt')","('rund', 'million')","('sbb', 'cargo')","('schluss', 'gekomm')","('schriftlich', 'antwort')","('schriftlich', 'bericht')","('schweiz', 'tourismus')","('schweizer', 'recht')","('schweizer', 'zivilprozessordn')","('seit', 'jahr')","('sicherheitspolit', 'kommission')","('sicht', 'spfraktion')","('sinn', 'ersuch')","('sozial', 'wohlfahrt')","('spfraktion', 'antrag')","('spfraktion', 'beantragt')","('spfraktion', 'bitt')","('spfraktion', 'bittet')","('spfraktion', 'eintret')","('spfraktion', 'empfiehlt')","('spfraktion', 'mehrheit')","('spfraktion', 'mind')","('spfraktion', 'teilt')","('spfraktion', 'unterstutzt')","('spfraktion', 'vorlag')","('st', 'gall')","('standerat', 'folg')","('standort', 'schweiz')","('stell', 'fest')","('stimm', 'enthalt')","('svpfraktion', 'antrag')","('svpfraktion', 'artikel')","('svpfraktion', 'beantrag')","('svpfraktion', 'beantragt')","('svpfraktion', 'bitt')","('svpfraktion', 'bittet')","('svpfraktion', 'empfiehlt')","('svpfraktion', 'lehnt')","('svpfraktion', 'mehrheit')","('svpfraktion', 'mind')","('svpfraktion', 'teilt')","('svpfraktion', 'unterstutzt')","('teil', 'antrag')","('teilt', 'antrag')","('tut', 'leid')","('uns', 'kommission')","('unternehmenssteuerreform', 'i')","('unterstutzt', 'antrag')","('unterstutzt', 'cvpfraktion')","('unterstutzt', 'fdpfraktion')","('unvereinbar', 'nationalratsmandat')","('verfug', 'stell')","('vier', 'jahr')","('volk', 'stand')","('vorlag', 'einzutret')","('vorlauf', 'anwend')","('vorlauf', 'aufgenomm')","('vot', 'électroniqu')","('votum', 'herrn')","('worum', 'geht')","('wurd', 'kommission')","('y', 'a')","('zuhand', 'materiali')","('zuruckgezog', 'word')","('zwei', 'drei')","('zweit', 'saul')"
0,Christlichdemokratische Volkspartei der Schweiz (CVP),Adriano Imfeld,0,0,0,0,0,0,1,0,0,0,1,2,10,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,1,3,1,0,0,2,0,0,3,1,0,0,0,0,0,0,1,0,0,0,2,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,2,0,1,0,1,0,0,3,1,2,1,3,0,0,1,0,5,0,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,3,0,1,0,2,1,3,0,1,0,0,2,0,1,0,0,0,0,5,0,0,0,0,0,2,8,0,0,5,0,5,0,0,1,2,0,1,0,0,3,0,0,2,6,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,2,0,0,4,0,0,0,0,2,3,0,0,0,3,0
1,Christlichdemokratische Volkspartei der Schweiz (CVP),Arthur Loepfe,0,0,0,0,0,0,0,0,1,0,0,11,9,0,0,0,37,1,0,0,0,0,0,0,1,0,0,0,0,1,1,3,0,3,0,0,0,0,1,0,0,1,0,7,3,0,9,0,0,0,3,0,0,0,4,0,0,1,0,1,0,10,0,0,1,0,4,0,0,1,0,0,1,2,1,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,12,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,7,0,6,7,0,4,0,12,0,4,0,0,3,0,1,0,0,1,0,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,4,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,2,0,1,0,1,0,1,0,0,0,1,0,0,2,0,9,0,0,0,3,0,16,20,9,1,0,0,11,0,1,3,10,4,1,0,0,2,5,0,41,13,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0,6,0,0,0,0,1,0,0,0,0,0,6,0,2,0,0,4,0,0,12,7,0,0,36,0,0,0,0,0,0,0,0,0,0,0,4,2,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,5,0,0,0,0,3,0,0,0,0,3,0
2,Christlichdemokratische Volkspartei der Schweiz (CVP),Brigitte Häberli-Koller,1,3,1,0,0,0,0,0,0,0,1,2,6,1,0,1,0,20,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,2,5,3,0,0,10,2,0,0,2,1,0,0,1,0,0,0,0,0,0,1,1,2,4,2,1,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,2,0,0,0,0,0,0,8,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,1,2,0,5,1,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,13,8,0,0,0,2,0,2,0,0,0,0,0,1,2,0,0,1,5,0,5,0,0,0,0,1,0,0,0,1,2,0,0,0,2,0,1,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,5,0,1,0,0,1,0,0,0,0,0,0
3,Christlichdemokratische Volkspartei der Schweiz (CVP),Bruno Frick,3,7,0,0,1,0,1,0,16,1,10,4,14,34,1,0,0,25,1,0,0,0,0,1,0,1,12,24,23,27,3,5,9,4,3,33,0,1,7,0,2,6,4,0,0,0,2,6,4,1,6,5,0,1,39,3,4,0,3,2,3,8,4,0,0,0,0,0,0,0,0,0,0,0,1,4,0,3,0,2,0,0,0,2,20,0,0,2,0,11,3,9,0,0,0,0,10,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,1,3,4,8,8,3,1,0,8,0,7,0,0,0,15,1,2,1,8,0,0,4,0,0,3,1,0,0,0,2,2,5,3,5,3,2,6,9,8,4,3,1,6,0,0,6,3,1,0,0,10,0,15,0,3,8,5,2,7,0,5,0,0,0,0,0,5,49,5,0,4,1,0,1,2,0,0,0,3,0,0,0,0,0,1,0,33,0,0,0,0,2,4,0,1,0,0,0,0,0,3,0,1,2,0,0,14,1,0,19,0,0,2,0,0,2,5,1,0,0,0,0,1,0,0,0,7,0,1,0,1,3,0,4,0,0,0,17,0,2,26,35,16,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,4,12,0,3,0,0,0,4,4,1,0,2,9,0,4
4,Christlichdemokratische Volkspartei der Schweiz (CVP),Carlo Schmid-Sutter,12,5,14,31,8,0,2,0,2,4,17,13,15,3,0,0,0,202,0,29,1,1,3,0,0,0,0,1,0,8,4,1,0,1,0,3,0,0,10,0,0,1,23,2,0,0,0,1,0,2,15,6,0,4,0,3,0,0,3,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,4,0,0,0,6,0,4,0,0,8,0,3,6,0,50,0,0,3,16,0,0,0,2,3,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,6,8,6,16,6,4,0,0,11,1,23,1,0,0,20,0,1,5,5,3,3,21,0,3,13,4,3,2,2,2,2,11,10,5,16,4,3,8,2,3,0,1,7,0,0,3,4,0,0,0,0,3,0,0,1,0,1,8,13,0,0,1,0,3,0,0,7,15,2,2,5,8,0,0,2,2,4,0,3,2,6,1,0,1,2,1,0,17,0,0,0,6,7,3,0,0,1,4,0,0,1,0,1,5,2,0,6,3,2,3,0,0,9,0,0,0,6,5,0,3,1,15,4,0,8,12,6,0,0,0,0,0,0,1,0,0,0,8,10,2,0,2,2,3,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,1,0,0,0,0,0,1,5,4,12,1,0,0,3,2,3,0,1,0,19,0
5,Christlichdemokratische Volkspartei der Schweiz (CVP),Chiara Simoneschi-Cortesi,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Christlichdemokratische Volkspartei der Schweiz (CVP),Christophe Darbellay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,Christlichdemokratische Volkspartei der Schweiz (CVP),Doris Leuthard,8,10,1,6,0,1,5,3,5,9,10,7,52,2,0,0,0,45,2,6,0,5,3,17,0,2,1,1,0,0,0,1,0,8,3,0,0,0,5,0,9,5,75,6,0,0,3,4,3,2,22,8,1,6,11,6,0,0,13,0,4,1,7,0,0,2,0,2,0,0,0,0,1,0,1,0,2,0,0,5,2,0,3,1,0,1,1,0,0,0,12,19,0,8,0,0,4,3,0,0,0,2,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,19,0,0,4,1,0,0,2,4,0,26,2,3,0,8,1,3,2,3,1,2,10,0,2,14,2,6,0,0,6,2,0,8,1,2,6,8,13,0,4,0,1,0,1,0,5,1,2,0,0,1,0,0,6,1,0,0,1,5,6,2,1,0,0,0,0,5,3,1,3,16,1,1,7,9,4,5,5,3,1,13,13,0,4,0,4,0,4,0,0,0,16,45,3,0,0,0,6,0,9,4,7,0,3,14,19,3,0,1,25,1,0,3,0,0,0,0,3,0,2,2,3,14,18,2,0,10,0,6,0,6,2,2,9,1,0,0,6,0,15,0,0,16,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,8,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,10,18,0,13,0,7,0,4,2,5,0,1,0,5,2
8,Christlichdemokratische Volkspartei der Schweiz (CVP),Elvira Bader,1,6,0,0,1,0,0,0,0,1,1,10,12,0,0,3,0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,1,3,0,0,0,0,0,0,1,1,1,0,0,0,3,2,0,3,2,2,1,0,8,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,12,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,5,0,0,4,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,4,0,0,1,1,4,0,3,2,0,2,0,0,0,18,0,0,0,0,0,2,0,13,0,5,24,2,0,0,0,1,0,2,3,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,6,5,0,0,13,0,0,0,0,0,15,4,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,1
9,Christlichdemokratische Volkspartei der Schweiz (CVP),Eugen David,12,28,6,0,4,0,1,0,0,2,12,14,21,5,1,4,0,95,2,12,0,6,10,0,0,0,0,0,0,1,5,0,0,9,1,0,0,33,11,0,1,17,14,2,0,0,3,16,19,17,19,2,0,1,2,3,7,0,4,2,2,22,1,0,0,0,0,0,0,0,0,0,0,0,1,2,9,4,0,6,0,0,1,3,0,1,0,5,1,0,2,7,0,0,0,0,12,2,0,0,0,0,5,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,2,10,3,4,5,1,0,31,9,87,1,25,0,29,0,9,5,46,4,4,8,0,4,4,7,4,3,0,1,0,1,0,3,8,2,2,0,1,2,2,7,0,0,0,0,3,1,0,0,1,4,0,4,1,16,0,6,9,5,1,6,2,7,0,0,7,3,3,5,8,2,18,0,7,1,4,0,5,3,3,0,0,7,12,0,0,0,0,0,0,12,16,1,0,0,0,6,0,0,0,1,6,8,10,15,1,7,0,7,0,0,8,0,0,1,5,0,0,0,4,1,4,0,24,3,2,0,4,0,0,0,0,4,0,0,0,0,1,7,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,10,0,11,0,0,0,2,7,4,0,0,0,4,6
