,Speaker Party,Speaker,"('ablehn', 'motion')","('absatz', 'buchstab')","('administrativ', 'aufwand')","('all', 'grund')","('annahm', 'motion')","('antrag', 'kommission')","('antrag', 'mehrheit')","('antrag', 'mind')","('antwort', 'bundesrat')","('arbeitnehmerinn', 'arbeitnehm')","('art', 'weis')","('artikel', 'absatz')","('ausricht', 'antrag')","('beantrag', 'nam')","('bereit', 'erwahnt')","('bericht', 'kommission')","('big', 'to')","('bitt', 'deshalb')","('bitt', 'mehrheit')","('bitt', 'nam')","('bund', 'kanton')","('bundesrat', 'beantragt')","('bundesrat', 'folg')","('bundesrat', 'leuenberg')","('bundesratin', 'widmerschlumpf')","('burg', 'partei')","('burgerinn', 'burg')","('dam', 'herr')","('darauf', 'aufmerksam')","('darauf', 'hingewies')","('darauf', 'hinweis')","('darum', 'bitt')","('deshalb', 'bitt')","('direkt', 'bundessteu')","('direkt', 'demokrati')","('direkt', 'gegenvorschlag')","('drei', 'jahr')","('eidgenoss', 'steuerverwalt')","('einfach', 'sag')","('erneuerbar', 'energi')","('erst', 'lini')","('europa', 'union')","('fdpliberal', 'fraktion')","('flankier', 'massnahm')","('folg', 'geb')","('frag', 'stell')","('fraktion', 'cvpevpglpfraktion')","('frank', 'pro')","('frau', 'bundesprasidentin')","('frau', 'bundesratin')","('frau', 'fetz')","('frau', 'kollegin')","('frau', 'meierschatz')","('ganz', 'klar')","('geh', 'davon')","('geht', 'darum')","('geltend', 'recht')","('gemass', 'artikel')","('herr', 'bundesprasident')","('herr', 'bundesrat')","('herr', 'kolleg')","('herr', 'spuhl')","('hoh', 'vergut')","('indirekt', 'gegenvorschlag')","('initiativ', 'folg')","('interess', 'daran')","('ja', 'nein')","('ja', 'schon')","('jurist', 'person')","('kalt', 'progression')","('kanton', 'gemeind')","('kenntnis', 'genomm')","('kenntnis', 'nehm')","('klar', 'meinung')","('kommission', 'beantragt')","('kommission', 'rechtsfrag')","('kommission', 'stimm')","('konsumentinn', 'konsument')","('lasst', 'ausricht')","('letzt', 'jahr')","('letzt', 'mal')","('letzt', 'woch')","('leutenegg', 'oberholz')","('losung', 'find')","('macht', 'sinn')","('mehrheit', 'folg')","('mehrheit', 'kommission')","('mehrheit', 'svpfraktion')","('mieterinn', 'miet')","('milliard', 'frank')","('million', 'frank')","('mind', 'folg')","('mind', 'i')","('mind', 'ii')","('mocht', 'darauf')","('mocht', 'einfach')","('motion', 'abzulehn')","('motion', 'anzunehm')","('nam', 'spfraktion')","('nam', 'svpfraktion')","('nationalrat', 'folg')","('neu', 'unternehmenssteu')","('offent', 'hand')","('offent', 'verkehr')","('parlamentar', 'initiativ')","('patientinn', 'patient')","('polit', 'entscheid')","('pro', 'helvetia')","('pro', 'jahr')","('richterinn', 'richt')","('rund', 'milliard')","('sag', 'ja')","('sbb', 'cargo')","('schriftlich', 'bericht')","('seit', 'fahn')","('sicherheitspolit', 'bericht')","('sicht', 'bundesrat')","('sicht', 'spfraktion')","('sozialdemokratinn', 'sozialdemokrat')","('spfraktion', 'antrag')","('spfraktion', 'beantrag')","('spfraktion', 'bitt')","('spfraktion', 'bittet')","('spfraktion', 'eintret')","('spfraktion', 'klar')","('spfraktion', 'lehnt')","('spfraktion', 'mehrheit')","('spfraktion', 'mind')","('spfraktion', 'minderheitsantrag')","('spfraktion', 'unterstutzt')","('spfraktion', 'vorlag')","('st', 'gall')","('staatspolit', 'kommission')","('stell', 'fest')","('stimm', 'enthalt')","('svpfraktion', 'beantrag')","('svpfraktion', 'beantragt')","('svpfraktion', 'bitt')","('svpfraktion', 'bittet')","('svpfraktion', 'eintret')","('svpfraktion', 'mehrheit')","('svpfraktion', 'mind')","('svpfraktion', 'unterstutzt')","('to', 'fail')","('too', 'big')","('uns', 'kommission')","('uns', 'meinung')","('unterstutzt', 'antrag')","('unterstutzt', 'spfraktion')","('vorlag', 'einzutret')","('z', 'b')","('zehn', 'jahr')","('zwei', 'drei')"
0,Schweizerische Volkspartei (SVP),Adrian Amstutz,1,0,0,0,0,0,2,4,0,0,1,4,0,1,0,0,0,2,4,2,2,0,0,2,0,0,0,0,3,1,0,2,1,0,0,0,3,0,0,6,0,0,0,0,8,0,0,3,0,4,0,6,0,3,1,1,0,1,3,6,4,0,0,0,2,1,1,0,0,0,1,0,3,1,1,0,0,0,0,0,0,0,0,1,4,2,2,0,1,2,9,0,1,2,0,1,3,4,0,2,0,0,1,0,6,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,4,1
1,Schweizerische Volkspartei (SVP),Alex Kuprecht,1,13,1,0,3,4,5,13,11,3,3,43,0,11,16,0,2,50,2,1,8,0,1,0,1,0,3,0,3,11,3,3,10,0,1,0,8,3,2,0,0,1,0,0,15,1,0,9,0,6,2,6,0,3,7,17,7,20,2,12,9,0,0,1,2,1,2,2,4,0,2,7,1,1,10,0,6,1,0,13,2,4,0,2,3,9,4,0,0,57,62,0,7,9,1,2,8,12,0,0,6,0,2,1,29,2,0,0,10,0,23,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,2,2,11,0,0,0,11,10,7,9
2,Schweizerische Volkspartei (SVP),Alfred Heer,0,0,1,0,0,2,0,6,0,1,1,2,0,1,2,0,0,9,0,3,1,0,0,1,0,0,0,6,0,2,2,0,2,0,0,1,0,0,0,0,0,0,0,0,7,2,0,0,0,3,0,1,18,0,2,8,0,2,0,1,2,0,0,1,6,0,1,0,0,0,1,0,0,0,1,25,0,0,0,0,0,0,1,0,0,0,11,0,1,11,2,0,1,1,1,0,2,1,0,6,0,0,0,2,17,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0,4,0,1,0
3,Schweizerische Volkspartei (SVP),Andrea Martina Geissbühler,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,3,0,0,3,0,0,0,0,0,6,0,1,0,0,0,2,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,2,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0
4,Schweizerische Volkspartei (SVP),Andreas Aebi,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,2,0,1,0,0,0,0,1,0,1,0,0,1,6,0,3,0,5,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,2,0,0,5,0,4,0,0,0,0,0,0,0,9,5,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2
5,Schweizerische Volkspartei (SVP),André Bugnon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Schweizerische Volkspartei (SVP),Bruno Zuppiger,0,0,1,0,0,1,2,3,0,0,1,1,0,2,0,0,0,0,0,1,2,2,0,0,0,1,5,0,0,1,0,1,0,1,0,0,1,0,0,0,2,0,0,0,8,0,0,1,0,3,0,1,0,4,0,2,1,1,0,4,3,0,0,0,5,1,0,0,0,0,0,0,3,0,2,0,0,0,0,9,0,2,1,1,1,1,4,0,0,21,18,0,0,0,0,0,0,0,0,4,0,0,0,1,10,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,3,0,0,0,0,0,0,0,1,0,0,0,1,1,3,1
7,Schweizerische Volkspartei (SVP),Caspar Baader,1,1,4,0,1,2,10,13,1,1,1,27,0,1,0,0,4,23,4,3,3,0,0,0,0,0,5,4,0,1,0,3,11,6,3,6,10,1,0,1,0,0,1,0,9,1,0,3,3,9,0,0,6,5,1,20,5,5,4,5,3,0,0,7,8,1,1,3,3,17,0,0,0,4,1,6,0,1,0,2,1,2,5,0,0,7,10,1,3,22,16,2,5,8,0,0,0,2,0,8,0,20,1,0,20,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,1,1,2,0,0,0,1,4,4,2,2,1,0,4,3,6,1
8,Schweizerische Volkspartei (SVP),Christian Miesch,1,0,0,2,2,0,0,2,0,0,3,1,0,0,1,0,0,1,2,1,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,3,1,0,1,5,6,0,3,0,2,0,1,0,0,3,2,1,0,0,0,4,0,0,1,0,0,1,0,2,0,0,0,1,0,0,1,1,3,2,0,0,1,3,1,0,4,33,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0
9,Schweizerische Volkspartei (SVP),Christoffel Brändli,34,5,2,0,33,7,13,35,24,0,8,19,0,5,3,59,1,13,6,2,5,75,7,6,5,0,2,0,5,13,14,1,8,1,0,0,12,0,7,10,3,1,0,1,14,6,0,2,2,15,20,0,0,4,26,26,1,5,2,10,0,0,0,4,10,3,13,5,0,0,6,7,7,1,76,1,2,1,0,20,6,11,0,5,13,10,7,0,0,50,74,3,1,2,9,13,22,36,0,0,26,1,1,8,20,0,0,0,7,0,4,2,0,57,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,9,0,0,0,0,0,0,0,0,1,1,6,2,0,0,18,3,6,20
