,Speaker,Speaker Party,"('ablehn', 'motion')","('absatz', 'buchstab')","('administrativ', 'aufwand')","('all', 'grund')","('annahm', 'motion')","('antrag', 'kommission')","('antrag', 'mehrheit')","('antrag', 'mind')","('antwort', 'bundesrat')","('arbeitnehmerinn', 'arbeitnehm')","('art', 'weis')","('artikel', 'absatz')","('ausricht', 'antrag')","('beantrag', 'nam')","('bereit', 'erwahnt')","('bericht', 'kommission')","('big', 'to')","('bitt', 'deshalb')","('bitt', 'mehrheit')","('bitt', 'nam')","('bund', 'kanton')","('bundesrat', 'beantragt')","('bundesrat', 'folg')","('bundesrat', 'leuenberg')","('bundesratin', 'widmerschlumpf')","('burg', 'partei')","('burgerinn', 'burg')","('dam', 'herr')","('darauf', 'aufmerksam')","('darauf', 'hingewies')","('darauf', 'hinweis')","('darum', 'bitt')","('deshalb', 'bitt')","('direkt', 'bundessteu')","('direkt', 'demokrati')","('direkt', 'gegenvorschlag')","('drei', 'jahr')","('eidgenoss', 'steuerverwalt')","('einfach', 'sag')","('erneuerbar', 'energi')","('erst', 'lini')","('europa', 'union')","('fdpliberal', 'fraktion')","('flankier', 'massnahm')","('folg', 'geb')","('frag', 'stell')","('fraktion', 'cvpevpglpfraktion')","('frank', 'pro')","('frau', 'bundesprasidentin')","('frau', 'bundesratin')","('frau', 'fetz')","('frau', 'kollegin')","('frau', 'meierschatz')","('ganz', 'klar')","('geh', 'davon')","('geht', 'darum')","('geltend', 'recht')","('gemass', 'artikel')","('herr', 'bundesprasident')","('herr', 'bundesrat')","('herr', 'kolleg')","('herr', 'spuhl')","('hoh', 'vergut')","('indirekt', 'gegenvorschlag')","('initiativ', 'folg')","('interess', 'daran')","('ja', 'nein')","('ja', 'schon')","('jurist', 'person')","('kalt', 'progression')","('kanton', 'gemeind')","('kenntnis', 'genomm')","('kenntnis', 'nehm')","('klar', 'meinung')","('kommission', 'beantragt')","('kommission', 'rechtsfrag')","('kommission', 'stimm')","('konsumentinn', 'konsument')","('lasst', 'ausricht')","('letzt', 'jahr')","('letzt', 'mal')","('letzt', 'woch')","('leutenegg', 'oberholz')","('losung', 'find')","('macht', 'sinn')","('mehrheit', 'folg')","('mehrheit', 'kommission')","('mehrheit', 'svpfraktion')","('mieterinn', 'miet')","('milliard', 'frank')","('million', 'frank')","('mind', 'folg')","('mind', 'i')","('mind', 'ii')","('mocht', 'darauf')","('mocht', 'einfach')","('motion', 'abzulehn')","('motion', 'anzunehm')","('nam', 'spfraktion')","('nam', 'svpfraktion')","('nationalrat', 'folg')","('neu', 'unternehmenssteu')","('offent', 'hand')","('offent', 'verkehr')","('parlamentar', 'initiativ')","('patientinn', 'patient')","('polit', 'entscheid')","('pro', 'helvetia')","('pro', 'jahr')","('richterinn', 'richt')","('rund', 'milliard')","('sag', 'ja')","('sbb', 'cargo')","('schriftlich', 'bericht')","('seit', 'fahn')","('sicherheitspolit', 'bericht')","('sicht', 'bundesrat')","('sicht', 'spfraktion')","('sozialdemokratinn', 'sozialdemokrat')","('spfraktion', 'antrag')","('spfraktion', 'beantrag')","('spfraktion', 'bitt')","('spfraktion', 'bittet')","('spfraktion', 'eintret')","('spfraktion', 'klar')","('spfraktion', 'lehnt')","('spfraktion', 'mehrheit')","('spfraktion', 'mind')","('spfraktion', 'minderheitsantrag')","('spfraktion', 'unterstutzt')","('spfraktion', 'vorlag')","('st', 'gall')","('staatspolit', 'kommission')","('stell', 'fest')","('stimm', 'enthalt')","('svpfraktion', 'beantrag')","('svpfraktion', 'beantragt')","('svpfraktion', 'bitt')","('svpfraktion', 'bittet')","('svpfraktion', 'eintret')","('svpfraktion', 'mehrheit')","('svpfraktion', 'mind')","('svpfraktion', 'unterstutzt')","('to', 'fail')","('too', 'big')","('uns', 'kommission')","('uns', 'meinung')","('unterstutzt', 'antrag')","('unterstutzt', 'spfraktion')","('vorlag', 'einzutret')","('z', 'b')","('zehn', 'jahr')","('zwei', 'drei')"
0,Adrian Amstutz,Schweizerische Volkspartei (SVP),0.006622516556291391,0.0,0.0,0.0,0.0,0.0,0.013245033112582781,0.026490066225165563,0.0,0.0,0.006622516556291391,0.026490066225165563,0.0,0.006622516556291391,0.0,0.0,0.0,0.013245033112582781,0.026490066225165563,0.013245033112582781,0.013245033112582781,0.0,0.0,0.013245033112582781,0.0,0.0,0.0,0.0,0.019867549668874173,0.006622516556291391,0.0,0.013245033112582781,0.006622516556291391,0.0,0.0,0.0,0.019867549668874173,0.0,0.0,0.039735099337748346,0.0,0.0,0.0,0.0,0.052980132450331126,0.0,0.0,0.019867549668874173,0.0,0.026490066225165563,0.0,0.039735099337748346,0.0,0.019867549668874173,0.006622516556291391,0.006622516556291391,0.0,0.006622516556291391,0.019867549668874173,0.039735099337748346,0.026490066225165563,0.0,0.0,0.0,0.013245033112582781,0.006622516556291391,0.006622516556291391,0.0,0.0,0.0,0.006622516556291391,0.0,0.019867549668874173,0.006622516556291391,0.006622516556291391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006622516556291391,0.026490066225165563,0.013245033112582781,0.013245033112582781,0.0,0.006622516556291391,0.013245033112582781,0.059602649006622516,0.0,0.006622516556291391,0.013245033112582781,0.0,0.006622516556291391,0.019867549668874173,0.026490066225165563,0.0,0.013245033112582781,0.0,0.0,0.006622516556291391,0.0,0.039735099337748346,0.0,0.013245033112582781,0.0,0.019867549668874173,0.0,0.0,0.006622516556291391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013245033112582781,0.0,0.0,0.0,0.0,0.006622516556291391,0.006622516556291391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006622516556291391,0.019867549668874173,0.026490066225165563,0.006622516556291391
1,Alex Kuprecht,Schweizerische Volkspartei (SVP),0.0013404825737265416,0.01742627345844504,0.0013404825737265416,0.0,0.004021447721179625,0.005361930294906166,0.006702412868632708,0.01742627345844504,0.014745308310991957,0.004021447721179625,0.004021447721179625,0.057640750670241284,0.0,0.014745308310991957,0.021447721179624665,0.0,0.002680965147453083,0.06702412868632708,0.002680965147453083,0.0013404825737265416,0.010723860589812333,0.0,0.0013404825737265416,0.0,0.0013404825737265416,0.0,0.004021447721179625,0.0,0.004021447721179625,0.014745308310991957,0.004021447721179625,0.004021447721179625,0.013404825737265416,0.0,0.0013404825737265416,0.0,0.010723860589812333,0.004021447721179625,0.002680965147453083,0.0,0.0,0.0013404825737265416,0.0,0.0,0.020107238605898123,0.0013404825737265416,0.0,0.012064343163538873,0.0,0.00804289544235925,0.002680965147453083,0.00804289544235925,0.0,0.004021447721179625,0.00938337801608579,0.022788203753351208,0.00938337801608579,0.02680965147453083,0.002680965147453083,0.0160857908847185,0.012064343163538873,0.0,0.0,0.0013404825737265416,0.002680965147453083,0.0013404825737265416,0.002680965147453083,0.002680965147453083,0.005361930294906166,0.0,0.002680965147453083,0.00938337801608579,0.0013404825737265416,0.0013404825737265416,0.013404825737265416,0.0,0.00804289544235925,0.0013404825737265416,0.0,0.01742627345844504,0.002680965147453083,0.005361930294906166,0.0,0.002680965147453083,0.004021447721179625,0.012064343163538873,0.005361930294906166,0.0,0.0,0.07640750670241286,0.08310991957104558,0.0,0.00938337801608579,0.012064343163538873,0.0013404825737265416,0.002680965147453083,0.010723860589812333,0.0160857908847185,0.0,0.0,0.00804289544235925,0.0,0.002680965147453083,0.0013404825737265416,0.0388739946380697,0.002680965147453083,0.0,0.0,0.013404825737265416,0.0,0.030831099195710455,0.0,0.0,0.002680965147453083,0.0,0.0013404825737265416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036193029490616625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002680965147453083,0.002680965147453083,0.014745308310991957,0.0,0.0,0.0,0.014745308310991957,0.013404825737265416,0.00938337801608579,0.012064343163538873
2,Alfred Heer,Schweizerische Volkspartei (SVP),0.0,0.0,0.005128205128205128,0.0,0.0,0.010256410256410256,0.0,0.03076923076923077,0.0,0.005128205128205128,0.005128205128205128,0.010256410256410256,0.0,0.005128205128205128,0.010256410256410256,0.0,0.0,0.046153846153846156,0.0,0.015384615384615385,0.005128205128205128,0.0,0.0,0.005128205128205128,0.0,0.0,0.0,0.03076923076923077,0.0,0.010256410256410256,0.010256410256410256,0.0,0.010256410256410256,0.0,0.0,0.005128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035897435897435895,0.010256410256410256,0.0,0.0,0.0,0.015384615384615385,0.0,0.005128205128205128,0.09230769230769231,0.0,0.010256410256410256,0.041025641025641026,0.0,0.010256410256410256,0.0,0.005128205128205128,0.010256410256410256,0.0,0.0,0.005128205128205128,0.03076923076923077,0.0,0.005128205128205128,0.0,0.0,0.0,0.005128205128205128,0.0,0.0,0.0,0.005128205128205128,0.1282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.005128205128205128,0.0,0.0,0.0,0.05641025641025641,0.0,0.005128205128205128,0.05641025641025641,0.010256410256410256,0.0,0.005128205128205128,0.005128205128205128,0.005128205128205128,0.0,0.010256410256410256,0.005128205128205128,0.0,0.03076923076923077,0.0,0.0,0.0,0.010256410256410256,0.08717948717948718,0.0,0.005128205128205128,0.0,0.0,0.0,0.010256410256410256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005128205128205128,0.005128205128205128,0.0,0.005128205128205128,0.005128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010256410256410256,0.0,0.0,0.020512820512820513,0.0,0.005128205128205128,0.0
3,Andrea Martina Geissbühler,Schweizerische Volkspartei (SVP),0.0,0.0,0.015151515151515152,0.0,0.0,0.0,0.0,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.015151515151515152,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.015151515151515152,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.045454545454545456,0.030303030303030304,0.0,0.0,0.0,0.0,0.015151515151515152,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.07575757575757576,0.0,0.0,0.0,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015151515151515152,0.0,0.0,0.0,0.0,0.015151515151515152,0.015151515151515152,0.0,0.0,0.015151515151515152,0.015151515151515152,0.0
4,Andreas Aebi,Schweizerische Volkspartei (SVP),0.0,0.0,0.009900990099009901,0.0,0.0,0.0,0.0,0.009900990099009901,0.0,0.0,0.0,0.009900990099009901,0.0,0.0,0.0,0.019801980198019802,0.0,0.0,0.0,0.0,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0,0.0,0.0,0.039603960396039604,0.0,0.0,0.0,0.0,0.019801980198019802,0.0,0.009900990099009901,0.0,0.0,0.0,0.0,0.009900990099009901,0.0,0.009900990099009901,0.0,0.0,0.009900990099009901,0.0594059405940594,0.0,0.0297029702970297,0.0,0.04950495049504951,0.009900990099009901,0.009900990099009901,0.0,0.0,0.0,0.019801980198019802,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019801980198019802,0.0,0.0,0.0594059405940594,0.0,0.019801980198019802,0.0,0.0,0.04950495049504951,0.0,0.039603960396039604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0891089108910891,0.04950495049504951,0.0,0.0,0.0,0.0,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019801980198019802,0.0,0.019801980198019802,0.0,0.009900990099009901,0.0,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0,0.039603960396039604,0.1188118811881188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0594059405940594,0.0,0.019801980198019802
5,André Bugnon,Schweizerische Volkspartei (SVP),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Bruno Zuppiger,Schweizerische Volkspartei (SVP),0.0,0.0,0.006329113924050633,0.0,0.0,0.006329113924050633,0.012658227848101266,0.0189873417721519,0.0,0.0,0.006329113924050633,0.006329113924050633,0.0,0.012658227848101266,0.0,0.0,0.0,0.0,0.0,0.006329113924050633,0.012658227848101266,0.012658227848101266,0.0,0.0,0.0,0.006329113924050633,0.03164556962025317,0.0,0.0,0.006329113924050633,0.0,0.006329113924050633,0.0,0.006329113924050633,0.0,0.0,0.006329113924050633,0.0,0.0,0.0,0.012658227848101266,0.0,0.0,0.0,0.05063291139240506,0.0,0.0,0.006329113924050633,0.0,0.0189873417721519,0.0,0.006329113924050633,0.0,0.02531645569620253,0.0,0.012658227848101266,0.006329113924050633,0.006329113924050633,0.0,0.02531645569620253,0.0189873417721519,0.0,0.0,0.0,0.03164556962025317,0.006329113924050633,0.0,0.0,0.0,0.0,0.0,0.0,0.0189873417721519,0.0,0.012658227848101266,0.0,0.0,0.0,0.0,0.056962025316455694,0.0,0.012658227848101266,0.006329113924050633,0.006329113924050633,0.006329113924050633,0.006329113924050633,0.02531645569620253,0.0,0.0,0.13291139240506328,0.11392405063291139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02531645569620253,0.0,0.0,0.0,0.006329113924050633,0.06329113924050633,0.0,0.0,0.0,0.012658227848101266,0.0,0.0,0.0,0.0,0.0,0.0,0.006329113924050633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006329113924050633,0.0189873417721519,0.0,0.006329113924050633,0.0189873417721519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006329113924050633,0.0,0.0,0.0,0.006329113924050633,0.006329113924050633,0.0189873417721519,0.006329113924050633
7,Caspar Baader,Schweizerische Volkspartei (SVP),0.0021413276231263384,0.0021413276231263384,0.008565310492505354,0.0,0.0021413276231263384,0.004282655246252677,0.021413276231263382,0.027837259100642397,0.0021413276231263384,0.0021413276231263384,0.0021413276231263384,0.057815845824411134,0.0,0.0021413276231263384,0.0,0.0,0.008565310492505354,0.04925053533190578,0.008565310492505354,0.006423982869379015,0.006423982869379015,0.0,0.0,0.0,0.0,0.0,0.010706638115631691,0.008565310492505354,0.0,0.0021413276231263384,0.0,0.006423982869379015,0.023554603854389723,0.01284796573875803,0.006423982869379015,0.01284796573875803,0.021413276231263382,0.0021413276231263384,0.0,0.0021413276231263384,0.0,0.0,0.0021413276231263384,0.0,0.019271948608137045,0.0021413276231263384,0.0,0.006423982869379015,0.006423982869379015,0.019271948608137045,0.0,0.0,0.01284796573875803,0.010706638115631691,0.0021413276231263384,0.042826552462526764,0.010706638115631691,0.010706638115631691,0.008565310492505354,0.010706638115631691,0.006423982869379015,0.0,0.0,0.014989293361884369,0.017130620985010708,0.0021413276231263384,0.0021413276231263384,0.006423982869379015,0.006423982869379015,0.03640256959314775,0.0,0.0,0.0,0.008565310492505354,0.0021413276231263384,0.01284796573875803,0.0,0.0021413276231263384,0.0,0.004282655246252677,0.0021413276231263384,0.004282655246252677,0.010706638115631691,0.0,0.0,0.014989293361884369,0.021413276231263382,0.0021413276231263384,0.006423982869379015,0.047109207708779445,0.034261241970021415,0.004282655246252677,0.010706638115631691,0.017130620985010708,0.0,0.0,0.0,0.004282655246252677,0.0,0.017130620985010708,0.0,0.042826552462526764,0.0021413276231263384,0.0,0.042826552462526764,0.0,0.0,0.0021413276231263384,0.010706638115631691,0.0021413276231263384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014989293361884369,0.006423982869379015,0.0021413276231263384,0.0021413276231263384,0.004282655246252677,0.0,0.0,0.0,0.0021413276231263384,0.008565310492505354,0.008565310492505354,0.004282655246252677,0.004282655246252677,0.0021413276231263384,0.0,0.008565310492505354,0.006423982869379015,0.01284796573875803,0.0021413276231263384
8,Christian Miesch,Schweizerische Volkspartei (SVP),0.007575757575757576,0.0,0.0,0.015151515151515152,0.015151515151515152,0.0,0.0,0.015151515151515152,0.0,0.0,0.022727272727272728,0.007575757575757576,0.0,0.0,0.007575757575757576,0.0,0.0,0.007575757575757576,0.015151515151515152,0.007575757575757576,0.015151515151515152,0.0,0.0,0.0,0.007575757575757576,0.0,0.007575757575757576,0.0,0.0,0.0,0.0,0.0,0.007575757575757576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015151515151515152,0.0,0.0,0.0,0.022727272727272728,0.007575757575757576,0.0,0.007575757575757576,0.03787878787878788,0.045454545454545456,0.0,0.022727272727272728,0.0,0.015151515151515152,0.0,0.007575757575757576,0.0,0.0,0.022727272727272728,0.015151515151515152,0.007575757575757576,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.007575757575757576,0.0,0.0,0.007575757575757576,0.0,0.015151515151515152,0.0,0.0,0.0,0.007575757575757576,0.0,0.0,0.007575757575757576,0.007575757575757576,0.022727272727272728,0.015151515151515152,0.0,0.0,0.007575757575757576,0.022727272727272728,0.007575757575757576,0.0,0.030303030303030304,0.25,0.007575757575757576,0.0,0.007575757575757576,0.0,0.0,0.0,0.0,0.0,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015151515151515152,0.015151515151515152,0.0,0.007575757575757576,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007575757575757576,0.0,0.0,0.022727272727272728,0.0,0.0,0.007575757575757576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007575757575757576,0.030303030303030304,0.0,0.0
9,Christoffel Brändli,Schweizerische Volkspartei (SVP),0.028333333333333332,0.004166666666666667,0.0016666666666666668,0.0,0.0275,0.005833333333333334,0.010833333333333334,0.029166666666666667,0.02,0.0,0.006666666666666667,0.015833333333333335,0.0,0.004166666666666667,0.0025,0.049166666666666664,0.0008333333333333334,0.010833333333333334,0.005,0.0016666666666666668,0.004166666666666667,0.0625,0.005833333333333334,0.005,0.004166666666666667,0.0,0.0016666666666666668,0.0,0.004166666666666667,0.010833333333333334,0.011666666666666667,0.0008333333333333334,0.006666666666666667,0.0008333333333333334,0.0,0.0,0.01,0.0,0.005833333333333334,0.008333333333333333,0.0025,0.0008333333333333334,0.0,0.0008333333333333334,0.011666666666666667,0.005,0.0,0.0016666666666666668,0.0016666666666666668,0.0125,0.016666666666666666,0.0,0.0,0.0033333333333333335,0.021666666666666667,0.021666666666666667,0.0008333333333333334,0.004166666666666667,0.0016666666666666668,0.008333333333333333,0.0,0.0,0.0,0.0033333333333333335,0.008333333333333333,0.0025,0.010833333333333334,0.004166666666666667,0.0,0.0,0.005,0.005833333333333334,0.005833333333333334,0.0008333333333333334,0.06333333333333334,0.0008333333333333334,0.0016666666666666668,0.0008333333333333334,0.0,0.016666666666666666,0.005,0.009166666666666667,0.0,0.004166666666666667,0.010833333333333334,0.008333333333333333,0.005833333333333334,0.0,0.0,0.041666666666666664,0.06166666666666667,0.0025,0.0008333333333333334,0.0016666666666666668,0.0075,0.010833333333333334,0.018333333333333333,0.03,0.0,0.0,0.021666666666666667,0.0008333333333333334,0.0008333333333333334,0.006666666666666667,0.016666666666666666,0.0,0.0,0.0,0.005833333333333334,0.0,0.0033333333333333335,0.0016666666666666668,0.0,0.0475,0.0016666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016666666666666668,0.006666666666666667,0.0075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008333333333333334,0.0008333333333333334,0.005,0.0016666666666666668,0.0,0.0,0.015,0.0025,0.005,0.016666666666666666
