,Speaker Party,Speaker,"('ablehn', 'motion')","('absatz', 'artikel')","('absatz', 'buchstab')","('administrativ', 'aufwand')","('all', 'grund')","('annahm', 'motion')","('antrag', 'bundesrat')","('antrag', 'kommission')","('antrag', 'mehrheit')","('antrag', 'mind')","('antwort', 'bundesrat')","('arbeitnehmerinn', 'arbeitnehm')","('art', 'weis')","('artikel', 'absatz')","('ausricht', 'antrag')","('beantrag', 'nam')","('beantragt', 'ablehn')","('beantragt', 'annahm')","('beantragt', 'diskussion')","('beantragt', 'ebenfall')","('beantragt', 'einstimm')","('beantragt', 'kurz')","('beantragt', 'stimm')","('befriedigt', 'diskussion')","('beid', 'rat')","('bereit', 'erwahnt')","('bereit', 'heut')","('bericht', 'kommission')","('beruf', 'vorsorg')","('beschluss', 'nationalrat')","('big', 'to')","('bitt', 'bundesrat')","('bitt', 'dah')","('bitt', 'deshalb')","('bitt', 'mehrheit')","('bitt', 'nam')","('buchstab', 'a')","('bund', 'kanton')","('bundesrat', 'beantragt')","('bundesrat', 'befriedigt')","('bundesrat', 'folg')","('bundesrat', 'leuenberg')","('bundesrat', 'parlament')","('bundesratin', 'widmerschlumpf')","('burg', 'partei')","('burgerinn', 'burg')","('cvpevpglpfraktion', 'bitt')","('cvpevpglpfraktion', 'unterstutzt')","('d', 'h')","('dah', 'find')","('dam', 'herr')","('dank', 'bundesrat')","('darauf', 'aufmerksam')","('darauf', 'hingewies')","('darauf', 'hinweis')","('darum', 'bitt')","('deshalb', 'bitt')","('direkt', 'bundessteu')","('direkt', 'demokrati')","('direkt', 'gegenentwurf')","('direkt', 'gegenvorschlag')","('diskussion', 'beantragt')","('diskussion', 'einverstand')","('drei', 'jahr')","('eidgenoss', 'steuerverwalt')","('einfach', 'sag')","('end', 'jahr')","('entwurf', 'bundesrat')","('erhalt', 'kommission')","('erneuerbar', 'energi')","('erst', 'lini')","('eth', 'zurich')","('etwa', 'million')","('europa', 'union')","('fakultativ', 'referendum')","('famili', 'kind')","('fdpliberal', 'fraktion')","('financial', 'stability')","('flankier', 'massnahm')","('folg', 'geb')","('frag', 'stell')","('fraktion', 'cvpevpglpfraktion')","('frank', 'pro')","('frau', 'bundesprasidentin')","('frau', 'bundesratin')","('frau', 'dien')","('frau', 'fetz')","('frau', 'forst')","('frau', 'kollegin')","('frau', 'meierschatz')","('frau', 'nationalratin')","('frau', 'sommaruga')","('freisinnigdemokrat', 'fraktion')","('ganz', 'klar')","('geh', 'davon')","('geht', 'darum')","('geht', 'frag')","('geltend', 'recht')","('gemass', 'artikel')","('gesagt', 'word')","('gross', 'zahl')","('grund', 'weshalb')","('herr', 'bundesprasident')","('herr', 'bundesrat')","('herr', 'buttik')","('herr', 'kolleg')","('herr', 'nationalrat')","('herr', 'spuhl')","('herr', 'stahelin')","('herr', 'standerat')","('herrn', 'bundesrat')","('herrn', 'kolleg')","('herrn', 'standerat')","('hoh', 'vergut')","('indirekt', 'gegenvorschlag')","('initiativ', 'folg')","('interess', 'daran')","('international', 'wahrungsfond')","('interpellant', 'schriftlich')","('ja', 'nein')","('ja', 'schon')","('jurist', 'person')","('kalt', 'progression')","('kanton', 'gemeind')","('kenntnis', 'genomm')","('kenntnis', 'nehm')","('klar', 'meinung')","('kolleg', 'david')","('kolleg', 'schweig')","('kommission', 'beantragt')","('kommission', 'erhalt')","('kommission', 'folg')","('kommission', 'rechtsfrag')","('kommission', 'stimm')","('kommission', 'verkehr')","('konsumentinn', 'konsument')","('lang', 'zeit')","('lasst', 'ausricht')","('letzt', 'bemerk')","('letzt', 'jahr')","('letzt', 'mal')","('letzt', 'punkt')","('letzt', 'woch')","('leutenegg', 'oberholz')","('liegt', 'schriftlich')","('losung', 'find')","('macht', 'sinn')","('mehrheit', 'folg')","('mehrheit', 'kommission')","('mehrheit', 'svpfraktion')","('mehrheit', 'zuzustimm')","('mieterinn', 'miet')","('milliard', 'frank')","('million', 'frank')","('mind', 'folg')","('mind', 'i')","('mind', 'ii')","('minderheitsantrag', 'abzulehn')","('mitglied', 'bundesrat')","('mocht', 'darauf')","('mocht', 'einfach')","('motion', 'abzulehn')","('motion', 'anzunehm')","('nach', 'jahr')","('nam', 'cvpevpglpfraktion')","('nam', 'fdpfraktion')","('nam', 'fdpliberal')","('nam', 'kommission')","('nam', 'spfraktion')","('nam', 'svpfraktion')","('nationalrat', 'beschloss')","('nationalrat', 'folg')","('natur', 'person')","('neu', 'unternehmenssteu')","('oberst', 'organ')","('offent', 'hand')","('offent', 'interess')","('offent', 'verkehr')","('parlamentar', 'initiativ')","('patientinn', 'patient')","('polit', 'entscheid')","('pro', 'helvetia')","('pro', 'jahr')","('produzier', 'landwirtschaft')","('rapp', 'pro')","('recht', 'gesagt')","('regional', 'erschopf')","('richterinn', 'richt')","('richtig', 'gesagt')","('roll', 'spiel')","('rund', 'milliard')","('sag', 'ja')","('sbb', 'cargo')","('schon', 'gesagt')","('schriftlich', 'antwort')","('schriftlich', 'bericht')","('schweiz', 'eu')","('schweiz', 'schul')","('schweizer', 'nationalbank')","('seit', 'fahn')","('sicherheitspolit', 'bericht')","('sicherheitspolit', 'kommission')","('sicht', 'bundesrat')","('sicht', 'spfraktion')","('sinn', 'bitt')","('sozialdemokratinn', 'sozialdemokrat')","('spfraktion', 'antrag')","('spfraktion', 'beantrag')","('spfraktion', 'bitt')","('spfraktion', 'bittet')","('spfraktion', 'eintret')","('spfraktion', 'klar')","('spfraktion', 'lehnt')","('spfraktion', 'mehrheit')","('spfraktion', 'mind')","('spfraktion', 'minderheitsantrag')","('spfraktion', 'unterstutzt')","('spfraktion', 'vorlag')","('st', 'gall')","('staatspolit', 'kommission')","('stell', 'fest')","('stimm', 'enthalt')","('svpfraktion', 'beantrag')","('svpfraktion', 'beantragt')","('svpfraktion', 'bitt')","('svpfraktion', 'bittet')","('svpfraktion', 'eintret')","('svpfraktion', 'mehrheit')","('svpfraktion', 'mind')","('svpfraktion', 'unterstutzt')","('to', 'fail')","('too', 'big')","('uns', 'kommission')","('uns', 'meinung')","('unterstutzt', 'antrag')","('unterstutzt', 'spfraktion')","('vergang', 'jahr')","('verkehr', 'fernmeldewes')","('vorberat', 'kommission')","('vorlag', 'einzutret')","('weshalb', 'bundesrat')","('wirtschaft', 'leistungsfah')","('worum', 'geht')","('wurd', 'kommission')","('z', 'b')","('zehn', 'jahr')","('zwei', 'drei')","('zwingend', 'volkerrecht')"
0,Christlichdemokratische Volkspartei der Schweiz (CVP),Arthur Loepfe,0,0,2,0,0,0,0,0,6,20,0,0,0,7,0,0,0,0,0,0,1,0,2,0,6,0,0,0,0,0,0,4,1,4,14,13,2,4,1,0,4,0,2,0,2,3,1,1,3,0,2,1,0,0,2,2,2,0,0,0,0,0,0,1,0,3,0,2,0,8,0,0,2,2,0,0,0,0,1,1,0,0,7,0,1,1,0,0,0,0,0,0,0,3,0,4,2,0,4,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,1,4,0,0,0,3,0,3,0,0,0,0,3,0,0,23,4,1,0,4,0,2,0,7,4,0,11,0,55,92,2,7,7,17,0,1,1,0,3,20,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,1,1,3,0,5,0,0,1,0,3,0,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,14,14,3,0
1,Christlichdemokratische Volkspartei der Schweiz (CVP),Barbara Schmid-Federer,0,1,1,0,2,0,0,0,7,12,0,0,0,6,0,0,0,0,0,0,1,0,1,0,2,0,2,1,0,0,0,0,8,1,0,3,1,1,0,0,0,0,2,0,0,1,4,2,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,5,0,0,1,0,0,0,0,3,0,0,0,7,0,0,1,0,3,0,0,0,0,0,0,0,0,0,2,0,1,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,3,17,1,0,0,1,0,0,0,1,0,0,1,0,0,1,4,20,0,0,0,0,6,0,2,5,3,0,0,1,0,2,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,9,0,0,0,0,0,0,0,0,0,0,6,0,1,0,1,0,0,8,0,1,1,1,5,7,0,2
2,Christlichdemokratische Volkspartei der Schweiz (CVP),Brigitte Häberli-Koller,1,0,1,0,3,1,1,2,5,3,1,0,0,2,0,0,0,1,0,0,0,0,1,0,2,0,1,0,0,1,0,0,0,3,4,4,0,10,2,0,2,0,1,1,0,0,0,2,7,0,2,1,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,9,0,1,2,0,1,0,0,2,0,0,0,6,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,1,4,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0,0,1,0,0,7,0,0,1,0,0,0,0,3,7,0,3,0,17,46,0,0,3,0,1,0,0,0,2,1,1,0,0,0,0,0,2,0,0,0,0,1,0,2,6,0,0,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,2,0,0,0,1,1,3,0,0
3,Christlichdemokratische Volkspartei der Schweiz (CVP),Bruno Frick,3,3,2,5,0,3,5,8,1,16,5,2,2,22,0,0,0,0,0,0,1,0,0,0,13,1,13,0,4,7,5,2,11,2,3,4,3,4,3,0,2,3,1,3,0,16,0,0,9,0,1,11,1,16,3,3,1,5,5,0,0,0,0,6,1,0,15,10,0,3,16,5,8,3,3,1,0,0,0,5,2,0,6,12,20,3,18,7,7,0,0,16,2,10,2,27,7,0,2,1,7,2,19,32,4,16,0,0,6,0,13,12,0,0,5,3,0,0,0,2,1,0,7,9,6,4,0,2,1,5,1,6,10,3,0,0,3,0,7,25,1,0,9,3,0,11,2,4,6,0,2,0,56,86,0,2,8,0,0,1,1,0,7,30,0,0,0,5,0,0,2,5,1,0,5,0,1,1,15,0,5,0,12,0,2,1,0,0,1,1,14,2,0,0,1,3,0,0,0,0,31,41,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,6,0,0,0,0,0,0,0,0,5,6,20,0,0,0,3,0,2,7,1,2,4,0,5,7,5,0
4,Christlichdemokratische Volkspartei der Schweiz (CVP),Chiara Simoneschi-Cortesi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Christlichdemokratische Volkspartei der Schweiz (CVP),Christophe Darbellay,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Christlichdemokratische Volkspartei der Schweiz (CVP),Corina Casanova,3,4,4,0,0,4,9,11,0,2,2,0,1,24,0,0,2,0,0,0,0,0,0,0,4,2,2,1,0,3,0,1,3,0,0,0,1,2,15,0,2,1,4,0,0,3,0,0,0,0,0,0,0,1,7,0,1,0,5,1,0,0,0,1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,8,2,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,6,1,0,0,0,0,1,0,0,1,4,1,0,0,0,2,1,5,1,0,0,0,1,0,0,11,2,0,1,0,0,0,0,0,1,0,0,0,0,11,0,0,0,4,40,3,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,2,0,1,0,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,4,0,0,0,2,5,1,0,0
7,Christlichdemokratische Volkspartei der Schweiz (CVP),Doris Leuthard,16,8,6,2,2,18,9,20,16,48,1,7,8,55,0,3,4,7,0,0,0,0,0,0,12,2,28,0,2,5,5,3,42,18,19,1,2,30,16,0,12,0,11,0,1,11,0,0,16,0,0,1,3,44,21,0,38,3,1,0,0,0,0,25,2,11,28,12,0,40,11,5,5,4,0,0,0,2,21,3,9,0,21,0,0,5,5,9,0,0,38,19,0,52,24,30,10,5,9,6,8,5,1,1,16,0,126,11,8,107,0,0,45,0,8,0,21,0,0,5,26,2,1,12,16,12,7,0,0,0,0,38,7,0,0,24,13,0,3,60,2,5,9,6,0,16,24,22,43,0,2,3,68,208,3,15,8,11,2,12,8,17,10,106,0,0,0,0,0,0,2,0,10,0,0,5,11,21,16,0,21,2,20,16,7,33,0,0,42,6,12,19,0,26,0,1,16,0,5,0,5,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,21,0,0,0,0,0,0,0,0,0,5,5,0,2,0,0,40,0,21,13,0,3,5,2,62,46,16,0
8,Christlichdemokratische Volkspartei der Schweiz (CVP),Elisabeth Schneider-Schneiter,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
9,Christlichdemokratische Volkspartei der Schweiz (CVP),Elvira Bader,0,1,1,0,1,1,0,0,0,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,1,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,1,0,0,0,3,0,0,0,0,0,0,1,1,7,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,5,0,0,0
