,Speaker,Speaker Party,"('absatz', 'buchstab')","('angehor', 'arme')","('anlegerinn', 'anleg')","('annahm', 'motion')","('antrag', 'kommissionsmehr')","('antrag', 'mehrheit')","('antrag', 'mind')","('arbeitnehmerinn', 'arbeitnehm')","('arme', 'xxi')","('artikel', 'absatz')","('ausdruck', 'gebracht')","('auslanderinn', 'ausland')","('automat', 'informationsaustausch')","('beantragt', 'stimm')","('beid', 'rat')","('beim', 'eintret')","('beruf', 'vorsorg')","('beschluss', 'nationalrat')","('best', 'dank')","('bitt', 'antrag')","('bitt', 'deshalb')","('bitt', 'dringend')","('bitt', 'minderheitsantrag')","('bund', 'kanton')","('bundesrat', 'beantragt')","('bundesrat', 'folg')","('bundesrat', 'ja')","('bundesrat', 'meinung')","('bundesrat', 'merz')","('bundesrat', 'motion')","('bundesrat', 'standerat')","('bundesrat', 'vorgeschlag')","('daran', 'erinn')","('darauf', 'aufmerksam')","('darauf', 'hinweis')","('darum', 'bitt')","('de', 'la')","('deshalb', 'bundesrat')","('direkt', 'demokrati')","('eidgenoss', 'finanzkontroll')","('eidgenoss', 'steuerverwalt')","('einfach', 'sag')","('elt', 'sorg')","('entwurf', 'bundesrat')","('erneuerbar', 'energi')","('europa', 'gerichtshof')","('europa', 'union')","('fassung', 'bundesrat')","('folg', 'geb')","('frag', 'herr')","('frag', 'herrn')","('frau', 'bundesprasidentin')","('frau', 'bundesratin')","('frau', 'fetz')","('frau', 'kollegin')","('frau', 'leutenegg')","('frau', 'nationalratin')","('ganz', 'klar')","('ganz', 'wichtig')","('geh', 'davon')","('geht', 'darum')","('geht', 'frag')","('geltend', 'recht')","('gemass', 'artikel')","('gesagt', 'word')","('glaub', 'wichtig')","('gross', 'mehrheit')","('grund', 'weshalb')","('herr', 'bundesrat')","('herr', 'kolleg')","('herr', 'nationalrat')","('herr', 'standerat')","('herr', 'visch')","('herrn', 'standerat')","('heut', 'geltend')","('indirekt', 'gegenvorschlag')","('initiativ', 'folg')","('ja', 'schon')","('kanton', 'bern')","('kanton', 'schwyz')","('kanton', 'zurich')","('klar', 'meinung')","('kommission', 'beantragt')","('kommission', 'folg')","('kommission', 'rechtsfrag')","('kommissionssprech', 'gesagt')","('konsumentinn', 'konsument')","('lehnt', 'spfraktion')","('leutenegg', 'oberholz')","('mehr', 'geld')","('mehrheit', 'folg')","('mehrheit', 'kommission')","('mehrheit', 'spfraktion')","('mehrheit', 'svpfraktion')","('mehrheit', 'wak')","('mehrheit', 'zuzustimm')","('mieterinn', 'miet')","('milliard', 'frank')","('mind', 'folg')","('minderheitsantrag', 'abzulehn')","('mocht', 'bitt')","('mocht', 'daran')","('mocht', 'einfach')","('motion', 'abzulehn')","('motion', 'anzunehm')","('nach', 'jahr')","('nam', 'bundesrat')","('nam', 'spfraktion')","('nam', 'svpfraktion')","('nationalrat', 'folg')","('offent', 'verkehr')","('parlamentar', 'initiativ')","('patientinn', 'patient')","('pro', 'helvetia')","('rentnerinn', 'rentn')","('rund', 'milliard')","('sag', 'sei')","('sbb', 'cargo')","('seit', 'jahr')","('servic', 'public')","('sicherheitspolit', 'bericht')","('sicht', 'bundesrat')","('sicht', 'spfraktion')","('sinn', 'bitt')","('sozialdemokrat', 'fraktion')","('spfraktion', 'antrag')","('spfraktion', 'beantrag')","('spfraktion', 'begrusst')","('spfraktion', 'bitt')","('spfraktion', 'bittet')","('spfraktion', 'eintret')","('spfraktion', 'empfiehlt')","('spfraktion', 'ersuch')","('spfraktion', 'lehnt')","('spfraktion', 'mehrheit')","('spfraktion', 'mind')","('spfraktion', 'minderheitsantrag')","('spfraktion', 'steht')","('spfraktion', 'unterstutzt')","('spfraktion', 'vorlag')","('st', 'gall')","('staatspolit', 'kommission')","('stimm', 'enthalt')","('svpfraktion', 'antrag')","('svpfraktion', 'beantrag')","('svpfraktion', 'bitt')","('svpfraktion', 'bittet')","('svpfraktion', 'empfiehlt')","('svpfraktion', 'lehnt')","('svpfraktion', 'mehrheit')","('svpfraktion', 'mind')","('svpfraktion', 'unterstutzt')","('svpfraktion', 'vorlag')","('uns', 'kommission')","('uns', 'sicht')","('unterstutzt', 'spfraktion')","('vier', 'jahr')","('volkerrecht', 'vertrag')","('vorlauf', 'aufgenomm')","('vorlauf', 'aufnahm')","('worum', 'geht')","('zwanzig', 'jahr')","('zwei', 'drei')","('zweit', 'saul')"
0,Adrian Amstutz,Schweizerische Volkspartei (SVP),0.0,0.0,0.0,0.0,0.0,0.0,0.005714285714285714,0.0,0.0,0.005714285714285714,0.0,0.005714285714285714,0.0,0.011428571428571429,0.005714285714285714,0.0,0.0,0.0,0.011428571428571429,0.0,0.011428571428571429,0.0,0.0,0.005714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011428571428571429,0.011428571428571429,0.0,0.0,0.005714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.017142857142857144,0.0,0.0,0.011428571428571429,0.0,0.005714285714285714,0.005714285714285714,0.08,0.0,0.06285714285714286,0.011428571428571429,0.0,0.005714285714285714,0.0,0.0,0.045714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06285714285714286,0.09142857142857143,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.005714285714285714,0.005714285714285714,0.022857142857142857,0.0,0.02857142857142857,0.011428571428571429,0.005714285714285714,0.0,0.0,0.0,0.005714285714285714,0.0,0.011428571428571429,0.045714285714285714,0.005714285714285714,0.005714285714285714,0.0,0.0,0.0,0.005714285714285714,0.011428571428571429,0.12,0.005714285714285714,0.0,0.0,0.0,0.0,0.005714285714285714,0.005714285714285714,0.0,0.0,0.0,0.0,0.0,0.005714285714285714,0.022857142857142857,0.0,0.0,0.0,0.0,0.005714285714285714,0.0,0.017142857142857144,0.0,0.0,0.0,0.0,0.005714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005714285714285714,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.005714285714285714,0.0,0.005714285714285714,0.011428571428571429,0.011428571428571429,0.0,0.0,0.0,0.0,0.005714285714285714,0.011428571428571429,0.0,0.011428571428571429,0.005714285714285714,0.011428571428571429,0.0
1,Albert Rösti,Schweizerische Volkspartei (SVP),0.024922118380062305,0.0,0.0,0.003115264797507788,0.003115264797507788,0.009345794392523364,0.04361370716510903,0.0,0.0,0.12461059190031153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012461059190031152,0.04361370716510903,0.0,0.012461059190031152,0.012461059190031152,0.003115264797507788,0.006230529595015576,0.003115264797507788,0.0,0.0,0.0,0.003115264797507788,0.006230529595015576,0.0,0.003115264797507788,0.003115264797507788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012461059190031152,0.08722741433021806,0.0,0.0,0.003115264797507788,0.003115264797507788,0.006230529595015576,0.0,0.003115264797507788,0.028037383177570093,0.0,0.012461059190031152,0.0,0.0,0.006230529595015576,0.0,0.009345794392523364,0.012461059190031152,0.0,0.0,0.012461059190031152,0.003115264797507788,0.0,0.0,0.0,0.018691588785046728,0.04361370716510903,0.0,0.003115264797507788,0.003115264797507788,0.0,0.0,0.012461059190031152,0.006230529595015576,0.006230529595015576,0.01557632398753894,0.0,0.0,0.003115264797507788,0.006230529595015576,0.009345794392523364,0.0,0.0,0.0,0.0,0.0,0.006230529595015576,0.009345794392523364,0.04984423676012461,0.0,0.0,0.0,0.006230529595015576,0.003115264797507788,0.059190031152647975,0.006230529595015576,0.0,0.0,0.0,0.0,0.006230529595015576,0.009345794392523364,0.009345794392523364,0.0,0.0,0.028037383177570093,0.0,0.03115264797507788,0.024922118380062305,0.0,0.0,0.0,0.0,0.003115264797507788,0.0,0.012461059190031152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003115264797507788,0.0,0.03115264797507788,0.0,0.0,0.006230529595015576,0.0,0.0,0.0,0.0,0.003115264797507788,0.009345794392523364,0.003115264797507788,0.0,0.003115264797507788,0.0,0.012461059190031152,0.0,0.0,0.0,0.0,0.009345794392523364,0.009345794392523364,0.0
2,Alex Kuprecht,Schweizerische Volkspartei (SVP),0.009067357512953367,0.034974093264248704,0.0,0.009067357512953367,0.007772020725388601,0.009067357512953367,0.022020725388601035,0.0051813471502590676,0.0051813471502590676,0.12176165803108809,0.0038860103626943004,0.0,0.0025906735751295338,0.0,0.009067357512953367,0.0051813471502590676,0.011658031088082901,0.010362694300518135,0.0012953367875647669,0.010362694300518135,0.034974093264248704,0.0012953367875647669,0.0,0.010362694300518135,0.0025906735751295338,0.0038860103626943004,0.0012953367875647669,0.0012953367875647669,0.0012953367875647669,0.0012953367875647669,0.0,0.0051813471502590676,0.0012953367875647669,0.0012953367875647669,0.0038860103626943004,0.0038860103626943004,0.0,0.0038860103626943004,0.0012953367875647669,0.0012953367875647669,0.0,0.0,0.0,0.01683937823834197,0.0,0.0,0.0,0.011658031088082901,0.006476683937823834,0.0012953367875647669,0.0,0.0012953367875647669,0.007772020725388601,0.014248704663212436,0.007772020725388601,0.0,0.0012953367875647669,0.0038860103626943004,0.0,0.009067357512953367,0.011658031088082901,0.006476683937823834,0.0051813471502590676,0.04533678756476684,0.0,0.0,0.0012953367875647669,0.0,0.015544041450777202,0.023316062176165803,0.0,0.0025906735751295338,0.0,0.0012953367875647669,0.0025906735751295338,0.0012953367875647669,0.0038860103626943004,0.0038860103626943004,0.0025906735751295338,0.02072538860103627,0.0,0.0025906735751295338,0.015544041450777202,0.0051813471502590676,0.0025906735751295338,0.0,0.0,0.0,0.0,0.0,0.023316062176165803,0.019430051813471502,0.0,0.0,0.0012953367875647669,0.0012953367875647669,0.0,0.08419689119170984,0.006476683937823834,0.011658031088082901,0.027202072538860103,0.0,0.0,0.011658031088082901,0.006476683937823834,0.006476683937823834,0.0,0.0,0.0,0.0025906735751295338,0.0051813471502590676,0.006476683937823834,0.0012953367875647669,0.0,0.019430051813471502,0.023316062176165803,0.0012953367875647669,0.0,0.006476683937823834,0.0,0.010362694300518135,0.0025906735751295338,0.0,0.0038860103626943004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051813471502590676,0.0,0.03626943005181347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011658031088082901,0.0025906735751295338,0.0,0.006476683937823834,0.0,0.0,0.0,0.0025906735751295338,0.006476683937823834,0.009067357512953367,0.023316062176165803
3,Alfred Heer,Schweizerische Volkspartei (SVP),0.0,0.0,0.0,0.0,0.0,0.0,0.014084507042253521,0.0,0.0,0.028169014084507043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028169014084507043,0.014084507042253521,0.0,0.0,0.0,0.028169014084507043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014084507042253521,0.0,0.028169014084507043,0.0,0.0,0.0,0.0,0.0,0.056338028169014086,0.0,0.028169014084507043,0.014084507042253521,0.0,0.0,0.08450704225352113,0.0,0.0,0.014084507042253521,0.0,0.0,0.0,0.0,0.09859154929577464,0.0,0.0,0.014084507042253521,0.0,0.0,0.0,0.014084507042253521,0.0,0.028169014084507043,0.0,0.0,0.0,0.0,0.0,0.0,0.028169014084507043,0.0,0.0,0.0,0.07042253521126761,0.0,0.0,0.0,0.014084507042253521,0.0,0.0,0.0,0.014084507042253521,0.0,0.0,0.028169014084507043,0.0,0.0,0.0,0.0,0.0,0.028169014084507043,0.0,0.0,0.028169014084507043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028169014084507043,0.0,0.0,0.18309859154929578,0.0,0.0,0.0,0.014084507042253521,0.0,0.0,0.014084507042253521,0.0,0.0,0.0,0.0,0.014084507042253521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014084507042253521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014084507042253521,0.0,0.0
4,Andrea Martina Geissbühler,Schweizerische Volkspartei (SVP),0.01282051282051282,0.02564102564102564,0.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.0641025641025641,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.01282051282051282,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05128205128205128,0.01282051282051282,0.0,0.02564102564102564,0.0,0.0,0.02564102564102564,0.0,0.0,0.01282051282051282,0.01282051282051282,0.0,0.0,0.0,0.0,0.01282051282051282,0.0,0.0,0.0,0.05128205128205128,0.0,0.01282051282051282,0.0,0.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.01282051282051282,0.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.01282051282051282,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.19230769230769232,0.0,0.0,0.0,0.0,0.01282051282051282,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.0,0.0,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Andreas Aebi,Schweizerische Volkspartei (SVP),0.021052631578947368,0.0,0.0,0.0,0.031578947368421054,0.010526315789473684,0.06315789473684211,0.0,0.0,0.06315789473684211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010526315789473684,0.031578947368421054,0.0,0.010526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.010526315789473684,0.0,0.010526315789473684,0.0,0.0,0.0,0.021052631578947368,0.0,0.0,0.0,0.0,0.0,0.010526315789473684,0.0,0.031578947368421054,0.0,0.0,0.042105263157894736,0.0,0.0,0.0,0.0,0.0,0.08421052631578947,0.0,0.05263157894736842,0.0,0.0,0.031578947368421054,0.0,0.021052631578947368,0.021052631578947368,0.010526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.15789473684210525,0.042105263157894736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010526315789473684,0.0,0.0,0.010526315789473684,0.0,0.0,0.0,0.0,0.010526315789473684,0.0,0.0,0.010526315789473684,0.0,0.0,0.0,0.0,0.0,0.010526315789473684,0.0,0.031578947368421054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021052631578947368,0.0,0.0,0.010526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021052631578947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.010526315789473684,0.0
6,Bruno Zuppiger,Schweizerische Volkspartei (SVP),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Caspar Baader,Schweizerische Volkspartei (SVP),0.004651162790697674,0.0,0.0,0.004651162790697674,0.0,0.0,0.08837209302325581,0.0,0.0,0.05581395348837209,0.0,0.0,0.004651162790697674,0.0,0.009302325581395349,0.009302325581395349,0.0,0.004651162790697674,0.004651162790697674,0.009302325581395349,0.06511627906976744,0.0,0.004651162790697674,0.009302325581395349,0.004651162790697674,0.0,0.004651162790697674,0.0,0.004651162790697674,0.004651162790697674,0.0,0.004651162790697674,0.0,0.0,0.0,0.009302325581395349,0.0,0.0,0.004651162790697674,0.0,0.037209302325581395,0.0,0.0,0.004651162790697674,0.013953488372093023,0.0,0.0,0.0,0.027906976744186046,0.004651162790697674,0.0,0.06046511627906977,0.03255813953488372,0.0,0.009302325581395349,0.009302325581395349,0.0,0.018604651162790697,0.009302325581395349,0.004651162790697674,0.06976744186046512,0.009302325581395349,0.004651162790697674,0.018604651162790697,0.0,0.0,0.0,0.004651162790697674,0.027906976744186046,0.004651162790697674,0.0,0.0,0.0,0.0,0.004651162790697674,0.0,0.018604651162790697,0.0,0.0,0.0,0.0,0.004651162790697674,0.0,0.0,0.004651162790697674,0.0,0.004651162790697674,0.0,0.013953488372093023,0.0,0.004651162790697674,0.04186046511627907,0.0,0.0,0.004651162790697674,0.004651162790697674,0.004651162790697674,0.023255813953488372,0.004651162790697674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013953488372093023,0.0,0.0,0.06976744186046512,0.004651162790697674,0.0,0.004651162790697674,0.009302325581395349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004651162790697674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004651162790697674,0.004651162790697674,0.0,0.0,0.0,0.0,0.009302325581395349,0.0,0.0,0.013953488372093023,0.004651162790697674,0.018604651162790697,0.004651162790697674,0.0,0.0,0.0,0.0,0.004651162790697674,0.0,0.0,0.0,0.004651162790697674
8,Christian Miesch,Schweizerische Volkspartei (SVP),0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Christoph Blocher,Schweizerische Volkspartei (SVP),0.0,0.0,0.0,0.0,0.0,0.014705882352941176,0.051470588235294115,0.0,0.0,0.014705882352941176,0.0,0.007352941176470588,0.0,0.0,0.022058823529411766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007352941176470588,0.007352941176470588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007352941176470588,0.007352941176470588,0.0,0.007352941176470588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.029411764705882353,0.1323529411764706,0.0,0.0,0.029411764705882353,0.007352941176470588,0.0,0.014705882352941176,0.0,0.029411764705882353,0.007352941176470588,0.007352941176470588,0.0,0.058823529411764705,0.0,0.0,0.0,0.014705882352941176,0.0,0.007352941176470588,0.0,0.014705882352941176,0.007352941176470588,0.007352941176470588,0.0,0.0,0.0,0.014705882352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022058823529411766,0.022058823529411766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1323529411764706,0.0,0.0,0.007352941176470588,0.0,0.0,0.0,0.0,0.007352941176470588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08823529411764706,0.0,0.014705882352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007352941176470588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.007352941176470588,0.0661764705882353,0.0,0.007352941176470588
