,Speaker,Speaker Party,"('abgangsentschad', 'vergut')","('abgekurzt', 'verfahr')","('aeschi', 'thomas')","('aggressiv', 'werbung')","('angehor', 'arme')","('anlegerinn', 'anleg')","('antrag', 'kommissionsmehr')","('arbeitnehmerinn', 'arbeitnehm')","('aufgenomm', 'person')","('auftrag', 'erfull')","('automat', 'informationsaustausch')","('beruf', 'vorsorg')","('beschluss', 'standerat')","('beschuldigt', 'person')","('best', 'dank')","('bitt', 'deshalb')","('bitt', 'dringend')","('bittet', 'spfraktion')","('bundesamt', 'gesund')","('bundesrat', 'folg')","('bundesrat', 'meinung')","('bundesrat', 'schneiderammann')","('bundesrat', 'teilt')","('bundesrat', 'unterstutz')","('dam', 'herr')","('dank', 'unterstutz')","('darauf', 'aufmerksam')","('darauf', 'hingewies')","('darauf', 'hinweis')","('darf', 'sag')","('darum', 'bitt')","('davon', 'ausgeh')","('de', 'la')","('dementsprech', 'sich')","('dementsprech', 'uberzeugt')","('deshalb', 'antrag')","('deshalb', 'bitt')","('deshalb', 'bundesrat')","('deshalb', 'mocht')","('deshalb', 'spfraktion')","('deshalb', 'svpfraktion')","('dien', 'upf')","('direkt', 'demokrati')","('ehrlich', 'gesagt')","('ehrlich', 'sag')","('eidgenoss', 'steuerverwalt')","('einburgerungsgesuch', 'stell')","('einfach', 'sag')","('elektron', 'rechtsverkehr')","('elt', 'sorg')","('ernst', 'nehm')","('erwahnt', 'word')","('europa', 'staat')","('europa', 'union')","('existenzsichernd', 'lohn')","('extern', 'kinderbetreu')","('flankier', 'massnahm')","('frag', 'herr')","('frau', 'bundesprasidentin')","('frau', 'bundesratin')","('frau', 'fetz')","('frau', 'kollegin')","('frau', 'nationalratin')","('frau', 'standeratin')","('fursorger', 'zwangsmassnahm')","('ganz', 'konkret')","('ganz', 'wichtig')","('geh', 'davon')","('geht', 'frag')","('geltend', 'gemacht')","('gemeinsam', 'elt')","('gesagt', 'word')","('geschadigt', 'person')","('geschatzt', 'kolleg')","('gewerkschaft', 'verkehrspersonal')","('gibt', 'ja')","('gleichstell', 'geschlecht')","('grund', 'weshalb')","('herr', 'baad')","('herr', 'bundesrat')","('herr', 'nationalrat')","('herr', 'standerat')","('herr', 'visch')","('herrn', 'standerat')","('heut', 'morg')","('informationsberechtigt', 'person')","('initiantinn', 'initiant')","('ja', 'imm')","('jugend', 'sport')","('kanton', 'schwyz')","('kantonal', 'waffenregist')","('kerngehalt', 'grundrecht')","('kommission', 'mocht')","('kommission', 'rechtsfrag')","('kommissionssprecherin', 'gesagt')","('konsumentinn', 'konsument')","('kurzfrist', 'freiheitsstraf')","('lehnt', 'spfraktion')","('lehnt', 'svpfraktion')","('leutenegg', 'oberholz')","('losung', 'find')","('mark', 'schweiz')","('mechanisiert', 'brigad')","('mehr', 'angerechnet')","('mehr', 'geld')","('mehrheit', 'spfraktion')","('mehrheit', 'staatspolit')","('mehrheit', 'svpfraktion')","('mocht', 'bitt')","('mocht', 'deshalb')","('mocht', 'einfach')","('mocht', 'kurz')","('motion', 'abzulehn')","('nam', 'bundesrat')","('nam', 'spfraktion')","('nam', 'svpfraktion')","('offent', 'krankenkass')","('opf', 'angehor')","('patientinn', 'patient')","('pflegend', 'angehor')","('richt', 'behord')","('sag', 'gern')","('sag', 'ja')","('schon', 'gesagt')","('schon', 'lang')","('sech', 'monat')","('seit', 'fahn')","('servic', 'public')","('sicht', 'bundesrat')","('sicht', 'sp')","('sicht', 'spfraktion')","('sinn', 'bitt')","('sp', 'begrusst')","('sp', 'klar')","('sp', 'schon')","('sp', 'setzt')","('sp', 'steht')","('sp', 'unterstutzt')","('spfraktion', 'antrag')","('spfraktion', 'beantragt')","('spfraktion', 'begrusst')","('spfraktion', 'bitt')","('spfraktion', 'bittet')","('spfraktion', 'deshalb')","('spfraktion', 'eintret')","('spfraktion', 'empfiehlt')","('spfraktion', 'ersuch')","('spfraktion', 'klar')","('spfraktion', 'lehnt')","('spfraktion', 'mehrheit')","('spfraktion', 'meinung')","('spfraktion', 'mind')","('spfraktion', 'minderheitsantrag')","('spfraktion', 'stimmt')","('spfraktion', 'unterstutzt')","('spfraktion', 'vorlag')","('staatspolit', 'kommission')","('steuerzahlerinn', 'steuerzahl')","('stimm', 'enthalt')","('straf', 'massnahmenvollzug')","('svpfraktion', 'antrag')","('svpfraktion', 'beantragt')","('svpfraktion', 'bitt')","('svpfraktion', 'lehnt')","('svpfraktion', 'mehrheit')","('svpfraktion', 'meinung')","('svpfraktion', 'mind')","('svpfraktion', 'minderheitsantrag')","('svpfraktion', 'unterstutzt')","('svpfraktion', 'vorlag')","('traditionell', 'osthilf')","('uberhaupt', 'einburgerungsgesuch')","('unabhang', 'kontrollinstanz')","('uns', 'sicht')","('unternehmenssteuerreform', 'ii')","('unterstutzt', 'sp')","('unterstutzt', 'spfraktion')","('unterstutzt', 'svpfraktion')","('verdeckt', 'ermittl')","('vergut', 'voraus')","('verordn', 'bundesversamml')","('verurteilt', 'person')","('viel', 'mensch')","('volkerrecht', 'vertrag')","('vorberat', 'kommission')","('vorlauf', 'anwend')","('vorlauf', 'aufgenomm')","('vorlauf', 'aufnahm')","('weiterentwickl', 'arme')","('wohl', 'kind')","('zeit', 'vorlauf')","('zivil', 'behord')","('zivil', 'polizei')","('zwingend', 'lebenslang')","('zwolf', 'jahr')"
0,Adrian Amstutz,Schweizerische Volkspartei (SVP),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01020408163265306,0.0,0.02040816326530612,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01020408163265306,0.0,0.0,0.01020408163265306,0.02040816326530612,0.0,0.02040816326530612,0.01020408163265306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01020408163265306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.01020408163265306,0.0,0.0,0.0,0.0,0.0,0.0,0.01020408163265306,0.14285714285714285,0.0,0.11224489795918367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.11224489795918367,0.0,0.0,0.0,0.0,0.05102040816326531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01020408163265306,0.0,0.0,0.01020408163265306,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.08163265306122448,0.0,0.0,0.0,0.0,0.0,0.0,0.01020408163265306,0.01020408163265306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01020408163265306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05102040816326531,0.0,0.0,0.0,0.0,0.01020408163265306,0.0,0.0,0.01020408163265306,0.0,0.02040816326530612,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.01020408163265306,0.01020408163265306,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01020408163265306
1,Albert Rösti,Schweizerische Volkspartei (SVP),0.0,0.0,0.0,0.0,0.0,0.0,0.009523809523809525,0.0,0.0,0.0,0.0,0.0,0.0380952380952381,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.01904761904761905,0.0,0.01904761904761905,0.0,0.0,0.0,0.0,0.009523809523809525,0.01904761904761905,0.009523809523809525,0.0,0.0,0.009523809523809525,0.0,0.0,0.0,0.0,0.0380952380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009523809523809525,0.0,0.0,0.01904761904761905,0.0,0.01904761904761905,0.009523809523809525,0.08571428571428572,0.0,0.0380952380952381,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.009523809523809525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05714285714285714,0.0,0.009523809523809525,0.009523809523809525,0.0,0.01904761904761905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009523809523809525,0.0,0.0,0.0,0.0,0.0,0.009523809523809525,0.0,0.0,0.0,0.0,0.0,0.01904761904761905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01904761904761905,0.0,0.0,0.08571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009523809523809525,0.009523809523809525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,0.01904761904761905,0.0,0.0,0.0,0.009523809523809525,0.01904761904761905,0.02857142857142857,0.009523809523809525,0.0,0.0,0.0,0.009523809523809525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Alex Kuprecht,Schweizerische Volkspartei (SVP),0.0,0.0,0.0,0.0,0.06801007556675064,0.0,0.015113350125944584,0.010075566750629723,0.0,0.0025188916876574307,0.005037783375314861,0.022670025188916875,0.0025188916876574307,0.0,0.0025188916876574307,0.06801007556675064,0.0025188916876574307,0.0,0.005037783375314861,0.007556675062972292,0.0025188916876574307,0.0025188916876574307,0.0,0.0,0.0,0.005037783375314861,0.0025188916876574307,0.0327455919395466,0.007556675062972292,0.0,0.007556675062972292,0.017632241813602016,0.0,0.0,0.0,0.012594458438287154,0.027707808564231738,0.007556675062972292,0.0025188916876574307,0.0,0.0,0.0025188916876574307,0.0025188916876574307,0.0025188916876574307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025188916876574307,0.0,0.0,0.0,0.0,0.0025188916876574307,0.0025188916876574307,0.015113350125944584,0.027707808564231738,0.015113350125944584,0.0025188916876574307,0.0,0.0,0.0,0.0,0.017632241813602016,0.012594458438287154,0.0,0.0,0.0,0.0,0.0025188916876574307,0.0,0.0,0.0,0.0,0.0,0.030226700251889168,0.0,0.005037783375314861,0.0,0.0025188916876574307,0.020151133501259445,0.0,0.0,0.0025188916876574307,0.0,0.04030226700251889,0.0,0.0,0.005037783375314861,0.005037783375314861,0.0,0.0,0.0,0.0,0.0,0.0,0.005037783375314861,0.0,0.022670025188916875,0.0,0.0,0.0,0.0,0.0,0.05289672544080604,0.030226700251889168,0.0,0.005037783375314861,0.022670025188916875,0.0,0.0,0.0,0.007556675062972292,0.0,0.0025188916876574307,0.0,0.0,0.0,0.0,0.007556675062972292,0.010075566750629723,0.012594458438287154,0.0025188916876574307,0.0,0.005037783375314861,0.0,0.0,0.007556675062972292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07052896725440806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022670025188916875,0.005037783375314861,0.0,0.0,0.0,0.0,0.0,0.0,0.027707808564231738,0.0,0.0025188916876574307,0.0,0.015113350125944584,0.0,0.0,0.0,0.060453400503778336,0.0,0.0,0.037783375314861464,0.0,0.0,0.005037783375314861
3,Alfred Heer,Schweizerische Volkspartei (SVP),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.029411764705882353,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.11764705882352941,0.0,0.0,0.0,0.029411764705882353,0.0,0.17647058823529413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Andrea Martina Geissbühler,Schweizerische Volkspartei (SVP),0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.027777777777777776,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Andreas Aebi,Schweizerische Volkspartei (SVP),0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.028985507246376812,0.014492753623188406,0.014492753623188406,0.0,0.0,0.0,0.0,0.028985507246376812,0.0,0.0,0.0,0.0,0.028985507246376812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014492753623188406,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.057971014492753624,0.0,0.0,0.014492753623188406,0.0,0.0,0.11594202898550725,0.0,0.07246376811594203,0.0,0.0,0.0,0.0,0.0,0.028985507246376812,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21739130434782608,0.0,0.0,0.0,0.0,0.028985507246376812,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028985507246376812,0.0,0.0,0.0,0.0,0.0,0.014492753623188406,0.014492753623188406,0.0,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028985507246376812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Caspar Baader,Schweizerische Volkspartei (SVP),0.0,0.0,0.019801980198019802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0,0.0,0.0,0.009900990099009901,0.13861386138613863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0297029702970297,0.0,0.009900990099009901,0.0,0.0,0.019801980198019802,0.0,0.0,0.0,0.0,0.009900990099009901,0.019801980198019802,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0,0.0,0.07920792079207921,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.12871287128712872,0.06930693069306931,0.0,0.019801980198019802,0.0,0.0,0.0,0.019801980198019802,0.019801980198019802,0.009900990099009901,0.019801980198019802,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0,0.009900990099009901,0.0,0.0594059405940594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0,0.009900990099009901,0.0,0.0,0.009900990099009901,0.0297029702970297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0297029702970297,0.0,0.0,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0,0.009900990099009901,0.0,0.0,0.019801980198019802,0.0,0.0,0.0,0.0,0.0297029702970297,0.009900990099009901,0.0,0.0,0.0,0.009900990099009901,0.0,0.0,0.0,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Christian Miesch,Schweizerische Volkspartei (SVP),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Christoph Blocher,Schweizerische Volkspartei (SVP),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03409090909090909,0.0,0.011363636363636364,0.0,0.0,0.0,0.011363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011363636363636364,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.045454545454545456,0.20454545454545456,0.0,0.0,0.011363636363636364,0.0,0.0,0.0,0.022727272727272728,0.0,0.011363636363636364,0.011363636363636364,0.0,0.09090909090909091,0.0,0.0,0.0,0.03409090909090909,0.0,0.0,0.0,0.022727272727272728,0.011363636363636364,0.0,0.022727272727272728,0.011363636363636364,0.07954545454545454,0.0,0.0,0.011363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03409090909090909,0.0,0.0,0.0,0.0,0.03409090909090909,0.0,0.0,0.0,0.011363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10227272727272728,0.011363636363636364,0.03409090909090909,0.0,0.011363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Christoph Mörgeli,Schweizerische Volkspartei (SVP),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024691358024691357,0.0,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.0,0.0,0.024691358024691357,0.0,0.0,0.012345679012345678,0.0,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024691358024691357,0.0,0.0,0.08641975308641975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08641975308641975,0.0,0.0,0.012345679012345678,0.012345679012345678,0.04938271604938271,0.04938271604938271,0.0,0.13580246913580246,0.0,0.0,0.0,0.012345679012345678,0.024691358024691357,0.0,0.0,0.0,0.0,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.0,0.012345679012345678,0.012345679012345678,0.0,0.012345679012345678,0.0,0.0,0.0,0.0,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.04938271604938271,0.0,0.0,0.0,0.012345679012345678,0.0,0.012345679012345678,0.0,0.037037037037037035,0.0,0.0,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.0,0.012345679012345678,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
