,Speaker Party,Speaker,"('abgangsentschad', 'vergut')","('abgekurzt', 'verfahr')","('aeschi', 'thomas')","('aggressiv', 'werbung')","('alptransit', 'gotthard')","('angab', 'herrn')","('angehor', 'arme')","('anlegerinn', 'anleg')","('antrag', 'kommissionsmehr')","('arbeitnehmerinn', 'arbeitnehm')","('arm', 'trad')","('aufgenomm', 'person')","('auftrag', 'erfull')","('aussenpolit', 'bericht')","('automat', 'informationsaustausch')","('beantragt', 'kommission')","('beantragt', 'vorberat')","('beruf', 'vorsorg')","('beschluss', 'standerat')","('beschuldigt', 'person')","('best', 'dank')","('bestockt', 'weid')","('biog', 'treibstoff')","('bitt', 'deshalb')","('bitt', 'dringend')","('bittet', 'spfraktion')","('bund', 'kanton')","('bundesamt', 'gesund')","('bundesrat', 'beantragt')","('bundesrat', 'folg')","('bundesrat', 'meinung')","('bundesrat', 'schneiderammann')","('bundesrat', 'teilt')","('bundesrat', 'unterstutz')","('buro', 'beantragt')","('bypass', 'luz')","('cvpevpfraktion', 'beantragt')","('cvpevpfraktion', 'bitt')","('cvpevpfraktion', 'bittet')","('cvpevpfraktion', 'dah')","('cvpevpfraktion', 'kommissionsmehr')","('cvpevpfraktion', 'lehnt')","('cvpevpfraktion', 'mehrheit')","('cvpevpfraktion', 'meinung')","('cvpevpfraktion', 'minderheitsantrag')","('cvpevpfraktion', 'steht')","('cvpevpfraktion', 'stimmt')","('cvpevpfraktion', 'unterstutzt')","('cvpevpfraktion', 'vorlag')","('dam', 'herr')","('dank', 'bundesrat')","('dank', 'unterstutz')","('darauf', 'angewies')","('darauf', 'aufmerksam')","('darauf', 'hingewies')","('darauf', 'hinweis')","('darf', 'sag')","('darum', 'bitt')","('davon', 'ausgeh')","('de', 'la')","('dementsprech', 'sich')","('dementsprech', 'uberzeugt')","('deshalb', 'antrag')","('deshalb', 'bitt')","('deshalb', 'bundesrat')","('deshalb', 'glaub')","('deshalb', 'mocht')","('deshalb', 'spfraktion')","('deshalb', 'svpfraktion')","('dien', 'upf')","('direkt', 'demokrati')","('diskussion', 'kommission')","('eben', 'gesagt')","('ehepaar', 'eingetrag')","('ehrlich', 'gesagt')","('ehrlich', 'sag')","('eidgenoss', 'steuerverwalt')","('einburgerungsgesuch', 'stell')","('einfach', 'sag')","('elektron', 'patientendossi')","('elektron', 'rechtsverkehr')","('elektron', 'stimmabgab')","('elt', 'sorg')","('erinn', 'daran')","('erneuerbar', 'energi')","('ernst', 'nehm')","('ersatz', 'list')","('erwahnt', 'word')","('etwa', 'million')","('etwa', 'prozent')","('europa', 'staat')","('europa', 'union')","('existenzsichernd', 'lohn')","('extern', 'kinderbetreu')","('fakultativ', 'referendum')","('fdpdie', 'liberal')","('fdpliberal', 'fraktion')","('flankier', 'massnahm')","('ford', 'lenk')","('formell', 'festzustell')","('frag', 'herr')","('fraktion', 'ersuch')","('fraktion', 'lehnt')","('frank', 'mehr')","('frank', 'prozent')","('frau', 'bundesprasidentin')","('frau', 'bundesratin')","('frau', 'fetz')","('frau', 'kollegin')","('frau', 'nationalratin')","('frau', 'standeratin')","('freihandelsabkomm', 'china')","('fursorger', 'zwangsmassnahm')","('ganz', 'konkret')","('ganz', 'kurz')","('ganz', 'wichtig')","('geh', 'davon')","('geht', 'frag')","('geltend', 'gemacht')","('gemeinsam', 'elt')","('generell', 'projekt')","('genet', 'ressourc')","('gesagt', 'word')","('geschadigt', 'person')","('geschaftsbericht', 'bundesgericht')","('geschatzt', 'kolleg')","('gesund', 'sitzung')","('gewerkschaft', 'verkehrspersonal')","('gibt', 'ja')","('gleichstell', 'geschlecht')","('gotthard', 'ag')","('grund', 'weshalb')","('han', 'pet')","('herr', 'baad')","('herr', 'bieri')","('herr', 'bundesrat')","('herr', 'nationalrat')","('herr', 'standerat')","('herr', 'visch')","('herrn', 'standerat')","('heut', 'morg')","('hintergrund', 'ausfuhr')","('hoh', 'berufsbild')","('informationsberechtigt', 'person')","('initiantinn', 'initiant')","('insof', 'glaub')","('international', 'genf')","('irgendwi', 'moglich')","('ja', 'imm')","('jugend', 'sport')","('kanton', 'bund')","('kanton', 'graubund')","('kanton', 'luz')","('kanton', 'schwyz')","('kanton', 'thurgau')","('kantonal', 'waffenregist')","('kenntnis', 'genomm')","('kerngehalt', 'grundrecht')","('kernkraftwerk', 'muhleberg')","('kolleg', 'fohn')","('kommission', 'beantragt')","('kommission', 'folg')","('kommission', 'mocht')","('kommission', 'rechtsfrag')","('kommission', 'stimm')","('kommissionssprecherin', 'gesagt')","('konsumentinn', 'konsument')","('kurzfrist', 'freiheitsstraf')","('la', 'voie')","('landlich', 'raum')","('lehnt', 'cvpevpfraktion')","('lehnt', 'fdpliberal')","('lehnt', 'spfraktion')","('lehnt', 'svpfraktion')","('leutenegg', 'oberholz')","('losung', 'find')","('mach', 'beliebt')","('mark', 'schweiz')","('mechanisiert', 'brigad')","('mehr', 'angerechnet')","('mehr', 'geld')","('mehrheit', 'anzuschliess')","('mehrheit', 'cvpevpfraktion')","('mehrheit', 'fdpliberal')","('mehrheit', 'spfraktion')","('mehrheit', 'staatspolit')","('mehrheit', 'svpfraktion')","('mittelvariant', 'ii')","('mocht', 'bitt')","('mocht', 'darauf')","('mocht', 'deshalb')","('mocht', 'einfach')","('mocht', 'kurz')","('motion', 'abzulehn')","('nam', 'bundesrat')","('nam', 'cvpevpfraktion')","('nam', 'fdpliberal')","('nam', 'spfraktion')","('nam', 'svpfraktion')","('nationalrat', 'fassung')","('nationalrat', 'folg')","('nationalrat', 'kill')","('offent', 'krankenkass')","('opf', 'angehor')","('ortsbildprag', 'baut')","('ortsub', 'bewirtschaftungsbereich')","('patientinn', 'patient')","('pflegend', 'angehor')","('recht', 'gesagt')","('richt', 'behord')","('richtig', 'gesagt')","('rund', 'milliard')","('sag', 'gern')","('sag', 'ja')","('sbb', 'cargo')","('schliesslich', 'endlich')","('schluss', 'tag')","('schon', 'erwahnt')","('schon', 'gesagt')","('schon', 'lang')","('sech', 'monat')","('seit', 'fahn')","('servic', 'public')","('sicht', 'bundesrat')","('sicht', 'sp')","('sicht', 'spfraktion')","('sinn', 'bitt')","('sp', 'begrusst')","('sp', 'klar')","('sp', 'schon')","('sp', 'setzt')","('sp', 'steht')","('sp', 'unterstutzt')","('spfraktion', 'antrag')","('spfraktion', 'beantragt')","('spfraktion', 'begrusst')","('spfraktion', 'bitt')","('spfraktion', 'bittet')","('spfraktion', 'deshalb')","('spfraktion', 'eintret')","('spfraktion', 'empfiehlt')","('spfraktion', 'ersuch')","('spfraktion', 'klar')","('spfraktion', 'lehnt')","('spfraktion', 'mehrheit')","('spfraktion', 'meinung')","('spfraktion', 'mind')","('spfraktion', 'minderheitsantrag')","('spfraktion', 'stimmt')","('spfraktion', 'unterstutzt')","('spfraktion', 'vorlag')","('staatspolit', 'kommission')","('standerat', 'theil')","('steuerzahlerinn', 'steuerzahl')","('stimm', 'enthalt')","('straf', 'massnahmenvollzug')","('svpfraktion', 'antrag')","('svpfraktion', 'beantragt')","('svpfraktion', 'bitt')","('svpfraktion', 'lehnt')","('svpfraktion', 'mehrheit')","('svpfraktion', 'meinung')","('svpfraktion', 'mind')","('svpfraktion', 'minderheitsantrag')","('svpfraktion', 'unterstutzt')","('svpfraktion', 'vorlag')","('trad', 'treaty')","('traditionell', 'osthilf')","('traditionell', 'wiss')","('uberhaupt', 'einburgerungsgesuch')","('unabhang', 'kontrollinstanz')","('uns', 'kommission')","('uns', 'sicht')","('unternehmenssteuerreform', 'ii')","('unternehmenssteuerreform', 'iii')","('unterstutzt', 'cvpevpfraktion')","('unterstutzt', 'fdpliberal')","('unterstutzt', 'sp')","('unterstutzt', 'spfraktion')","('unterstutzt', 'svpfraktion')","('urek', 'rat')","('verdeckt', 'ermittl')","('vergut', 'voraus')","('verordn', 'arbeitsgesetz')","('verordn', 'bundesversamml')","('verurteilt', 'person')","('viel', 'mensch')","('voie', 'bilatéral')","('volkerrecht', 'vertrag')","('vorberat', 'entsprech')","('vorberat', 'kommission')","('vorlauf', 'anwend')","('vorlauf', 'aufgenomm')","('vorlauf', 'aufnahm')","('wahl', 'herrn')","('weiterentwickl', 'arme')","('werdend', 'leb')","('wirtschaft', 'landesversorg')","('wohl', 'kind')","('wurd', 'kommission')","('wurd', 'schon')","('zeit', 'vorlauf')","('zivil', 'behord')","('zivil', 'polizei')","('zuhand', 'materiali')","('zwingend', 'lebenslang')","('zwolf', 'jahr')"
0,Christlichdemokratische Volkspartei der Schweiz (CVP),Alois Gmür,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,0,0,2,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,Christlichdemokratische Volkspartei der Schweiz (CVP),Barbara Schmid-Federer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,14,0,0,0,0,2,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
2,Christlichdemokratische Volkspartei der Schweiz (CVP),Brigitte Häberli-Koller,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,1,0,0,6,0,0,14,0,6,7,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,3,2,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,7,1,8,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,3,2,1,4,1,27,0,1,0,0,0,0,2,0,10,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
3,Christlichdemokratische Volkspartei der Schweiz (CVP),Christian Lohr,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,3,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Christlichdemokratische Volkspartei der Schweiz (CVP),Christine Bulliard-Marbach,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,9,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,1,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
5,Christlichdemokratische Volkspartei der Schweiz (CVP),Christophe Darbellay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Christlichdemokratische Volkspartei der Schweiz (CVP),Corina Casanova,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,7,0,14,6,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,0,4,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,1,3,0,1,1,0,0,0,0,0,0,0,2,0,2,1,0,1,2,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,12,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,Christlichdemokratische Volkspartei der Schweiz (CVP),Daniel Fässler,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,10,0,0,0,0,6,0,3,0,1,0,0,0,0,0,2,0,0,0,3,4,1,2,1,0,0,15,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,2,0,4,0,0,0,0,0,1,0,1,4,2,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,1,0,4,0,0,0,1,0,1,0,0,15,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,Christlichdemokratische Volkspartei der Schweiz (CVP),Doris Leuthard,0,0,0,0,3,0,0,0,8,0,0,0,0,0,4,0,0,1,13,0,1,0,22,65,1,0,49,2,19,17,16,0,12,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,5,32,29,0,0,13,4,0,0,16,87,33,76,6,0,0,0,5,8,3,0,3,1,3,0,14,0,0,0,0,8,147,16,0,2,19,18,11,9,0,0,2,2,9,5,1,0,5,0,0,13,2,0,3,5,0,75,25,0,0,1,1,8,27,25,1,0,12,49,24,0,0,0,0,0,18,0,3,8,0,0,2,0,240,209,0,56,24,0,0,0,4,31,5,1,30,0,16,8,6,1,13,0,12,0,14,0,6,36,1,1,1,0,12,0,0,11,0,0,0,0,3,29,2,0,0,0,14,1,0,0,0,0,0,0,3,11,8,7,2,40,3,0,0,0,0,2,2,10,0,0,2,4,0,0,62,1,71,15,1,24,32,0,0,6,38,40,2,0,76,24,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,35,0,2,0,0,0,0,0,2,0,0,0,1,0,10,0,4,0,20,2,0,0,0,0,0,0,0,12,9,0,0,0,9,0,3
9,Christlichdemokratische Volkspartei der Schweiz (CVP),Elisabeth Schneider-Schneiter,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,2,0,2,0,0,3,0,0,3,0,6,2,1,1,0,1,0,0,0,1,3,0,0,0,0,0,3,0,2,5,2,0,4,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,4,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,10,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,0,0,0,3,1,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1
