,Speaker Party,Phrase,Counts,Freq,N,tf_idf
0,Sozialdemokratische Partei der Schweiz (SP),"('nam', 'spfraktion')",206.0,2,12,369.10245066097934
1,FDP.Die Liberalen (FDP-Liberale),"('fdpliberal', 'fraktion')",718.0,8,12,291.123947621662
2,Sozialdemokratische Partei der Schweiz (SP),"('spfraktion', 'unterstutzt')",110.0,1,12,273.33973147668
5,Schweizerische Volkspartei (SVP),"('nam', 'svpfraktion')",165.0,3,12,228.73856958478194
7,Christlichdemokratische Volkspartei der Schweiz (CVP),"('herr', 'nationalrat')",249.0,6,12,172.59364795942636
10,FDP.Die Liberalen (FDP-Liberale),"('nam', 'fdpliberal')",109.0,3,12,151.1060853620681
11,Christlichdemokratische Volkspartei der Schweiz (CVP),"('herr', 'standerat')",215.0,6,12,149.02664382038824
12,Sozialdemokratische Partei der Schweiz (SP),"('herr', 'standerat')",176.0,6,12,121.99390377855038
13,Christlichdemokratische Volkspartei der Schweiz (CVP),"('cvpevpfraktion', 'unterstutzt')",110.0,4,12,120.84735175349208
14,Christlichdemokratische Volkspartei der Schweiz (CVP),"('nam', 'cvpevpfraktion')",87.0,3,12,120.60760941743048
15,FDP.Die Liberalen (FDP-Liberale),"('herr', 'nationalrat')",173.0,6,12,119.91446223687053
18,Sozialdemokratische Partei der Schweiz (SP),"('spfraktion', 'antrag')",43.0,1,12,106.85098594088402
19,Sozialdemokratische Partei der Schweiz (SP),"('spfraktion', 'bitt')",43.0,1,12,106.85098594088402
21,Sozialdemokratische Partei der Schweiz (SP),"('sicht', 'bundesrat')",177.0,7,12,95.40238062968558
22,Sozialdemokratische Partei der Schweiz (SP),"('herr', 'nationalrat')",137.0,6,12,94.9611637367125
24,Sozialdemokratische Partei der Schweiz (SP),"('spfraktion', 'lehnt')",36.0,1,12,89.45663939236802
25,FDP.Die Liberalen (FDP-Liberale),"('mehrheit', 'fdpliberal')",34.0,1,12,84.48682609279201
26,Sozialdemokratische Partei der Schweiz (SP),"('mehrheit', 'spfraktion')",34.0,1,12,84.48682609279201
28,Schweizerische Volkspartei (SVP),"('svpfraktion', 'unterstutzt')",57.0,3,12,79.01877858383376
35,Sozialdemokratische Partei der Schweiz (SP),"('kommission', 'rechtsfrag')",247.0,9,12,71.05747189558987
36,FDP.Die Liberalen (FDP-Liberale),"('darauf', 'hingewies')",246.0,9,12,70.76978982313808
38,Sozialdemokratische Partei der Schweiz (SP),"('vorlauf', 'anwend')",101.0,6,12,70.00786523655448
40,FDP.Die Liberalen (FDP-Liberale),"('herr', 'standerat')",100.0,6,12,69.31471805599453
41,Sozialdemokratische Partei der Schweiz (SP),"('best', 'dank')",128.0,7,12,68.99155209378392
42,FDP.Die Liberalen (FDP-Liberale),"('darauf', 'hinweis')",168.0,8,12,68.11813816217162
45,Schweizerische Volkspartei (SVP),"('svpfraktion', 'lehnt')",27.0,1,12,67.092479544276
46,Sozialdemokratische Partei der Schweiz (SP),"('unterstutzt', 'spfraktion')",27.0,1,12,67.092479544276
47,Sozialdemokratische Partei der Schweiz (SP),"('herr', 'bundesrat')",230.0,9,12,66.16687666390959
48,Sozialdemokratische Partei der Schweiz (SP),"('sinn', 'bitt')",121.0,7,12,65.21857658865511
49,Sozialdemokratische Partei der Schweiz (SP),"('einburgerungsgesuch', 'stell')",74.0,5,12,64.78468656418859
53,Schweizerische Volkspartei (SVP),"('herr', 'bundesrat')",223.0,9,12,64.15310215674712
54,Christlichdemokratische Volkspartei der Schweiz (CVP),"('insof', 'glaub')",35.0,2,12,62.71158142298192
57,Sozialdemokratische Partei der Schweiz (SP),"('vorlauf', 'aufgenomm')",114.0,7,12,61.445601083526306
59,Schweizerische Volkspartei (SVP),"('svpfraktion', 'bitt')",34.0,2,12,60.91982195375387
60,Schweizerische Volkspartei (SVP),"('svpfraktion', 'mind')",34.0,2,12,60.91982195375387
61,Sozialdemokratische Partei der Schweiz (SP),"('spfraktion', 'minderheitsantrag')",34.0,2,12,60.91982195375387
62,Christlichdemokratische Volkspartei der Schweiz (CVP),"('sinn', 'bitt')",112.0,7,12,60.36760808206093
64,Sozialdemokratische Partei der Schweiz (SP),"('spfraktion', 'vorlag')",24.0,1,12,59.63775959491201
66,FDP.Die Liberalen (FDP-Liberale),"('fdpdie', 'liberal')",86.0,6,12,59.61065752815529
67,Schweizerische Volkspartei (SVP),"('bitt', 'dringend')",86.0,6,12,59.61065752815529
68,Christlichdemokratische Volkspartei der Schweiz (CVP),"('deshalb', 'glaub')",83.0,6,12,57.53121598647546
71,FDP.Die Liberalen (FDP-Liberale),"('schon', 'gesagt')",140.0,8,12,56.76511513514301
72,Sozialdemokratische Partei der Schweiz (SP),"('darauf', 'hingewies')",196.0,9,12,56.385686200549046
74,Sozialdemokratische Partei der Schweiz (SP),"('sicht', 'sp')",31.0,2,12,55.544543546069704
75,Christlichdemokratische Volkspartei der Schweiz (CVP),"('cvpevpfraktion', 'bittet')",22.0,1,12,54.66794629533601
78,Sozialdemokratische Partei der Schweiz (SP),"('kurzfrist', 'freiheitsstraf')",22.0,1,12,54.66794629533601
79,Christlichdemokratische Volkspartei der Schweiz (CVP),"('vorberat', 'kommission')",134.0,8,12,54.33232448649403
81,Sozialdemokratische Partei der Schweiz (SP),"('sp', 'unterstutzt')",21.0,1,12,52.18303964554801
82,Schweizerische Volkspartei (SVP),"('darum', 'bitt')",75.0,6,12,51.986038541995896
84,Sozialdemokratische Partei der Schweiz (SP),"('de', 'la')",93.0,7,12,50.12667456813988
85,Sozialdemokratische Partei der Schweiz (SP),"('kommissionssprecherin', 'gesagt')",36.0,3,12,49.90659700031606
86,Christlichdemokratische Volkspartei der Schweiz (CVP),"('herrn', 'standerat')",57.0,5,12,49.901718029172294
89,Christlichdemokratische Volkspartei der Schweiz (CVP),"('schluss', 'tag')",20.0,1,12,49.698132995760005
90,Sozialdemokratische Partei der Schweiz (SP),"('spfraktion', 'mehrheit')",20.0,1,12,49.698132995760005
91,Christlichdemokratische Volkspartei der Schweiz (CVP),"('cvpevpfraktion', 'vorlag')",35.0,3,12,48.52030263919617
92,Sozialdemokratische Partei der Schweiz (SP),"('konsumentinn', 'konsument')",166.0,9,12,47.75522402699562
93,Christlichdemokratische Volkspartei der Schweiz (CVP),"('frau', 'nationalratin')",88.0,7,12,47.43169206447645
95,Christlichdemokratische Volkspartei der Schweiz (CVP),"('cvpevpfraktion', 'minderheitsantrag')",19.0,1,12,47.213226345972004
96,Christlichdemokratische Volkspartei der Schweiz (CVP),"('cvpevpfraktion', 'lehnt')",19.0,1,12,47.213226345972004
99,Schweizerische Volkspartei (SVP),"('svpfraktion', 'meinung')",19.0,1,12,47.213226345972004
100,Schweizerische Volkspartei (SVP),"('frau', 'bundesratin')",542.0,11,12,47.1601663283793
101,Schweizerische Volkspartei (SVP),"('uns', 'sicht')",116.0,8,12,47.03395254054707
102,Christlichdemokratische Volkspartei der Schweiz (CVP),"('darauf', 'hingewies')",163.0,9,12,46.89217780964028
103,Christlichdemokratische Volkspartei der Schweiz (CVP),"('mehrheit', 'cvpevpfraktion')",26.0,2,12,46.58574619992943
104,Christlichdemokratische Volkspartei der Schweiz (CVP),"('schliesslich', 'endlich')",26.0,2,12,46.58574619992943
105,Sozialdemokratische Partei der Schweiz (SP),"('elt', 'sorg')",250.0,10,12,45.580389198488646
106,Sozialdemokratische Partei der Schweiz (SP),"('grund', 'weshalb')",158.0,9,12,45.453767447381374
108,Sozialdemokratische Partei der Schweiz (SP),"('spfraktion', 'empfiehlt')",18.0,1,12,44.72831969618401
109,Sozialdemokratische Partei der Schweiz (SP),"('spfraktion', 'begrusst')",18.0,1,12,44.72831969618401
