,Speaker Party,Phrase,tf_idf
4500,Schweizerische Volkspartei (SVP),"('nam', 'svpfraktion')",228.73856958478194
4501,Schweizerische Volkspartei (SVP),"('svpfraktion', 'unterstutzt')",79.01877858383376
4502,Schweizerische Volkspartei (SVP),"('svpfraktion', 'lehnt')",67.092479544276
4503,Schweizerische Volkspartei (SVP),"('herr', 'bundesrat')",64.15310215674712
4504,Schweizerische Volkspartei (SVP),"('svpfraktion', 'bitt')",60.91982195375387
4505,Schweizerische Volkspartei (SVP),"('svpfraktion', 'mind')",60.91982195375387
4506,Schweizerische Volkspartei (SVP),"('bitt', 'dringend')",59.61065752815529
4507,Schweizerische Volkspartei (SVP),"('darum', 'bitt')",51.986038541995896
4508,Schweizerische Volkspartei (SVP),"('svpfraktion', 'meinung')",47.213226345972004
4509,Schweizerische Volkspartei (SVP),"('frau', 'bundesratin')",47.1601663283793
4510,Schweizerische Volkspartei (SVP),"('uns', 'sicht')",47.03395254054707
4511,Schweizerische Volkspartei (SVP),"('svpfraktion', 'antrag')",44.3614195558365
4512,Schweizerische Volkspartei (SVP),"('weiterentwickl', 'arme')",43.38476656757359
4513,Schweizerische Volkspartei (SVP),"('darauf', 'hingewies')",40.27549014324932
4514,Schweizerische Volkspartei (SVP),"('kanton', 'schwyz')",38.92465037838378
4515,Schweizerische Volkspartei (SVP),"('svpfraktion', 'mehrheit')",37.42994775023705
4516,Schweizerische Volkspartei (SVP),"('schon', 'gesagt')",36.08639462162663
4517,Schweizerische Volkspartei (SVP),"('deshalb', 'svpfraktion')",34.788693097032
4518,Schweizerische Volkspartei (SVP),"('svpfraktion', 'vorlag')",34.657359027997266
4519,Schweizerische Volkspartei (SVP),"('mehr', 'geld')",33.41778304542659
4520,Schweizerische Volkspartei (SVP),"('frau', 'fetz')",33.41778304542659
4521,Schweizerische Volkspartei (SVP),"('direkt', 'demokrati')",32.842673756761315
4522,Schweizerische Volkspartei (SVP),"('unterstutzt', 'svpfraktion')",32.30378644724401
4523,Schweizerische Volkspartei (SVP),"('svpfraktion', 'beantragt')",32.30378644724401
4524,Schweizerische Volkspartei (SVP),"('zivil', 'polizei')",32.30378644724401
4525,Schweizerische Volkspartei (SVP),"('mehrheit', 'svpfraktion')",32.25167044610499
4526,Schweizerische Volkspartei (SVP),"('jugend', 'sport')",30.722800541763153
4527,Schweizerische Volkspartei (SVP),"('svpfraktion', 'minderheitsantrag')",30.459910976876934
4528,Schweizerische Volkspartei (SVP),"('unabhang', 'kontrollinstanz')",29.765937070032596
4529,Schweizerische Volkspartei (SVP),"('eidgenoss', 'steuerverwalt')",29.193487783787837
4530,Schweizerische Volkspartei (SVP),"('deshalb', 'bitt')",28.98912753023878
4531,Schweizerische Volkspartei (SVP),"('zwolf', 'jahr')",28.566814538832407
4532,Schweizerische Volkspartei (SVP),"('frau', 'bundesprasidentin')",28.192843100274523
4533,Schweizerische Volkspartei (SVP),"('verordn', 'bundesversamml')",28.014999595324795
4534,Schweizerische Volkspartei (SVP),"('sinn', 'bitt')",27.48882153736703
4535,Schweizerische Volkspartei (SVP),"('dank', 'unterstutz')",27.166162243247015
4536,Schweizerische Volkspartei (SVP),"('geschatzt', 'kolleg')",26.949825036634344
4537,Schweizerische Volkspartei (SVP),"('gesagt', 'word')",26.760697135138848
4538,Schweizerische Volkspartei (SVP),"('angehor', 'arme')",26.760697135138848
4539,Schweizerische Volkspartei (SVP),"('frau', 'kollegin')",26.61894729191737
4540,Schweizerische Volkspartei (SVP),"('sag', 'ja')",26.355232027030684
4541,Schweizerische Volkspartei (SVP),"('mocht', 'bitt')",26.179068593112056
4542,Schweizerische Volkspartei (SVP),"('mocht', 'deshalb')",25.94976691892252
