,Speaker Party,Speaker,"('ablehn', 'motion')","('absatz', 'buchstab')","('absatz', 'litera')","('angehor', 'arme')","('anlegerinn', 'anleg')","('annahm', 'motion')","('antrag', 'bundesrat')","('antrag', 'kommission')","('antrag', 'kommissionsmehr')","('antrag', 'mehrheit')","('antrag', 'mind')","('antrag', 'wurd')","('antwort', 'bundesrat')","('arbeitnehmerinn', 'arbeitnehm')","('arme', 'xxi')","('artikel', 'absatz')","('artikel', 'buchstab')","('ausdruck', 'gebracht')","('auslanderinn', 'ausland')","('ausserhalb', 'bauzon')","('automat', 'informationsaustausch')","('beantragt', 'einstimm')","('beantragt', 'kommission')","('beantragt', 'stimm')","('beid', 'rat')","('beim', 'eintret')","('bericht', 'kommission')","('beruf', 'vorsorg')","('beschluss', 'nationalrat')","('best', 'dank')","('bitt', 'antrag')","('bitt', 'dah')","('bitt', 'deshalb')","('bitt', 'dringend')","('bitt', 'mehrheit')","('bitt', 'minderheitsantrag')","('buchstab', 'a')","('buchstab', 'b')","('bund', 'kanton')","('bundesamt', 'justiz')","('bundesrat', 'antrag')","('bundesrat', 'beantragt')","('bundesrat', 'empfiehlt')","('bundesrat', 'folg')","('bundesrat', 'ja')","('bundesrat', 'kommission')","('bundesrat', 'leuenberg')","('bundesrat', 'meinung')","('bundesrat', 'merz')","('bundesrat', 'motion')","('bundesrat', 'standerat')","('bundesrat', 'villig')","('bundesrat', 'vorgeschlag')","('cvpfraktion', 'begrusst')","('cvpfraktion', 'eintret')","('cvpfraktion', 'unterstutzt')","('dank', 'bundesrat')","('daran', 'erinn')","('darauf', 'aufmerksam')","('darauf', 'hinweis')","('darf', 'sag')","('darum', 'bitt')","('de', 'la')","('deshalb', 'bundesrat')","('deshalb', 'glaub')","('differenz', 'nationalrat')","('direkt', 'bundessteu')","('direkt', 'demokrati')","('diskussion', 'einverstand')","('eidgenoss', 'finanzkontroll')","('eidgenoss', 'steuerverwalt')","('einfach', 'sag')","('elt', 'sorg')","('empfiehlt', 'stimm')","('enthalt', 'abgelehnt')","('entsprech', 'antrag')","('entwurf', 'bundesrat')","('erneuerbar', 'energi')","('erwahnt', 'word')","('etwa', 'million')","('etwa', 'prozent')","('europa', 'gerichtshof')","('europa', 'union')","('fakultativ', 'referendum')","('fassung', 'bundesrat')","('fassung', 'mehrheit')","('fassung', 'nationalrat')","('fdpdie', 'liberal')","('fdpfraktion', 'bitt')","('fdpfraktion', 'empfiehlt')","('fdpfraktion', 'lehnt')","('fdpfraktion', 'mehrheit')","('fdpfraktion', 'unterstutzt')","('fdpliberal', 'fraktion')","('folg', 'geb')","('frag', 'herr')","('frag', 'herrn')","('frau', 'bundesprasidentin')","('frau', 'bundesratin')","('frau', 'fetz')","('frau', 'kollegin')","('frau', 'leutenegg')","('frau', 'nationalratin')","('frau', 'sommaruga')","('ganz', 'klar')","('ganz', 'kurz')","('ganz', 'wichtig')","('geh', 'davon')","('geht', 'darum')","('geht', 'frag')","('geltend', 'recht')","('gemass', 'artikel')","('gesagt', 'word')","('glaub', 'wichtig')","('gross', 'mehrheit')","('grund', 'weshalb')","('herr', 'bundesrat')","('herr', 'kolleg')","('herr', 'leuenberg')","('herr', 'nationalrat')","('herr', 'standerat')","('herrn', 'bundesrat')","('herrn', 'kolleg')","('herrn', 'standerat')","('heut', 'geltend')","('heut', 'morg')","('indirekt', 'gegenvorschlag')","('initiativ', 'folg')","('insof', 'glaub')","('international', 'organisation')","('ja', 'schon')","('jurist', 'person')","('kalt', 'progression')","('kanton', 'bern')","('kanton', 'schwyz')","('kanton', 'thurgau')","('kanton', 'zurich')","('klar', 'meinung')","('kommission', 'antrag')","('kommission', 'beantragt')","('kommission', 'bundesrat')","('kommission', 'empfiehlt')","('kommission', 'folg')","('kommission', 'rechtsfrag')","('kommission', 'stimm')","('kommission', 'wurd')","('kommission', 'zuzustimm')","('kommissionssprech', 'gesagt')","('konsumentinn', 'konsument')","('landlich', 'raum')","('le', 'conseil')","('lehnt', 'spfraktion')","('leutenegg', 'oberholz')","('liegt', 'schriftlich')","('mehr', 'geld')","('mehrheit', 'cvpfraktion')","('mehrheit', 'fdpfraktion')","('mehrheit', 'folg')","('mehrheit', 'kommission')","('mehrheit', 'spfraktion')","('mehrheit', 'svpfraktion')","('mehrheit', 'unterstutz')","('mehrheit', 'wak')","('mehrheit', 'zuzustimm')","('meinung', 'kommission')","('mieterinn', 'miet')","('milliard', 'frank')","('mind', 'folg')","('minderheitsantrag', 'abzulehn')","('mocht', 'beton')","('mocht', 'bitt')","('mocht', 'daran')","('mocht', 'einfach')","('mocht', 'nochmal')","('motion', 'abzulehn')","('motion', 'anzunehm')","('motion', 'nationalrat')","('nach', 'jahr')","('nam', 'bundesrat')","('nam', 'cvpfraktion')","('nam', 'fdpfraktion')","('nam', 'fdpliberal')","('nam', 'kommission')","('nam', 'mehrheit')","('nam', 'spfraktion')","('nam', 'svpfraktion')","('nationalrat', 'beschloss')","('nationalrat', 'fassung')","('nationalrat', 'folg')","('nationalrat', 'kommission')","('offent', 'verkehr')","('organisation', 'arbeitswelt')","('parlamentar', 'initiativ')","('patientinn', 'patient')","('postulat', 'uberweis')","('pro', 'helvetia')","('recht', 'gesagt')","('rentnerinn', 'rentn')","('richtig', 'gesagt')","('rund', 'milliard')","('sag', 'sei')","('sbb', 'cargo')","('schluss', 'gekomm')","('schon', 'gesagt')","('schriftlich', 'antwort')","('schriftlich', 'bericht')","('schweiz', 'tourismus')","('schweizer', 'nationalbank')","('seit', 'jahr')","('servic', 'public')","('sicherheitspolit', 'bericht')","('sicherheitspolit', 'kommission')","('sicht', 'bundesrat')","('sicht', 'spfraktion')","('sinn', 'bitt')","('sozialdemokrat', 'fraktion')","('spfraktion', 'antrag')","('spfraktion', 'beantrag')","('spfraktion', 'begrusst')","('spfraktion', 'bitt')","('spfraktion', 'bittet')","('spfraktion', 'eintret')","('spfraktion', 'empfiehlt')","('spfraktion', 'ersuch')","('spfraktion', 'lehnt')","('spfraktion', 'mehrheit')","('spfraktion', 'mind')","('spfraktion', 'minderheitsantrag')","('spfraktion', 'steht')","('spfraktion', 'unterstutzt')","('spfraktion', 'vorlag')","('st', 'gall')","('staatspolit', 'kommission')","('standort', 'schweiz')","('stellung', 'nehm')","('stellungnahm', 'bundesrat')","('stimm', 'abgelehnt')","('stimm', 'enthalt')","('svpfraktion', 'antrag')","('svpfraktion', 'beantrag')","('svpfraktion', 'bitt')","('svpfraktion', 'bittet')","('svpfraktion', 'empfiehlt')","('svpfraktion', 'lehnt')","('svpfraktion', 'mehrheit')","('svpfraktion', 'mind')","('svpfraktion', 'unterstutzt')","('svpfraktion', 'vorlag')","('uns', 'kommission')","('uns', 'sicht')","('unterstutzt', 'spfraktion')","('verdeckt', 'ermittl')","('vier', 'jahr')","('volkerrecht', 'vertrag')","('vollig', 'klar')","('vorberat', 'kommission')","('vorlag', 'einzutret')","('vorlauf', 'aufgenomm')","('vorlauf', 'aufnahm')","('vorlieg', 'motion')","('worum', 'geht')","('wurd', 'kommission')","('zwanzig', 'jahr')","('zwei', 'drei')","('zwei', 'drittel')","('zweit', 'saul')"
0,Christlichdemokratische Volkspartei der Schweiz (CVP),Alois Gmür,0,1,0,3,0,3,9,0,1,3,33,1,0,0,0,1,0,0,0,0,1,0,4,1,0,0,0,0,1,0,7,0,14,0,4,3,0,1,1,0,0,6,0,9,1,2,0,2,0,0,3,0,1,1,2,29,1,0,0,0,0,0,0,1,0,0,10,0,0,4,4,0,0,0,2,2,9,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,3,1,0,0,2,0,6,3,1,0,0,0,0,0,0,0,6,2,0,2,28,0,0,3,0,0,0,0,42,0,1,1,0,0,0,0,2,0,0,12,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,11,0,0,0,0,0,0,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,12,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,4,3,0,0,0,3,0,0,1,0
1,Christlichdemokratische Volkspartei der Schweiz (CVP),Andrea Gmür-Schönenberger,0,12,3,0,0,1,2,0,2,3,14,7,0,0,0,51,0,0,0,0,0,0,0,8,2,2,0,0,1,0,2,0,0,0,18,1,1,1,3,2,1,0,0,1,1,1,0,0,0,0,5,0,5,1,6,26,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,1,3,0,0,0,2,0,0,0,9,0,2,0,0,0,0,0,0,0,23,0,0,0,4,0,0,0,0,0,7,1,0,1,10,0,5,6,0,0,2,1,1,6,0,0,0,1,0,0,0,1,7,23,1,0,0,0,0,0,0,0,0,2,6,9,0,1,10,13,6,1,0,0,4,0,0,0,2,0,3,0,0,9,41,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,1,2,0,0,0,6,0,0,1,0,0,0,0,0,0,0,2,1,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,23,0,0,0,0,0,0,0,0,0,0,14,0,0,0,5,0,0,0,5,0,0,0,1,5,0,0,0,0
2,Christlichdemokratische Volkspartei der Schweiz (CVP),Anne Seydoux-Christe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Christlichdemokratische Volkspartei der Schweiz (CVP),Barbara Schmid-Federer,0,7,0,0,0,1,0,0,1,2,16,0,0,0,0,14,0,0,0,0,0,0,0,3,2,1,0,4,1,0,1,2,0,0,3,0,2,1,1,0,0,2,0,2,0,0,0,0,0,0,3,0,1,2,0,1,1,2,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,3,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,2,3,0,0,1,0,4,3,0,0,0,0,0,0,0,1,1,4,0,0,1,0,0,2,0,1,3,1,0,3,0,1,1,0,2,1,2,0,0,0,1,0,0,0,0,4,0,9,21,0,0,2,0,0,0,0,8,1,0,0,0,2,1,0,0,2,0,0,0,17,0,0,0,8,0,0,0,0,0,0,1,0,8,2,0,0,0,5,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,10,0,0,4,0,1,1,1,1,10
4,Christlichdemokratische Volkspartei der Schweiz (CVP),Beat Rieder,5,1,0,0,0,16,1,1,2,2,6,0,11,0,0,23,0,1,0,7,4,2,0,1,0,0,1,0,1,3,1,10,0,3,4,1,0,1,14,3,0,4,0,0,0,2,0,1,0,2,0,0,3,0,0,0,0,0,1,3,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,7,2,1,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,12,0,0,1,7,0,4,0,0,0,2,1,0,13,5,0,7,13,0,0,1,0,3,44,0,0,1,0,16,0,1,11,2,4,0,0,1,0,0,5,0,1,3,0,0,5,2,1,1,9,1,1,1,0,0,1,0,0,0,0,1,0,0,10,15,0,0,0,0,1,0,0,15,9,1,0,0,0,0,0,2,5,1,3,0,0,0,0,0,0,0,0,0,0,2,0,7,0,33,0,0,0,2,0,1,0,0,0,2,0,0,0,2,0,3,9,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,9,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,10,1,0,6,1,0,0,5,0,2,3,19,0,0
5,Christlichdemokratische Volkspartei der Schweiz (CVP),Beat Vonlanthen,3,0,0,0,0,12,3,2,0,2,7,0,9,2,0,22,0,18,0,0,1,0,0,1,0,0,0,0,2,0,2,16,0,0,2,1,0,0,17,5,2,0,3,3,1,2,0,0,0,1,0,0,5,0,0,0,15,1,1,5,0,0,1,0,0,6,0,10,0,0,2,1,0,0,1,1,5,11,0,3,3,0,1,0,0,1,3,0,0,0,0,0,0,0,9,0,0,3,17,0,1,0,0,0,4,26,2,9,25,1,0,4,0,1,0,0,29,3,0,0,1,4,1,1,0,7,2,5,0,0,3,0,0,2,0,0,0,0,1,3,1,0,4,28,0,0,0,2,4,0,0,0,0,0,0,0,0,4,5,0,0,1,1,0,0,0,13,1,0,3,1,1,0,0,4,10,1,7,0,0,0,0,3,1,0,0,0,3,0,0,0,0,41,2,0,0,0,0,0,2,0,0,0,1,0,0,0,2,14,16,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,5,0,0,7,5,0,3,2,2,0
6,Christlichdemokratische Volkspartei der Schweiz (CVP),Benedikt Würth,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,Christlichdemokratische Volkspartei der Schweiz (CVP),Benjamin Roduit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,Christlichdemokratische Volkspartei der Schweiz (CVP),Brigitte Häberli-Koller,11,8,0,0,0,8,1,4,0,1,3,0,1,0,0,24,2,0,0,3,1,5,7,11,2,4,0,1,4,1,3,0,4,0,5,2,1,0,11,1,0,16,0,7,1,0,0,0,0,8,0,0,7,0,0,0,2,0,0,5,0,0,0,0,1,2,4,0,0,8,10,0,0,2,1,2,5,3,0,3,4,1,0,0,7,0,2,0,0,0,0,0,0,1,15,0,1,1,5,0,0,0,0,0,1,1,0,2,4,1,8,6,0,3,0,0,3,0,0,0,0,3,1,1,2,3,0,8,0,0,0,0,0,3,2,35,1,1,1,14,2,0,4,4,2,1,1,1,5,0,0,0,0,0,1,0,0,1,20,0,0,3,0,1,1,0,34,4,0,2,2,0,2,0,13,10,3,6,0,0,0,0,8,2,0,0,2,1,7,3,8,5,9,0,0,0,0,0,0,12,0,0,1,1,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,2,2,0,33,0,0,0,0,0,0,0,0,0,0,12,0,0,0,9,0,0,2,8,4,0,6,0,1,2,5,0,0
9,Christlichdemokratische Volkspartei der Schweiz (CVP),Christian Lohr,0,16,0,0,0,0,0,2,2,3,16,2,1,0,0,49,1,1,0,0,0,0,1,2,6,0,0,3,0,0,0,0,1,0,0,1,11,9,2,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,1,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,13,0,4,2,8,1,2,2,0,0,0,1,1,1,0,0,0,1,0,0,1,5,0,0,0,0,0,1,0,0,0,3,0,0,1,2,1,2,0,0,8,1,0,0,0,0,0,0,0,0,1,0,0,6,7,0,0,1,0,0,2,0,4,0,2,1,1,0,2,1,0,2,0,7,0,1,0,0,5,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,0,0,0,1,2,0,3,0,1
