,Phrase,Counts,Freq,N,tf_idf
2,"('milliard', 'frank')",3204,12,15,714.9519384107281
1,"('artikel', 'absatz')",4563,13,15,652.969149532392
56,"('herr', 'standerat')",557,5,15,611.9270447881371
53,"('herr', 'nationalrat')",575,6,15,526.8671708276391
0,"('million', 'frank')",7024,14,15,484.6059293243468
11,"('herr', 'bundesrat')",1163,10,15,471.55592072979516
7,"('letzt', 'jahr')",1882,12,15,419.9561635733428
26,"('fdpliberal', 'fraktion')",808,9,15,412.7471040029205
49,"('motion', 'abzulehn')",602,8,15,378.4224129722692
21,"('nach', 'jahr')",869,10,15,352.3491789459948
12,"('herr', 'kolleg')",1127,11,15,349.54460419842707
58,"('vorlauf', 'aufgenomm')",539,8,15,338.8200674286596
42,"('imm', 'mehr')",652,9,15,333.0583066954259
46,"('heut', 'schon')",631,9,15,322.33096859634014
5,"('mehrheit', 'kommission')",2217,13,15,317.2545703513726
32,"('gesetz', 'grundlag')",714,10,15,289.50208718922937
72,"('geht', 'frag')",460,8,15,289.15998333429206
19,"('entwurf', 'bundesrat')",911,11,15,282.55113968479776
9,"('z', 'b')",1261,12,15,281.3840182072185
974,"('nam', 'spfraktion')",100,1,15,270.805020110221
604,"('nam', 'svpfraktion')",133,2,15,267.9821017321212
121,"('grun', 'fraktion')",345,7,15,262.9383179561794
23,"('geltend', 'recht')",835,11,15,258.9793651337059
45,"('drei', 'jahr')",632,10,15,256.2539483243599
184,"('nationalrat', 'folg')",279,6,15,255.64511419288928
95,"('automat', 'informationsaustausch')",401,8,15,252.07207242837202
8,"('geht', 'darum')",1661,13,15,237.69050128715824
69,"('kommission', 'folg')",464,9,15,237.0230894274197
52,"('servic', 'public')",580,10,15,235.16976270273534
29,"('darauf', 'hingewies')",739,11,15,229.20449201653736
113,"('aeschi', 'thomas')",361,8,15,226.92772605147704
16,"('pro', 'jahr')",997,12,15,222.47412066026715
115,"('zweit', 'saul')",353,8,15,221.89885677609806
116,"('erneuerbar', 'energi')",352,8,15,221.27024811667567
119,"('einfach', 'sag')",348,8,15,218.7558134789862
36,"('bereit', 'heut')",701,11,15,217.41860474099144
1448,"('spfraktion', 'unterstutzt')",80,1,15,216.6440160881768
324,"('grunliberal', 'fraktion')",197,5,15,216.42662086761763
87,"('frau', 'kollegin')",417,9,15,213.01428511041814
128,"('mocht', 'bitt')",337,8,15,211.84111822534007
90,"('darauf', 'hinweis')",408,9,15,208.41685449652422
91,"('direkt', 'bundessteu')",403,9,15,205.86272637769426
94,"('eidgenoss', 'finanzkontroll')",402,9,15,205.35190075392828
39,"('gemass', 'artikel')",660,11,15,204.70225268053403
199,"('zinsbereinigt', 'gewinnsteu')",268,7,15,204.25353394856833
141,"('de', 'la')",323,8,15,203.04059699342685
200,"('frau', 'nationalratin')",266,7,15,202.72925384447453
43,"('kommission', 'stimm')",645,11,15,200.04992875597645
65,"('rund', 'prozent')",489,10,15,198.2724378648924
20,"('mind', 'i')",887,12,15,197.92833001570406
101,"('wurd', 'gesagt')",383,9,15,195.64621390237446
67,"('losung', 'find')",480,10,15,194.6232518919189
47,"('offent', 'verkehr')",620,11,15,192.29605554838045
156,"('bundesrat', 'vorgeschlag')",304,8,15,191.09703246440174
157,"('daran', 'erinn')",304,8,15,191.09703246440174
108,"('schon', 'gesagt')",370,9,15,189.00548079341658
68,"('sinn', 'bitt')",465,10,15,188.54127527029644
73,"('heut', 'morg')",458,10,15,185.7030195135393
112,"('etwa', 'prozent')",363,9,15,185.42970142705462
50,"('seit', 'jahr')",591,11,15,183.30156262756913
3,"('parlamentar', 'initiativ')",2655,14,15,183.17607379785602
166,"('bundesrat', 'meinung')",291,8,15,182.92511989191087
25,"('frank', 'pro')",816,12,15,182.08513787239517
176,"('gleich', 'lang')",285,8,15,179.15346793537663
78,"('zwanzig', 'jahr')",441,10,15,178.81011267570048
240,"('gibt', 'viel')",234,7,15,178.34077217897382
80,"('deshalb', 'bitt')",436,10,15,176.78278713515968
81,"('international', 'zusammenarbeit')",436,10,15,176.78278713515968
608,"('frau', 'fetz')",133,4,15,175.7935267176485
54,"('bundesrat', 'beantragt')",566,11,15,175.54768941997312
188,"('lang', 'spiess')",277,8,15,174.12459865999762
27,"('vorlag', 'einzutret')",777,12,15,173.38253937114098
10,"('frau', 'bundesratin')",1203,13,15,172.15031489972992
194,"('grund', 'dafur')",273,8,15,171.61016402230814
86,"('offent', 'hand')",422,10,15,171.10627562164538
57,"('kommission', 'rechtsfrag')",549,11,15,170.27505563880786
4,"('antrag', 'mind')",2452,14,15,169.17052088600488
89,"('antrag', 'kommissionsmehr')",415,10,15,168.26801986488823
59,"('motion', 'anzunehm')",538,11,15,166.86335142746563
138,"('volkerrecht', 'vertrag')",326,9,15,166.52915334771296
143,"('mocht', 'einfach')",321,9,15,163.97502522888303
144,"('davon', 'ausgeh')",321,9,15,163.97502522888303
92,"('antrag', 'kommission')",403,10,15,163.40243856759025
93,"('erst', 'lini')",403,10,15,163.40243856759025
30,"('rund', 'million')",732,12,15,163.34107956200154
284,"('darauf', 'aufmerksam')",212,7,15,161.5736910339421
13,"('bund', 'kanton')",1122,13,15,160.55914656483537
61,"('bundesrat', 'folg')",515,11,15,159.72978807647732
33,"('uns', 'sicht')",714,12,15,159.32449563834578
293,"('vorlauf', 'aufnahm')",209,7,15,159.2872708778014
391,"('nam', 'cvpfraktion')",173,6,15,158.51829661422883
34,"('vier', 'jahr')",703,12,15,156.86991657388947
35,"('mind', 'ii')",703,12,15,156.86991657388947
152,"('vorhin', 'gesagt')",305,9,15,155.80181524862718
308,"('ja', 'sag')",201,7,15,153.19015046142624
64,"('bitt', 'mehrheit')",493,11,15,152.90637965379284
14,"('zehn', 'jahr')",1063,13,15,152.11619679003564
103,"('rund', 'milliard')",375,10,15,152.04941554056165
104,"('st', 'gall')",374,10,15,151.6439504324535
229,"('stimm', 'abgelehnt')",241,8,15,151.49468692079216
316,"('richtig', 'gesagt')",198,7,15,150.90373030528556
66,"('annahm', 'motion')",485,11,15,150.42514022736214
15,"('folg', 'geb')",1051,13,15,150.39898666634758
230,"('sicht', 'bundesrat')",239,8,15,150.2374696019474
325,"('rentnerinn', 'rentn')",197,7,15,150.14159025323866
233,"('sicherheitspolit', 'kommission')",238,8,15,149.60886094252504
235,"('eidgenoss', 'steuerverwalt')",238,8,15,149.60886094252504
38,"('burgerinn', 'burg')",668,12,15,149.05989227789212
6,"('stimm', 'enthalt')",2153,14,15,148.5416523114064
174,"('erst', 'mal')",286,9,15,146.09612839707336
41,"('geh', 'davon')",654,12,15,145.9358825594932
180,"('jahr', 'jahr')",282,9,15,144.05282590200937
71,"('europa', 'union')",463,11,15,143.60173180467766
114,"('sag', 'ja')",354,10,15,143.5346482702902
117,"('stellungnahm', 'bundesrat')",352,10,15,142.72371805407386
347,"('kanton', 'tessin')",187,7,15,142.5201897327697
470,"('offent', 'beschaffungswes')",155,6,15,142.02506344049405
348,"('mind', 'aeschi')",186,7,15,141.7580496807228
634,"('nam', 'bundesrat')",129,5,15,141.72098523818616
186,"('bundesrat', 'motion')",277,9,15,141.49869778317944
189,"('geschatzt', 'kolleg')",276,9,15,140.98787215941343
120,"('ja', 'schon')",347,10,15,140.69639251353306
192,"('kenntnis', 'nehm')",275,9,15,140.47704653564745
356,"('standesinitiativ', 'folg')",184,7,15,140.233769576629
478,"('cvpfraktion', 'unterstutzt')",153,6,15,140.19248197674574
481,"('conseil', 'fédéral')",153,6,15,140.19248197674574
122,"('geht', 'ja')",345,10,15,139.8854622973167
74,"('unternehmenssteuerreform', 'iii')",450,11,15,139.56971773672774
75,"('beid', 'rat')",449,11,15,139.2595628084239
124,"('standerat', 'folg')",342,10,15,138.66906697299223
125,"('ganz', 'einfach')",342,10,15,138.66906697299223
