,Speaker Party,Phrase,Counts,Freq,N,tf_idf
1,Sozialdemokratische Partei der Schweiz (SP),"('nam', 'spfraktion')",100.0,1,15,270.805020110221
2,Schweizerische Volkspartei (SVP),"('nam', 'svpfraktion')",132.0,2,15,265.96719871157893
3,Sozialdemokratische Partei der Schweiz (SP),"('herr', 'standerat')",232.0,5,15,254.87805097100147
4,Schweizerische Volkspartei (SVP),"('milliard', 'frank')",979.0,12,15,218.45753673661136
5,Sozialdemokratische Partei der Schweiz (SP),"('spfraktion', 'unterstutzt')",80.0,1,15,216.6440160881768
10,Sozialdemokratische Partei der Schweiz (SP),"('herr', 'nationalrat')",180.0,6,15,164.9323317373479
13,Sozialdemokratische Partei der Schweiz (SP),"('vorlauf', 'aufgenomm')",249.0,8,15,156.52355619617114
14,Schweizerische Volkspartei (SVP),"('herr', 'bundesrat')",378.0,10,15,153.26581086488613
15,Schweizerische Volkspartei (SVP),"('nach', 'jahr')",370.0,10,15,150.02209000002082
17,Sozialdemokratische Partei der Schweiz (SP),"('milliard', 'frank')",629.0,12,15,140.35729377663793
18,Sozialdemokratische Partei der Schweiz (SP),"('herr', 'bundesrat')",333.0,10,15,135.01988100001873
23,Schweizerische Volkspartei (SVP),"('imm', 'mehr')",247.0,9,15,126.1739290701997
25,Sozialdemokratische Partei der Schweiz (SP),"('artikel', 'absatz')",870.0,13,15,124.49773396738573
26,Schweizerische Volkspartei (SVP),"('million', 'frank')",1785.0,14,15,123.15227560420828
27,Schweizerische Volkspartei (SVP),"('herr', 'kolleg')",386.0,11,15,119.71980232528203
29,Schweizerische Volkspartei (SVP),"('svpfraktion', 'unterstutzt')",43.0,1,15,116.44615864739504
31,Schweizerische Volkspartei (SVP),"('artikel', 'absatz')",796.0,13,15,113.9082715379759
32,Schweizerische Volkspartei (SVP),"('letzt', 'jahr')",496.0,12,15,110.67920145184804
34,Sozialdemokratische Partei der Schweiz (SP),"('letzt', 'jahr')",482.0,12,15,107.5551917334491
37,Schweizerische Volkspartei (SVP),"('frau', 'fetz')",75.0,4,15,99.13168799867397
41,Sozialdemokratische Partei der Schweiz (SP),"('bundesrat', 'meinung')",155.0,8,15,97.43434221046799
42,Sozialdemokratische Partei der Schweiz (SP),"('motion', 'abzulehn')",154.0,8,15,96.8057335510456
43,Schweizerische Volkspartei (SVP),"('frau', 'kollegin')",189.0,9,15,96.54604289177225
46,Schweizerische Volkspartei (SVP),"('automat', 'informationsaustausch')",147.0,8,15,92.405472935089
