freq,word
3,"(kraft, tret)"
2.7,"(mehrheit, bevolker)"
2.5,"(vorbehalt, bleib)"
2.5,"(kanton, basellandschaft)"
2.5,"(schweizer, polit)"
2.4,"(braucht, polit)"
2.4,"(kantonal, regel)"
2.3,"(kommission, antrag)"
2.3,"(bundesamt, justiz)"
2.2,"(beschluss, rat)"
2.2,"(bereich, lehr)"
2.1,"(pfist, theophil)"
2.1,"(theophil, abzulehn)"
2.1,"(wichtig, roll)"
2.1,"(mindest, million)"
2.1,"(letzt, monat)"
2.1,"(gesetz, grundlag)"
2,"(york, washington)"
2,"(krankenkassenprami, kind)"
2,"(sexuell, ausbeut)"
2,"(kommission, rat)"
2,"(strahm, folg)"
2,"(muh, nehm)"
2,"(konstruktiv, referendum)"
1.9,"(namlich, prozent)"
1.9,"(villig, vorhin)"
1.9,"(geld, verfug)"
1.9,"(schweiz, leb)"
1.9,"(national, zusammenhalt)"
1.8,"(mind, ménétreysavary)"
1.8,"(mehrheit, apk)"
1.8,"(kris, neunzigerjahr)"
1.8,"(betroff, region)"
1.8,"(einkomm, frank)"
1.8,"(prasenz, schweiz)"
1.8,"(konsument, konsumentinn)"
1.8,"(rauch, raucherinn)"
1.8,"(ausdruck, festgehalt)"
1.8,"(vertret, wirtschaft)"
1.8,"(schweizer, verkehrspolit)"
1.7,"(entscheid, frag)"
1.7,"(rentn, rentnerinn)"
1.7,"(sair, group)"
1.7,"(stichentscheid, prasident)"
1.7,"(stimm, minderheitsantrag)"
1.7,"(leut, leb)"
1.7,"(nachobligator, ausbild)"
1.7,"(vertret, vertreterinn)"
1.7,"(etapp, bahn)"
1.7,"(prasident, schweizer)"
1.7,"(zukunft, land)"
1.6,"(bereich, post)"
1.6,"(prozent, bruttosozialprodukt)"
1.6,"(rat, letzt)"
1.6,"(gleichstell, frau)"
1.6,"(abgelt, nai)"
1.6,"(straf, massnahm)"
1.6,"(vermieterinn, vermiet)"
1.6,"(jung, leut)"
1.6,"(auseinand, setz)"
1.6,"(initiativ, giezendann)"
1.6,"(referendum, erlaubt)"
1.6,"(bundesprasident, ogi)"
1.6,"(standesinitiativ, tessin)"
1.6,"(ausbeut, kind)"
