freq,word
28.7,"(arbeitnehmerinn, arbeitnehm)"
6.2,"(kraft, tret)"
13.2,"(steu, bezahl)"
5.7,"(mehrheit, bevolker)"
14.2,"(politikerinn, polit)"
5,"(vorbehalt, bleib)"
5.8,"(kanton, basellandschaft)"
26,"(mittl, einkomm)"
5,"(schweizer, polit)"
4.8,"(braucht, polit)"
9.1,"(schritt, richtung)"
14,"(deutsch, deutlich)"
13,"(parlamentarierinn, parlamentari)"
4.8,"(kantonal, regel)"
9.899999999999999,"(nochmal, sag)"
21.7,"(wirtschaft, leistungsfah)"
4.6,"(kommission, antrag)"
4.6,"(bundesamt, justiz)"
15.799999999999999,"(working, poor)"
12.899999999999999,"(vertreterinn, vertret)"
4.4,"(beschluss, rat)"
4.4,"(bereich, lehr)"
4.2,"(pfist, theophil)"
4.2,"(theophil, abzulehn)"
4.2,"(wichtig, roll)"
4.2,"(mindest, million)"
4.2,"(letzt, monat)"
6.6000000000000005,"(gesetz, grundlag)"
10.4,"(kanton, sag)"
4,"(york, washington)"
35.199999999999996,"(steuerzahlerinn, steuerzahl)"
4,"(krankenkassenprami, kind)"
4,"(sexuell, ausbeut)"
8.4,"(eidgenoss, kommission)"
4,"(kommission, rat)"
4,"(strahm, folg)"
19.7,"(sag, herr)"
4,"(muh, nehm)"
9.3,"(mieterinn, mieterverband)"
15.7,"(pro, monat)"
4,"(konstruktiv, referendum)"
29.8,"(rentnerinn, rentn)"
17.5,"(knapp, mehrheit)"
3.8,"(namlich, prozent)"
3.8,"(villig, vorhin)"
3.8,"(geld, verfug)"
24.4,"(de, la)"
3.8,"(schweiz, leb)"
3.8,"(national, zusammenhalt)"
3.6,"(mind, ménétreysavary)"
3.6,"(mehrheit, apk)"
23.6,"(mieterinn, miet)"
3.6,"(kris, neunzigerjahr)"
3.6,"(betroff, region)"
3.6,"(einkomm, frank)"
3.6,"(prasenz, schweiz)"
11.1,"(ersuch, mind)"
3.6,"(konsument, konsumentinn)"
3.6,"(rauch, raucherinn)"
3.6,"(ausdruck, festgehalt)"
3.6,"(vertret, wirtschaft)"
3.6,"(schweizer, verkehrspolit)"
10.6,"(arbeitnehm, arbeitnehmerinn)"
3.9,"(entscheid, frag)"
3.4,"(rentn, rentnerinn)"
16.4,"(patient, patientinn)"
3.4,"(sair, group)"
3.4,"(stichentscheid, prasident)"
11.7,"(hauslich, gewalt)"
16.4,"(mindest, prozent)"
3.4,"(stimm, minderheitsantrag)"
9.8,"(geist, sozialwissenschaft)"
3.4,"(leut, leb)"
3.4,"(nachobligator, ausbild)"
3.4,"(vertret, vertreterinn)"
3.4,"(etapp, bahn)"
3.4,"(prasident, schweizer)"
3.4,"(zukunft, land)"
3.2,"(bereich, post)"
3.2,"(prozent, bruttosozialprodukt)"
3.2,"(rat, letzt)"
3.2,"(gleichstell, frau)"
3.2,"(abgelt, nai)"
14.600000000000001,"(schlicht, ergreif)"
3.2,"(straf, massnahm)"
3.2,"(vermieterinn, vermiet)"
3.2,"(jung, leut)"
3.2,"(auseinand, setz)"
3.2,"(initiativ, giezendann)"
3.2,"(referendum, erlaubt)"
3.2,"(bundesprasident, ogi)"
3.2,"(standesinitiativ, tessin)"
10.5,"(wichtig, instrument)"
3.2,"(ausbeut, kind)"
3.2,"(betroff, bevolker)"
3.2,"(la, hagu)"
3.2,"(kurzung, million)"
3.2,"(senkung, monopolgrenz)"
3,"(frank, erhoht)"
3,"(bitt, vernunft)"
3,"(privat, kapitalgewinn)"
3,"(europa, integration)"
3,"(postulat, uberwies)"
3,"(konkret, massnahm)"
3,"(betroff, frau)"
3,"(minderheitsantrag, zuppig)"
3,"(letzt, wort)"
3,"(roll, gespielt)"
3,"(einzeln, kanton)"
8.6,"(kalt, degression)"
3,"(bedingt, strafvollzug)"
8.1,"(kommission, folg)"
3,"(motion, epiney)"
18.4,"(aktionarinn, aktionar)"
3,"(initiativ, strahm)"
3,"(nichtionisier, strahl)"
3,"(jahreseinkomm, frank)"
3,"(enthalt, abgelehnt)"
10.7,"(offent, unternehm)"
3,"(fertig, gebaut)"
3.5,"(kommission, einstimm)"
2.8,"(journalistinn, journalist)"
2.8,"(sexuell, handlung)"
2.8,"(sellafield, la)"
2.8,"(rezeptpflicht, medikament)"
2.8,"(schweizer, volkswirtschaft)"
6.8999999999999995,"(standort, schweiz)"
2.8,"(deutschland, flugsicher)"
4.699999999999999,"(new, york)"
2.8,"(eric, honegg)"
8.8,"(steuerbefrei, existenzminimum)"
2.8,"(lohnprozent, arbeitslosenversicher)"
4.8,"(kommission, rechtsfrag)"
2.8,"(locker, vertragszwang)"
2.8,"(uno, osz)"
2.9,"(klipp, klar)"
2.8,"(unabhang, revisorat)"
2.8,"(fiktiv, amortisationszeit)"
14.5,"(famili, mittl)"
