freq,word
0.1,"(wissenschaft, wert)"
0.1,"(vereint, nation)"
0.1,"(swisscom, post)"
0.1,"(antrag, sut)"
0.1,"(deutsch, gebiet)"
0.1,"(polit, fuhrung)"
0.2,"(erwag, zieh)"
0.2,"(trupp, ausland)"
0.2,"(kommissionsmehr, beantragt)"
0.2,"(de, dardel)"
0.2,"(strateg, ziel)"
0.2,"(mind, hammerl)"
0.2,"(klar, sag)"
0.2,"(ahv, iv)"
0.3,"(deutschland, frankreich)"
0.3,"(verandert, organism)"
0.3,"(meinung, mehrheit)"
0.3,"(leitbild, arme)"
0.3,"(verantwort, trag)"
0.3,"(mind, kommission)"
0.4,"(klar, eindeut)"
0.4,"(antrag, unterstutz)"
0.4,"(heutig, regel)"
0.4,"(einseit, massnahm)"
0.4,"(kind, jugend)"
0.4,"(schritt, schritt)"
0.4,"(ausdruck, bringt)"
0.4,"(einfach, kenntnis)"
0.4,"(postulat, einverstand)"
0.5,"(indirekt, steu)"
0.5,"(letzt, woch)"
0.5,"(erleichtert, einburger)"
0.5,"(privat, unternehm)"
0.5,"(liegt, hand)"
0.5,"(sag, sag)"
0.5,"(stellung, genomm)"
0.5,"(grossenordn, million)"
0.5,"(rand, berggebiet)"
0.5,"(beantragt, mehrheit)"
0.5,"(mehrheit, stimm)"
0.5,"(mind, raggenbass)"
0.6,"(kanton, bern)"
0.6,"(votum, herrn)"
0.6,"(strateg, nachrichtendien)"
0.6,"(bundesamt, fluchtling)"
0.6,"(vonseit, bund)"
0.6,"(klar, festhalt)"
0.6,"(beitritt, eu)"
0.6,"(lebenslang, verwahr)"
0.6,"(antwort, befriedigt)"
0.7,"(kanton, solothurn)"
0.7,"(zuletzt, aufgrund)"
0.7,"(folg, antrag)"
0.7,"(verpflichtungskredit, million)"
0.7,"(jung, famili)"
0.7,"(ausfuhr, herrn)"
0.7,"(rucksicht, nehm)"
0.7,"(françois, couchepin)"
0.7,"(betrag, milliard)"
0.7,"(kategori, iv)"
0.8,"(task, forc)"
0.8,"(leutenegg, hajo)"
0.8,"(befriedigt, erklart)"
0.8,"(ablehn, sinn)"
0.8,"(walk, felix)"
0.8,"(eidgenoss, versicherungskass)"
0.8,"(naturkorp, altertum)"
0.8,"(preislich, vorteil)"
0.8,"(finanziell, konsequenz)"
0.8,"(land, wichtig)"
0.8,"(baad, caspar)"
0.8,"(direkt, steu)"
0.8,"(sturm, lothar)"
0.8,"(ruag, suiss)"
0.8,"(kollektiv, verantwort)"
0.9,"(demokrati, europa)"
0.9,"(prozent, erhoht)"
0.9,"(diskussion, beschloss)"
0.9,"(kredit, sprech)"
0.9,"(pensionskass, bund)"
0.9,"(jetzig, zeitpunkt)"
0.9,"(uberleb, ehegatt)"
0.9,"(benotigt, wahrungsreserv)"
0.9,"(erlaubt, verkehr)"
0.9,"(meinung, kommissionsmehr)"
1,"(bilateral, verhandl)"
1,"(kanton, organisation)"
1,"(vertret, mind)"
1,"(antrag, triponez)"
1,"(antrag, gentil)"
1,"(friedensunterstutz, operation)"
1,"(nasak, ii)"
1,"(platz, welt)"
1,"(gefahr, demokrati)"
1,"(konkret, verantwort)"
1,"(teilzeitnutzungsrecht, immobili)"
1,"(histor, muhl)"
1,"(olivi, reverdin)"
1,"(uberbetrieb, kurs)"
1,"(dr, reinhold)"
1,"(initiativ, maiss)"
1,"(harmonisier, finanzier)"
1,"(bewalt, kosovokris)"
1,"(et, quoi)"
1,"(aarau, stund)"
1,"(bilateral, verhaltnis)"
1,"(otto, zwygart)"
1,"(bellinzona, stund)"
1,"(unverantwort, art)"
1,"(konkurrenz, wettbewerbsfah)"
1,"(unliebsam, folg)"
1,"(bio, gentechnologi)"
1,"(reinhold, schatzl)"
1,"(minut, bellinzona)"
1,"(quoi, quon)"
1,"(keinerlei, zweifel)"
1,"(verfugbar, quot)"
1,"(durchfuhrungsprotokoll, alpenkonvention)"
1,"(wachstumsbedingt, mehreinnahm)"
1,"(leistung, bund)"
1,"(schweiz, prozent)"
1,"(konkret, frag)"
1,"(aktiv, sterbehilf)"
1,"(freien, markt)"
1,"(dringlich, interpellation)"
1,"(motion, beerli)"
1,"(konkret, gefahrd)"
1,"(standesinitiativ, aargau)"
1,"(eidgenoss, volkswirtschaftsdepartement)"
1,"(generell, depotstimmrecht)"
1.1,"(individualverkehr, angewies)"
1.1,"(sachplan, infrastruktur)"
1.1,"(interessengemeinschaft, volkskultur)"
1.1,"(gemeind, kanton)"
1.1,"(stund, minut)"
1.1,"(jung, generation)"
1.1,"(fehlbetrag, bilanz)"
1.1,"(institutionell, anleg)"
1.1,"(postulat, uberweis)"
1.1,"(abzulehn, antrag)"
1.1,"(prozent, erhoh)"
1.1,"(st, moritz)"
1.1,"(klar, deutlich)"
1.1,"(signal, setz)"
1.1,"(pass, identitatskart)"
1.1,"(abstimm, bilateral)"
1.1,"(frei, verfugbar)"
1.1,"(vorstoss, motion)"
1.1,"(hess, han)"
1.1,"(branchenspezif, fond)"
1.1,"(à, la)"
1.1,"(materiell, ander)"
1.1,"(elektron, aufklar)"
1.1,"(mittl, unternehm)"
1.1,"(kost, verursacht)"
1.2,"(orkan, lothar)"
1.2,"(denk, insbesond)"
1.2,"(vorstoss, erledigt)"
1.2,"(botschaft, entnehm)"
1.2,"(verzichtet, wort)"
1.2,"(schweiz, delegation)"
1.2,"(bern, kantonalbank)"
1.2,"(untergrupp, nachrichtendien)"
1.2,"(vorhab, million)"
1.2,"(feststell, zusammenhang)"
1.2,"(kanton, neuenburg)"
1.2,"(ausfuhr, verordn)"
1.2,"(firma, hagglund)"
1.2,"(deutschland, prozent)"
1.2,"(mehrheit, buros)"
1.2,"(kritisch, frag)"
1.2,"(immobilienbotschaft, militar)"
1.2,"(eingeh, diskutiert)"
1.3,"(diskussion, stehend)"
1.3,"(vorgeburt, leb)"
1.3,"(standig, delegation)"
1.3,"(arme, volk)"
1.3,"(mind, iv)"
1.3,"(probl, gelost)"
1.3,"(vorgeschlag, losung)"
1.3,"(idé, suiss)"
1.3,"(vertret, kanton)"
1.3,"(beitrag, bund)"
1.3,"(mind, mathys)"
1.3,"(ausgab, einnahm)"
1.3,"(strom, kleinkraftwerk)"
1.3,"(olymp, verband)"
1.3,"(schweizer, olymp)"
1.3,"(mittl, betrieb)"
1.4,"(selbststand, unternehm)"
1.4,"(vorlieg, revision)"
1.4,"(organisation, arbeitswelt)"
1.4,"(marty, dick)"
1.4,"(entsend, trupp)"
1.4,"(abgebrannt, kernbrennstab)"
1.4,"(teilrevision, militargesetz)"
1.4,"(kommission, behandelt)"
1.4,"(verkehr, gebracht)"
1.4,"(dublin, abkomm)"
1.4,"(gewerb, wirtschaft)"
