freq,word
0.2,"(wissenschaft, wert)"
20.599999999999998,"(mehrheit, zuzustimm)"
3.3000000000000003,"(schweiz, europa)"
13.9,"(leutenegg, oberholz)"
0.2,"(vereint, nation)"
4.8,"(nehm, kenntnis)"
0.2,"(swisscom, post)"
0.2,"(antrag, sut)"
0.2,"(deutsch, gebiet)"
2.2,"(hundert, million)"
0.2,"(polit, fuhrung)"
15,((Intercept))
0.4,"(erwag, zieh)"
3.2,"(januar, kraft)"
0.4,"(trupp, ausland)"
0.4,"(kommissionsmehr, beantragt)"
5.4,"(klar, ausdruck)"
0.4,"(de, dardel)"
0.5,"(strateg, ziel)"
0.4,"(mind, hammerl)"
0.4,"(klar, sag)"
0.4,"(ahv, iv)"
3.3,"(schweizerinn, schweiz)"
0.6,"(deutschland, frankreich)"
13.399999999999999,"(kommission, stimm)"
5.6,"(folg, gegeb)"
0.6,"(verandert, organism)"
7.5,"(nam, mehrheit)"
0.6,"(meinung, mehrheit)"
5.5,"(eidgenoss, gericht)"
16.8,"(steu, entlast)"
0.6,"(leitbild, arme)"
0.6,"(verantwort, trag)"
0.8,"(mind, kommission)"
11.700000000000001,"(prozent, prozent)"
5,"(frag, herrn)"
4.3,"(polit, diskussion)"
15.3,"(mind, zuzustimm)"
0.8,"(klar, eindeut)"
0.8,"(antrag, unterstutz)"
0.9,"(heutig, regel)"
0.8,"(einseit, massnahm)"
0.8,"(kind, jugend)"
10.9,"(europa, gerichtshof)"
1,"(schritt, schritt)"
0.8,"(ausdruck, bringt)"
7.2,"(mehrheit, wak)"
14.3,"(entsprech, antrag)"
0.8,"(einfach, kenntnis)"
0.8,"(postulat, einverstand)"
1,"(indirekt, steu)"
1,"(letzt, woch)"
12.7,"(pro, helvetia)"
1,"(erleichtert, einburger)"
1,"(privat, unternehm)"
10.299999999999999,"(sicherheitspolit, bericht)"
3.7,"(offent, verkehr)"
4.6,"(direkt, demokrati)"
1,"(liegt, hand)"
13.2,"(st, gall)"
1,"(sag, sag)"
1.1,"(stellung, genomm)"
7.1,"(antrag, zuzustimm)"
1,"(grossenordn, million)"
1,"(rand, berggebiet)"
1,"(beantragt, mehrheit)"
1,"(mehrheit, stimm)"
6.4,"(annahm, empfehl)"
1,"(mind, raggenbass)"
5.1,"(ausserordent, session)"
13,"(frank, kost)"
18.3,"(stimm, abgelehnt)"
1.3,"(kanton, bern)"
1.2,"(votum, herrn)"
1.2,"(strateg, nachrichtendien)"
1.2,"(bundesamt, fluchtling)"
1.2,"(vonseit, bund)"
1.2,"(klar, festhalt)"
7.8999999999999995,"(stellung, nehm)"
1.2,"(beitritt, eu)"
9.5,"(parlamentar, versamml)"
13.600000000000001,"(borsenkotiert, unternehm)"
5.2,"(hoh, preis)"
5.8999999999999995,"(eidgenoss, steuerverwalt)"
1.2,"(lebenslang, verwahr)"
7.6000000000000005,"(wichtig, punkt)"
1.2,"(antwort, befriedigt)"
21.599999999999998,"(bitt, initiativ)"
1.9,"(kanton, solothurn)"
2.8,"(antrag, stell)"
5.699999999999999,"(humanitar, hilf)"
6.4,"(ausserordent, wichtig)"
1.4,"(zuletzt, aufgrund)"
6,"(kanton, graubund)"
6.5,"(dringend, notig)"
2.0999999999999996,"(folg, antrag)"
1.4,"(verpflichtungskredit, million)"
16,"(heutig, sicht)"
1.4,"(jung, famili)"
1.4,"(ausfuhr, herrn)"
14,"(frag, frau)"
15.5,"(kanton, aargau)"
1.5999999999999999,"(rucksicht, nehm)"
1.4,"(françois, couchepin)"
1.4,"(betrag, milliard)"
1.4,"(kategori, iv)"
1.6,"(task, forc)"
4,"(gemass, antrag)"
10,"(beantrag, nam)"
1.6,"(leutenegg, hajo)"
1.6,"(befriedigt, erklart)"
3.8000000000000003,"(direkt, bundessteu)"
1.6,"(ablehn, sinn)"
13.9,"(beantragt, kommission)"
1.6,"(walk, felix)"
6.300000000000001,"(kenntnis, genomm)"
8.1,"(mind, folg)"
1.6,"(eidgenoss, versicherungskass)"
1.6,"(naturkorp, altertum)"
1.6,"(preislich, vorteil)"
1.6,"(finanziell, konsequenz)"
7.9,"(gentechn, verandert)"
1.6,"(land, wichtig)"
1.6,"(baad, caspar)"
1.6,"(direkt, steu)"
1.6,"(sturm, lothar)"
13.5,"(jurist, person)"
5.5,"(sag, schreib)"
1.6,"(ruag, suiss)"
10.9,"(genau, gegenteil)"
1.6,"(kollektiv, verantwort)"
9.5,"(insgesamt, million)"
5.2,"(volk, stand)"
1.8,"(demokrati, europa)"
1.8,"(prozent, erhoht)"
1.8,"(diskussion, beschloss)"
1.8,"(kredit, sprech)"
1.8,"(pensionskass, bund)"
12.5,"(entschied, auffass)"
1.8,"(jetzig, zeitpunkt)"
9,"(bitt, dringend)"
1.8,"(uberleb, ehegatt)"
1.8,"(benotigt, wahrungsreserv)"
8.1,"(frank, vorgeseh)"
1.8,"(erlaubt, verkehr)"
7.300000000000001,"(auftrag, gegeb)"
7.3999999999999995,"(gerichtshof, menschenrecht)"
13.4,"(geistig, eigentum)"
1.8,"(meinung, kommissionsmehr)"
11.100000000000001,"(frank, aufgestockt)"
9.299999999999999,"(kanton, st)"
4.2,"(ahv, zukomm)"
2,"(bilateral, verhandl)"
2,"(kanton, organisation)"
4.1,"(werkplatz, schweiz)"
2,"(vertret, mind)"
2.7,"(antrag, triponez)"
2,"(antrag, gentil)"
2,"(friedensunterstutz, operation)"
2,"(nasak, ii)"
2,"(platz, welt)"
2,"(gefahr, demokrati)"
2,"(konkret, verantwort)"
2,"(teilzeitnutzungsrecht, immobili)"
2,"(histor, muhl)"
2,"(olivi, reverdin)"
2,"(uberbetrieb, kurs)"
2,"(dr, reinhold)"
2,"(initiativ, maiss)"
2,"(harmonisier, finanzier)"
2,"(bewalt, kosovokris)"
2,"(et, quoi)"
2,"(aarau, stund)"
2,"(bilateral, verhaltnis)"
2,"(otto, zwygart)"
2,"(bellinzona, stund)"
2,"(unverantwort, art)"
2,"(konkurrenz, wettbewerbsfah)"
2,"(unliebsam, folg)"
2,"(bio, gentechnologi)"
2,"(reinhold, schatzl)"
2,"(minut, bellinzona)"
2,"(quoi, quon)"
2,"(keinerlei, zweifel)"
2,"(verfugbar, quot)"
2,"(durchfuhrungsprotokoll, alpenkonvention)"
2,"(wachstumsbedingt, mehreinnahm)"
2,"(leistung, bund)"
2,"(schweiz, prozent)"
2,"(konkret, frag)"
2,"(aktiv, sterbehilf)"
2,"(freien, markt)"
14.1,"(stuf, bund)"
2,"(dringlich, interpellation)"
18.1,"(bitt, parlamentar)"
2,"(motion, beerli)"
2,"(konkret, gefahrd)"
8.4,"(antwort, geb)"
13.1,"(kanton, gemeind)"
2,"(standesinitiativ, aargau)"
2,"(eidgenoss, volkswirtschaftsdepartement)"
5.2,"(kommission, zuzustimm)"
2,"(generell, depotstimmrecht)"
2.2,"(individualverkehr, angewies)"
5.3,"(besteht, gefahr)"
2.2,"(sachplan, infrastruktur)"
2.2,"(interessengemeinschaft, volkskultur)"
11.7,"(aussicht, gestellt)"
2.4000000000000004,"(gemeind, kanton)"
8.100000000000001,"(falsch, signal)"
9.200000000000001,"(mind, iii)"
2.2,"(stund, minut)"
2.2,"(jung, generation)"
8.3,"(direkt, aktiv)"
12.3,"(frag, stell)"
2.2,"(fehlbetrag, bilanz)"
2.2,"(institutionell, anleg)"
2.2,"(postulat, uberweis)"
2.2,"(abzulehn, antrag)"
2.2,"(prozent, erhoh)"
2.2,"(st, moritz)"
2.2,"(klar, deutlich)"
2.2,"(signal, setz)"
8.3,"(rahm, eintret)"
2.2,"(pass, identitatskart)"
2.2,"(abstimm, bilateral)"
2.2,"(frei, verfugbar)"
2.2,"(vorstoss, motion)"
2.2,"(hess, han)"
2.2,"(branchenspezif, fond)"
2.2,"(à, la)"
18.3,"(polit, entscheid)"
2.2,"(materiell, ander)"
2.2,"(elektron, aufklar)"
2.2,"(mittl, unternehm)"
2.2,"(kost, verursacht)"
10.3,"(finanziell, auswirk)"
2.4,"(orkan, lothar)"
6.199999999999999,"(prioritat, setz)"
2.4,"(denk, insbesond)"
2.4,"(vorstoss, erledigt)"
2.4,"(botschaft, entnehm)"
2.4,"(verzichtet, wort)"
14.5,"(bitt, kommissionsmehr)"
12.1,"(verordn, bundesversamml)"
2.4,"(schweiz, delegation)"
