,Phrase,Counts,Freq,N,tf_idf
0,"('million', 'frank')",7024,14,15,1567.3603044310094
1,"('artikel', 'absatz')",4563,13,15,1018.2040246467392
24,"('kanton', 'gemeind')",817,14,15,748.6095279411848
2,"('milliard', 'frank')",3204,12,15,714.9519384107281
6,"('stimm', 'enthalt')",2153,14,15,667.7635606381664
37,"('kommission', 'beantragt')",694,13,15,635.9057679206636
3,"('parlamentar', 'initiativ')",2655,14,15,592.4461287392269
4,"('antrag', 'mind')",2452,14,15,547.1479878224424
8,"('geht', 'darum')",1661,13,15,515.1673359126773
5,"('mehrheit', 'kommission')",2217,13,15,494.70925326360305
17,"('mehrheit', 'folg')",942,13,15,481.19773758756327
36,"('bereit', 'heut')",701,11,15,440.6546702550842
7,"('letzt', 'jahr')",1882,12,15,419.9561635733428
26,"('fdpliberal', 'fraktion')",808,9,15,412.7471040029205
328,"('ganz', 'sich')",195,9,15,392.9060890057416
11,"('herr', 'bundesrat')",1163,10,15,360.71018161736527
39,"('gemass', 'artikel')",660,11,15,337.1449116855539
60,"('bitt', 'antrag')",533,12,15,335.0484154721254
14,"('zehn', 'jahr')",1063,13,15,329.6946887869813
15,"('folg', 'geb')",1051,13,15,325.9728296473353
16,"('pro', 'jahr')",997,12,15,309.2244635189279
18,"('ganz', 'klar')",931,13,15,288.75423825087455
105,"('schon', 'lang')",373,12,15,284.2782394134925
74,"('unternehmenssteuerreform', 'iii')",450,11,15,282.87389674006835
19,"('entwurf', 'bundesrat')",911,11,15,282.55113968479776
9,"('z', 'b')",1261,12,15,281.3840182072185
948,"('motion', 'angenomm')",102,8,15,276.22112051242544
59,"('motion', 'anzunehm')",538,11,15,274.824185586103
10,"('frau', 'bundesratin')",1203,13,15,268.44169223099436
125,"('ganz', 'einfach')",342,10,15,260.6518978000387
22,"('absatz', 'buchstab')",838,14,15,259.90982991861745
23,"('geltend', 'recht')",835,11,15,258.9793651337059
46,"('heut', 'schon')",631,9,15,255.84848321625174
92,"('antrag', 'kommission')",403,10,15,253.32928974721676
463,"('darum', 'bitt')",157,8,15,252.68175225215376
1108,"('vereinbar', 'beruf')",93,9,15,251.84866870250553
12,"('herr', 'kolleg')",1127,11,15,251.4827823311144
47,"('offent', 'verkehr')",620,11,15,251.38836702706192
13,"('bund', 'kanton')",1122,13,15,250.36706457454335
49,"('motion', 'abzulehn')",602,8,15,244.08999508111495
271,"('kommission', 'antrag')",219,10,15,240.59609121831605
51,"('bitt', 'deshalb')",583,12,15,236.38615802705985
108,"('schon', 'gesagt')",370,9,15,232.5852039862784
54,"('bundesrat', 'beantragt')",566,11,15,229.49325118922104
29,"('darauf', 'hingewies')",739,11,15,229.20449201653736
77,"('macht', 'sinn')",446,11,15,227.82822819963187
57,"('kommission', 'rechtsfrag')",549,11,15,222.60034435138223
32,"('gesetz', 'grundlag')",714,10,15,221.45061880894136
117,"('stellungnahm', 'bundesrat')",352,10,15,221.27024811667567
85,"('wurd', 'kommission')",432,12,15,220.67666946690798
233,"('sicherheitspolit', 'kommission')",238,8,15,218.07719418604893
34,"('vier', 'jahr')",703,12,15,218.03891459759913
35,"('mind', 'ii')",703,12,15,218.03891459759913
86,"('offent', 'hand')",422,10,15,215.56841322924808
130,"('best', 'dank')",333,11,15,209.32668358765056
61,"('bundesrat', 'folg')",515,11,15,208.81453067570465
637,"('bundesamt', 'gesund')",129,8,15,207.61749070399893
38,"('burgerinn', 'burg')",668,12,15,207.18349210696476
93,"('erst', 'lini')",403,10,15,205.86272637769426
43,"('kommission', 'stimm')",645,11,15,200.04992875597645
44,"('funf', 'jahr')",645,13,15,200.04992875597645
64,"('bitt', 'mehrheit')",493,11,15,199.89429829732504
147,"('wurd', 'bereit')",317,12,15,199.26894503689257
20,"('mind', 'i')",887,12,15,197.92833001570406
208,"('bundesrat', 'ja')",259,9,15,197.39427348014624
45,"('drei', 'jahr')",632,10,15,196.01791468802654
211,"('jahr', 'wurd')",257,11,15,195.86999337605246
150,"('ganz', 'wichtig')",309,11,15,194.2400757615136
21,"('nach', 'jahr')",869,10,15,193.91174609204828
152,"('vorhin', 'gesagt')",305,9,15,191.7256411238241
156,"('bundesrat', 'vorgeschlag')",304,8,15,191.09703246440174
48,"('artikel', 'bundesverfass')",613,12,15,190.12497105025358
106,"('beim', 'bund')",372,12,15,190.02713204094854
159,"('folg', 'gegeb')",302,12,15,189.83981514555697
70,"('bitt', 'nam')",463,12,15,187.73034505408012
71,"('europa', 'union')",463,11,15,187.73034505408012
219,"('stellung', 'nehm')",245,10,15,186.7243127514897
109,"('kenntnis', 'genomm')",364,11,15,185.94052705082063
73,"('heut', 'morg')",458,10,15,185.7030195135393
112,"('etwa', 'prozent')",363,9,15,185.42970142705462
50,"('seit', 'jahr')",591,11,15,183.30156262756913
25,"('frank', 'pro')",816,12,15,182.08513787239517
75,"('beid', 'rat')",449,11,15,182.05383354056582
170,"('handlungsbedarf', 'besteht')",289,11,15,181.6679025730661
76,"('frag', 'stell')",447,11,15,181.24290332434947
114,"('sag', 'ja')",354,10,15,180.8322708131607
52,"('servic', 'public')",580,10,15,179.88985841622687
174,"('erst', 'mal')",286,9,15,179.78207659479898
53,"('herr', 'nationalrat')",575,6,15,178.3390837747077
119,"('einfach', 'sag')",348,8,15,177.76731707056476
80,"('deshalb', 'bitt')",436,10,15,176.78278713515968
121,"('grun', 'fraktion')",345,7,15,176.2348401992668
83,"('uns', 'kommission')",434,11,15,175.97185691894333
123,"('konsumentinn', 'konsument')",343,11,15,175.21318895173482
55,"('darum', 'geht')",560,13,15,173.68675985015008
27,"('vorlag', 'einzutret')",777,12,15,173.38253937114098
56,"('herr', 'standerat')",557,5,15,172.75629506523856
343,"('gut', 'daran')",188,8,15,172.26265759234116
128,"('mocht', 'bitt')",337,8,15,172.14823520913887
129,"('genau', 'gleich')",334,12,15,170.6157583378409
28,"('antrag', 'mehrheit')",764,13,15,170.48167320405625
259,"('kind', 'jugend')",223,11,15,169.95723160645798
87,"('frau', 'kollegin')",417,9,15,169.07895008110455
133,"('beschluss', 'nationalrat')",330,10,15,168.57245584277695
134,"('absatz', 'artikel')",329,12,15,168.06163021901094
202,"('ernst', 'nehm')",266,11,15,167.20990340635151
203,"('betroff', 'person')",266,10,15,167.20990340635151
137,"('bundesrat', 'parlament')",327,10,15,167.03997897147897
930,"('beantragt', 'ablehn')",103,9,15,165.77210498071233
205,"('bitt', 'dah')",263,12,15,165.3240774280844
1372,"('schritt', 'richtung')",82,9,15,165.2220476844657
139,"('vorlag', 'bundesrat')",323,10,15,164.996676476415
142,"('bundesrat', 'bereit')",322,12,15,164.485850852649
206,"('beantragt', 'kommission')",261,10,15,164.06686010923963
143,"('mocht', 'einfach')",321,9,15,163.97502522888303
30,"('rund', 'million')",732,12,15,163.34107956200154
94,"('eidgenoss', 'finanzkontroll')",402,9,15,162.9969734594821
95,"('automat', 'informationsaustausch')",401,8,15,162.59150835137393
31,"('zwei', 'jahr')",726,13,15,162.0022182541163
285,"('funfzehn', 'jahr')",212,10,15,161.5736910339421
97,"('stellt', 'frag')",394,12,15,159.75325259461675
33,"('uns', 'sicht')",714,12,15,159.32449563834578
216,"('gross', 'mehrheit')",250,11,15,157.15216485559353
99,"('schon', 'heut')",387,11,15,156.9149968378596
100,"('dafur', 'sorg')",386,12,15,156.50953172975144
153,"('kanton', 'zurich')",305,11,15,155.80181524862718
155,"('vorberat', 'kommission')",305,10,15,155.80181524862718
160,"('bereit', 'erwahnt')",302,11,15,154.2693383773292
161,"('ablehn', 'empfehl')",301,12,15,153.7585127535632
63,"('bitt', 'mind')",495,12,15,153.52668951040053
102,"('antrag', 'bundesrat')",377,11,15,152.86034575677797
103,"('rund', 'milliard')",375,10,15,152.04941554056165
163,"('infrag', 'gestellt')",297,12,15,151.71521025849924
